,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17812.70,     17913.30,     18017.45,     17879.15,     18003.30,190.6
1,,NIFTY50 EQL Wgt,     19923.70,     20014.45,     20110.05,     19970.85,     20094.85,171.15
2,,NIFTY100 EQL Wgt,     20974.80,     21046.60,     21138.65,     21006.40,     21125.00,150.2
3,,NIFTY100 LowVol30,     13435.25,     13497.90,     13511.50,     13458.70,     13501.90,66.65
4,,NIFTY Alpha 50,     35148.60,     35330.90,     35525.65,     35230.25,     35391.15,242.55
5,,NIFTY MIDCAP 150,     11741.95,     11790.25,     11836.95,     11778.15,     11820.40,78.45
6,,NIFTY SMLCAP 50,      5404.10,      5434.75,      5490.45,      5425.20,      5478.15,74.05
7,,NIFTY SMLCAP 250,     10076.60,     10155.70,     10228.90,     10148.75,     10218.30,141.7
8,,NIFTY MIDSML 400,     11140.20,     11199.35,     11251.95,     11189.30,     11240.90,100.7
9,,NIFTY200 QUALTY30,     15335.00,     15421.75,     15425.45,     15336.50,     15356.65,21.65
10,,Nifty FinSrv25 50,     18008.75,     18079.25,     18252.25,     18079.25,     18235.45,226.7
11,,NIFTY AlphaLowVol,     17909.50,     17994.85,     17996.95,     17878.65,     17950.80,41.3
12,,Nifty200Momentm30,     21008.10,     21102.25,     21179.35,     20976.15,     21163.80,155.7
13,,Nifty100ESGSecLdr,      3020.15,      3035.45,      3045.90,      3026.00,      3043.90,23.75
14,,NIFTY100 ESG,      3650.40,      3667.10,      3678.30,      3655.20,      3675.90,25.5
15,,NIFTY M150 QLTY50,     17975.25,     18057.95,     18079.50,     17982.55,     18028.20,52.95
16,,NIFTY INDIA MFG,      8064.60,      8092.50,      8132.35,      8077.55,      8128.85,64.25
17,,Nifty IT,     38139.85,     38596.75,     38621.90,     37991.30,     38212.20,72.35
18,,Nifty Next 50,     42826.35,     42916.60,     43034.75,     42784.45,     42994.30,167.95
19,,Nifty Bank,     37739.60,     37930.55,     38400.35,     37929.35,     38347.90,608.3
20,,NIFTY MIDCAP 100,     31111.55,     31246.35,     31408.45,     31232.65,     31371.65,260.1
21,,Nifty 500,     15348.55,     15427.65,     15504.00,     15400.55,     15495.55,147.0
22,,Nifty 100,     18053.95,     18146.20,     18243.25,     18109.75,     18229.10,175.15
23,,Nifty Midcap 50,      8647.10,      8684.50,      8732.85,      8681.25,      8726.20,79.1
24,,Nifty Realty,       485.80,       491.40,       497.80,       490.50,       495.15,9.35
25,,Nifty Infra,      5090.70,      5110.95,      5136.85,      5096.10,      5133.40,42.7
26,,Nifty Energy,     23577.70,     23647.25,     23749.80,     23517.80,     23712.35,134.65
27,,Nifty FMCG,     37864.45,     38012.20,     38174.60,     37904.85,     37984.05,119.6
28,,Nifty MNC,     19473.80,     19531.20,     19614.15,     19519.75,     19564.80,91.0
29,,Nifty Pharma,     13857.95,     13896.05,     13905.40,     13800.40,     13858.95,1.0
30,,Nifty PSE,      4016.35,      4037.50,      4060.10,      4024.90,      4055.00,38.65
31,,Nifty PSU Bank,      2673.55,      2684.75,      2766.35,      2684.05,      2759.85,86.3
32,,Nifty Serv Sector,     25079.35,     25229.65,     25399.60,     25189.05,     25377.55,298.2
33,,India VIX,17.6025,17.6025,18.3900,15.8425,17.6775,0.075
34,,Nifty Auto,     11290.90,     11341.35,     11524.30,     11327.20,     11501.70,210.8
35,,Nifty Metal,      5684.85,      5714.65,      5729.35,      5666.10,      5718.80,33.95
36,,Nifty Media,      2243.10,      2242.00,      2299.50,      2241.75,      2293.60,50.5
37,,NIFTY SMLCAP 100,     11492.90,     11573.85,     11655.80,     11561.80,     11640.15,147.25
38,,Nifty 200,      9442.65,      9489.95,      9538.90,      9472.95,      9532.60,89.95
39,,Nifty Div Opps 50,      3769.70,      3796.50,      3809.95,      3784.30,      3807.40,37.7
40,,Nifty Commodities,      5822.90,      5849.30,      5873.40,      5820.75,      5867.90,45.0
41,,Nifty Consumption,      7207.95,      7231.60,      7248.60,      7216.45,      7241.75,33.8
42,,Nifty Fin Service,     18206.05,     18282.70,     18503.90,     18282.70,     18483.85,277.8
43,,Nifty50 Div Point,       154.60,       154.60,       154.60,       154.60,       154.60,0.0
44,,Nifty100 Liq 15,      4521.35,      4544.90,      4563.65,      4533.50,      4557.80,36.45
45,,Nifty CPSE,      2371.80,      2388.10,      2395.25,      2376.65,      2389.90,18.1
46,,Nifty GrowSect 15,      7715.75,      7744.20,      7783.30,      7725.90,      7767.55,51.8
47,,Nifty50 PR 2x Lev,      9289.85,      9392.15,      9500.10,      9357.20,      9486.05,196.2
48,,Nifty50 PR 1x Inv,       249.00,       247.65,       248.15,       246.20,       246.40,-2.6
