,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     16958.65,     17045.25,     17186.90,     16978.95,     17136.55,177.9
1,,NIFTY50 EQL Wgt,     19443.50,     19538.30,     19702.30,     19473.55,     19651.85,208.35
2,,NIFTY100 EQL Wgt,     20516.40,     20634.30,     20754.70,     20542.30,     20680.95,164.55
3,,NIFTY100 LowVol30,     12547.85,     12609.55,     12763.90,     12555.70,     12740.80,192.95
4,,NIFTY Alpha 50,     34994.50,     35299.50,     35537.10,     34874.10,     35083.90,89.4
5,,NIFTY MIDCAP 150,     11258.15,     11316.55,     11421.20,     11274.00,     11329.80,71.65
6,,NIFTY SMLCAP 50,      4769.60,      4799.70,      4831.55,      4747.15,      4763.35,-6.25
7,,NIFTY SMLCAP 250,      9620.70,      9678.50,      9755.85,      9608.20,      9622.75,2.05
8,,NIFTY MIDSML 400,     10666.90,     10725.00,     10818.15,     10678.55,     10713.85,46.95
9,,NIFTY200 QUALTY30,     14063.95,     14138.25,     14248.15,     14062.25,     14195.15,131.2
10,,Nifty FinSrv25 50,     16515.30,     16572.95,     16590.55,     16414.50,     16518.35,3.05
11,,NIFTY AlphaLowVol,     16462.90,     16547.60,     16727.50,     16457.40,     16682.40,219.5
12,,Nifty200Momentm30,     19695.55,     19787.30,     19927.90,     19664.40,     19778.40,82.85
13,,Nifty100ESGSecLdr,      2844.05,      2862.50,      2889.05,      2850.00,      2881.85,37.8
14,,NIFTY100 ESG,      3419.80,      3440.75,      3463.30,      3422.70,      3452.50,32.7
15,,NIFTY M150 QLTY50,     16622.45,     16690.10,     16816.35,     16622.40,     16675.90,53.45
16,,NIFTY INDIA MFG,      8075.20,      8117.40,      8204.60,      8090.05,      8159.60,84.4
17,,Nifty IT,     31804.20,     32030.75,     32306.35,     31718.15,     32173.35,369.15
18,,Nifty Next 50,     42500.45,     42780.45,     43020.90,     42528.70,     42713.00,212.55
19,,Nifty Bank,     36341.60,     36482.60,     36513.85,     36114.05,     36314.90,-26.7
20,,NIFTY MIDCAP 100,     30055.00,     30224.10,     30525.70,     30080.40,     30279.25,224.25
21,,Nifty 500,     14726.65,     14807.15,     14905.25,     14747.95,     14850.30,123.65
