,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17063.25,     16548.90,     16705.25,     16203.25,     16247.95,-815.3
1,,NIFTY50 EQL Wgt,     19103.60,     18576.40,     18742.85,     18117.90,     18161.45,-942.15
2,,NIFTY100 EQL Wgt,     19989.25,     19378.35,     19545.95,     18869.70,     18904.25,-1085.0
3,,NIFTY100 LowVol30,     12647.85,     12320.20,     12434.10,     12091.45,     12123.55,-524.3
4,,NIFTY Alpha 50,     31898.10,     30683.80,     31031.45,     29820.70,     29935.85,-1962.25
5,,NIFTY MIDCAP 150,     10717.00,     10387.40,     10470.95,     10119.30,     10138.40,-578.6
6,,NIFTY SMLCAP 50,      4552.05,      4383.05,      4423.20,      4230.15,      4254.00,-298.05
7,,NIFTY SMLCAP 250,      8982.90,      8659.45,      8747.85,      8428.30,      8454.95,-527.95
8,,NIFTY MIDSML 400,     10092.10,      9765.05,      9847.50,      9510.40,      9532.05,-560.05
9,,NIFTY200 QUALTY30,     14099.90,     13721.00,     13849.70,     13480.80,     13521.05,-578.85
10,,Nifty FinSrv25 50,     17021.10,     16476.80,     16645.05,     16052.05,     16119.95,-901.15
11,,NIFTY AlphaLowVol,     16494.80,     16024.10,     16215.15,     15776.10,     15814.90,-679.9
12,,Nifty200Momentm30,     19384.75,     18731.15,     18931.35,     18226.95,     18266.60,-1118.15
13,,Nifty100ESGSecLdr,      2877.90,      2792.75,      2817.25,      2734.85,      2742.80,-135.1
14,,NIFTY100 ESG,      3447.25,      3340.25,      3369.95,      3266.80,      3275.60,-171.65
15,,NIFTY M150 QLTY50,     16113.25,     15688.40,     15797.60,     15343.90,     15386.25,-727.0
16,,NIFTY INDIA MFG,      7705.50,      7491.45,      7547.65,      7312.95,      7323.75,-381.75
17,,Nifty IT,     34114.30,     33077.65,     33396.25,     32438.25,     32547.90,-1566.4
18,,Nifty Next 50,     40434.20,     39060.05,     39448.55,     38082.70,     38165.20,-2269.0
19,,Nifty Bank,     37392.05,     36085.20,     36709.15,     34991.35,     35228.10,-2163.95
20,,NIFTY MIDCAP 100,     28467.00,     27562.60,     27809.50,     26779.05,     26832.65,-1634.35
21,,Nifty 500,     14506.95,     14055.85,     14180.85,     13747.45,     13775.70,-731.25
22,,Nifty 100,     17273.45,     16742.80,     16897.85,     16384.45,     16428.05,-845.4
23,,Nifty Midcap 50,      7894.25,      7650.30,      7715.45,      7394.85,      7407.65,-486.6
24,,Nifty Realty,       443.55,       421.35,       431.70,       408.85,       411.75,-31.8
25,,Nifty Infra,      4842.40,      4708.65,      4742.65,      4570.60,      4581.65,-260.75
26,,Nifty Energy,     24164.75,     23513.75,     23679.10,     22831.10,     22928.10,-1236.65
27,,Nifty FMCG,     35933.10,     34984.95,     35452.75,     34608.65,     34735.15,-1197.95
28,,Nifty MNC,     18596.35,     18140.15,     18283.95,     17840.65,     17886.20,-710.15
29,,Nifty Pharma,     12976.30,     12677.75,     12808.70,     12467.90,     12500.10,-476.2
30,,Nifty PSE,      3890.00,      3804.05,      3834.20,      3682.00,      3692.35,-197.65
31,,Nifty PSU Bank,      2773.90,      2634.55,      2693.00,      2533.30,      2544.70,-229.2
32,,Nifty Serv Sector,     23871.30,     23095.55,     23330.00,     22611.80,     22695.15,-1176.15
33,,India VIX,24.5425,24.5425,33.9725,24.5425,31.9825,7.44
