,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17171.95,     17009.05,     17054.30,     16888.70,     16953.95,-218.0
1,,NIFTY50 EQL Wgt,     19670.80,     19443.25,     19473.40,     19262.35,     19326.45,-344.35
2,,NIFTY100 EQL Wgt,     20730.30,     20510.85,     20511.25,     20266.90,     20328.20,-402.1
3,,NIFTY100 LowVol30,     12791.90,     12662.90,     12679.60,     12570.95,     12611.75,-180.15
4,,NIFTY Alpha 50,     35315.40,     34777.35,     34782.40,     34259.05,     34318.15,-997.25
5,,NIFTY MIDCAP 150,     11352.15,     11262.35,     11264.45,     11114.00,     11146.25,-205.9
6,,NIFTY SMLCAP 50,      4847.30,      4805.10,      4805.10,      4728.70,      4741.85,-105.45
7,,NIFTY SMLCAP 250,      9720.30,      9649.45,      9653.10,      9511.40,      9526.05,-194.25
8,,NIFTY MIDSML 400,     10762.75,     10679.75,     10681.45,     10535.45,     10561.20,-201.55
9,,NIFTY200 QUALTY30,     14325.00,     14184.90,     14186.30,     14040.95,     14087.35,-237.65
10,,Nifty FinSrv25 50,     16466.65,     16356.35,     16432.15,     16243.05,     16369.90,-96.75
11,,NIFTY AlphaLowVol,     16769.90,     16587.60,     16636.20,     16472.05,     16503.35,-266.55
12,,Nifty200Momentm30,     19856.45,     19626.10,     19632.25,     19395.05,     19483.95,-372.5
13,,Nifty100ESGSecLdr,      2893.75,      2863.70,      2866.60,      2841.80,      2853.05,-40.7
14,,NIFTY100 ESG,      3463.30,      3426.90,      3427.85,      3402.65,      3412.40,-50.9
15,,NIFTY M150 QLTY50,     16846.25,     16757.55,     16757.55,     16511.35,     16560.70,-285.55
16,,NIFTY INDIA MFG,      8155.80,      8066.35,      8087.30,      7958.40,      7987.75,-168.05
17,,Nifty IT,     32426.70,     32103.20,     32130.45,     31637.45,     31744.00,-682.7
18,,Nifty Next 50,     42934.55,     42498.75,     42498.75,     41956.50,     42084.35,-850.2
19,,Nifty Bank,     36044.75,     35792.35,     36270.15,     35511.40,     36082.35,37.6
20,,NIFTY MIDCAP 100,     30315.85,     30055.85,     30057.25,     29637.90,     29733.10,-582.75
21,,Nifty 500,     14894.85,     14758.60,     14769.10,     14623.10,     14673.00,-221.85
22,,Nifty 100,     17541.10,     17373.15,     17403.90,     17236.45,     17300.35,-240.75
23,,Nifty Midcap 50,      8299.75,      8223.00,      8226.60,      8086.85,      8121.35,-178.4
24,,Nifty Realty,       448.10,       444.05,       444.20,       429.95,       431.25,-16.85
25,,Nifty Infra,      5197.05,      5146.10,      5152.70,      5068.65,      5090.25,-106.8
26,,Nifty Energy,     28877.65,     28562.30,     28651.75,     28015.60,     28155.10,-722.55
27,,Nifty FMCG,     37775.45,     37317.90,     37674.30,     36926.05,     37167.40,-608.05
28,,Nifty MNC,     18552.50,     18343.15,     18423.35,     18237.55,     18289.70,-262.8
29,,Nifty Pharma,     13569.85,     13441.95,     13516.80,     13263.10,     13296.75,-273.1
30,,Nifty PSE,      4429.90,      4374.15,      4388.05,      4268.00,      4283.85,-146.05
31,,Nifty PSU Bank,      2786.75,      2761.20,      2774.00,      2736.10,      2750.35,-36.4
32,,Nifty Serv Sector,     23397.90,     23201.95,     23313.90,     23074.25,     23225.30,-172.6
33,,India VIX,18.3525,18.3525,21.7550,18.3525,21.2575,2.905
34,,Nifty Auto,     11028.15,     10918.15,     11063.85,     10864.40,     10916.50,-111.65
35,,Nifty Metal,      6440.65,      6322.25,      6346.30,      6215.40,      6256.80,-183.85
36,,Nifty Media,      2290.60,      2273.80,      2274.85,      2223.75,      2241.00,-49.6
37,,NIFTY SMLCAP 100,     10537.20,     10446.55,     10448.10,     10266.20,     10282.60,-254.6
38,,Nifty 200,      9179.50,      9092.90,      9103.15,      9013.80,      9046.50,-133.0
39,,Nifty Div Opps 50,      3683.75,      3639.65,      3640.95,      3592.35,      3600.90,-82.85
40,,Nifty Commodities,      6348.50,      6258.15,      6281.65,      6156.35,      6183.30,-165.2
41,,Nifty Consumption,      7075.85,      6994.80,      7023.80,      6948.15,      6971.00,-104.85
42,,Nifty Fin Service,     16664.45,     16545.25,     16715.95,     16434.40,     16639.95,-24.5
43,,Nifty50 Div Point,         2.42,         2.42,         2.42,         2.42,         2.42,0.0
44,,Nifty100 Liq 15,      4607.55,      4558.05,      4576.10,      4520.80,      4540.85,-66.7
45,,Nifty CPSE,      2766.00,      2733.55,      2752.60,      2668.35,      2680.15,-85.85
46,,Nifty GrowSect 15,      7775.90,      7687.55,      7716.70,      7632.85,      7654.75,-121.15
47,,Nifty50 PR 2x Lev,      8434.30,      8271.65,      8315.75,      8153.55,      8217.50,-216.8
48,,Nifty50 PR 1x Inv,       257.65,       260.15,       261.95,       259.50,       261.00,3.35
49,,Nifty50 TR 2x Lev,     11522.35,     11300.15,     11360.40,     11138.85,     11226.20,-296.15
50,,Nifty50 TR 1x Inv,       220.55,       222.70,       224.25,       222.10,       223.40,2.85
51,,Nifty50 Value 20,      8856.75,      8748.55,      8753.45,      8664.90,      8686.15,-170.6
52,,Nifty Mid Liq 15,      7462.75,      7393.80,      7402.25,      7251.65,      7293.05,-169.7
53,,Nifty Pvt Bank,     18288.70,     18154.85,     18404.05,     18020.95,     18306.50,17.8
54,,NIFTY100 Qualty30,      3775.70,      3734.30,      3743.50,      3706.35,      3717.95,-57.75
55,,Nifty GS 8 13Yr,      2238.48,      2238.90,      2255.79,      2238.90,      2255.30,16.82
56,,Nifty GS 10Yr,      1996.38,      1996.75,      2015.67,      1996.75,      2014.95,18.57
57,,Nifty GS 10Yr Cln,       876.31,       876.31,       884.76,       876.31,       884.44,8.13
58,,Nifty GS 4 8Yr,      2468.21,      2468.66,      2477.00,      2468.66,      2477.00,8.79
59,,Nifty GS 11 15Yr,      2424.68,      2425.15,      2445.98,      2425.15,      2445.78,21.1
60,,Nifty GS 15YrPlus,      2628.91,      2629.44,      2650.04,      2629.44,      2650.04,21.13
61,,Nifty GS Compsite,      2321.14,      2321.56,      2337.57,      2321.56,      2337.43,16.29
62,,NIFTY HEALTHCARE,      8534.05,      8448.50,      8490.80,      8338.05,      8360.65,-173.4
63,,NIFTY CONSR DURBL,     27644.85,     27372.70,     27439.40,     27189.10,     27264.30,-380.55
64,,NIFTY OIL AND GAS,      8420.45,      8350.15,      8359.05,      8185.65,      8216.60,-203.85
65,,NIFTY500 MULTICAP,      9800.90,      9716.75,      9716.75,      9611.80,      9640.10,-160.8
66,,NIFTY LARGEMID250,      9713.60,      9628.80,      9628.80,      9527.20,      9558.55,-155.05
67,,NIFTY MID SELECT,      7352.25,      7281.75,      7286.95,      7167.45,      7194.25,-158.0
68,,NIFTY TOTAL MKT,      8299.50,      8223.90,      8228.90,      8147.00,      8174.80,-124.7
69,,NIFTY MICROCAP250,     10998.40,     10914.05,     10918.50,     10741.90,     10778.15,-220.25
70,,NIFTY IND DIGITAL,      6167.15,      6110.90,      6112.80,      5995.30,      6001.15,-166.0
71,,ADVANCES,441,,,,,
72,,DECLINES,1738,,,,,
73,,UNCHANGED,42,,,,,
74,,Total securities that have hit their price bands today,282,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,ICICIBANK,EQ,       747.65,       752.20,0.61,2676.88,
78,,RELIANCE,EQ,      2758.80,      2695.00,-2.31,2134.98,
79,,AWL,EQ,       728.55,       764.95,5,1627.09,
80,,HDFCBANK,EQ,      1355.60,      1365.75,0.75,1415.76,
81,,INFY,EQ,      1585.45,      1561.10,-1.54,1093.03,
82,,TATASTEEL,EQ,      1277.55,      1220.35,-4.48,891.68,
83,,ADANIPORTS,EQ,       874.15,       859.55,-1.67,876.32,
84,,ADANIPOWER,EQ,       259.10,       272.05,5,700.63,
85,,TCS,EQ,      3612.55,      3548.20,-1.78,697.58,
86,,SBIN,EQ,       500.60,       494.75,-1.17,695.93,
87,,RUCHI,EQ,       957.95,       949.70,-0.86,672.45,
88,,HDFC,EQ,      2206.40,      2210.50,0.19,658.68,
89,,BORORENEW,EQ,       782.35,       736.90,-5.81,651.88,
90,,TATAMOTORS,EQ,       438.85,       425.15,-3.12,631.59,
91,,AXISBANK,EQ,       780.60,       780.70,0.01,627.46,
92,,ITC,EQ,       261.10,       255.25,-2.24,618.03,
93,,TATAPOWER,EQ,       253.10,       247.35,-2.27,609.94,
94,,MARUTI,EQ,      7904.50,      7912.35,0.1,556.97,
95,,JUBLFOOD,EQ,       574.35,       540.60,-5.88,540.32,
96,,HINDALCO,EQ,       514.15,       495.50,-3.63,536.32,
97,,TATAELXSI,EQ,      8358.00,      8009.40,-4.17,519.24,
98,,HINDUNILVR,EQ,      2126.95,      2100.75,-1.23,512.07,
99,,COALINDIA,EQ,       202.15,       188.45,-6.78,509.22,
100,,M&M,EQ,       920.65,       904.00,-1.81,502.34,
101,,AMBUJACEM,EQ,       374.20,       376.35,0.57,489.83,
102,,Top Five Nifty 50 Gainers:,,,,,,
103,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
104,,BAJAJ-AUTO,EQ,      3682.95,      3642.50,1.11,,
105,,HDFCBANK,EQ,      1365.75,      1355.60,.75,,
106,,ICICIBANK,EQ,       752.20,       747.65,.61,,
107,,HDFC,EQ,      2210.50,      2206.40,.19,,
108,,MARUTI,EQ,      7912.35,      7904.50,.1,,
109,,Top Five Nifty 50 Losers:,,,,,,
110,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
111,,COALINDIA,EQ,       188.45,       202.15,-6.78,,
112,,BPCL,EQ,       369.70,       393.40,-6.02,,
113,,IOC,EQ,       127.75,       134.35,-4.91,,
114,,TATASTEEL,EQ,      1220.35,      1277.55,-4.48,,
115,,SBILIFE,EQ,      1091.25,      1137.25,-4.04,,
116,,Securities Price Volume Data in Normal market,,,,,,
117,,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY,,
118,,20MICRONS,EQ,        86.40,                 20390237.15,232270,,
119,,21STCENMGM,EQ,        29.75,                   275877.70,9232,,
120,,3IINFOLTD,EQ,        61.65,                 40220361.10,655338,,
121,,3MINDIA,EQ,     20165.00,                 50884429.80,2509,,
122,,3PLAND,BE,        17.45,                    38698.95,2252,,
123,,426GS2023,GS,       100.28,                    10028.00,100,,
124,,5PAISA,EQ,       369.55,                 10799994.30,29045,,
125,,63MOONS,BE,       271.15,                  4243226.35,15649,,
126,,667GS2035,GS,        97.00,                    29100.00,300,,
127,,667GS2050,GS,        94.49,                      188.98,2,,
128,,676GS2061,GS,        94.00,                   522185.40,5555,,
129,,695GS2061,GS,       101.85,                      199.85,2,,
