,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17200.80,     17073.35,     17110.70,     16958.45,     17038.40,-162.4
1,,NIFTY50 EQL Wgt,     19654.90,     19515.95,     19552.05,     19338.90,     19444.70,-210.2
2,,NIFTY100 EQL Wgt,     20700.40,     20560.95,     20609.55,     20356.20,     20461.70,-238.7
3,,NIFTY100 LowVol30,     12820.30,     12743.85,     12800.60,     12676.00,     12773.50,-46.8
4,,NIFTY Alpha 50,     34687.60,     34424.50,     34626.25,     34022.55,     34368.75,-318.85
5,,NIFTY MIDCAP 150,     11307.30,     11245.70,     11278.65,     11129.25,     11213.40,-93.9
6,,NIFTY SMLCAP 50,      4781.70,      4735.30,      4773.35,      4695.55,      4768.60,-13.1
7,,NIFTY SMLCAP 250,      9623.75,      9559.85,      9600.10,      9477.35,      9568.55,-55.2
8,,NIFTY MIDSML 400,     10699.70,     10637.35,     10672.80,     10537.15,     10619.55,-80.15
9,,NIFTY200 QUALTY30,     14310.75,     14219.45,     14275.05,     14142.70,     14251.05,-59.7
10,,Nifty FinSrv25 50,     16599.30,     16464.35,     16505.30,     16277.30,     16362.10,-237.2
11,,NIFTY AlphaLowVol,     16750.50,     16647.00,     16693.05,     16516.95,     16617.40,-133.1
12,,Nifty200Momentm30,     19789.05,     19662.80,     19718.90,     19374.85,     19505.95,-283.1
13,,Nifty100ESGSecLdr,      2902.40,      2881.55,      2887.50,      2867.30,      2876.95,-25.45
14,,NIFTY100 ESG,      3475.60,      3451.55,      3455.35,      3422.45,      3437.80,-37.8
15,,NIFTY M150 QLTY50,     16651.80,     16559.40,     16607.35,     16414.50,     16557.20,-94.6
16,,NIFTY INDIA MFG,      8113.65,      8055.90,      8084.00,      8001.45,      8061.90,-51.75
17,,Nifty IT,     31840.05,     31689.85,     31689.85,     31276.15,     31594.35,-245.7
18,,Nifty Next 50,     43072.25,     42830.65,     42960.90,     42320.30,     42504.75,-567.5
19,,Nifty Bank,     36404.80,     36067.55,     36175.90,     35747.15,     36028.85,-375.95
