,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17805.25,     17820.10,     17944.70,     17748.85,     17925.25,120.0
1,,NIFTY50 EQL Wgt,     19768.60,     19766.20,     19945.35,     19729.00,     19934.35,165.75
2,,NIFTY100 EQL Wgt,     20825.85,     20832.55,     20990.10,     20787.80,     20975.85,150.0
3,,NIFTY100 LowVol30,     13408.55,     13413.20,     13461.90,     13369.85,     13452.65,44.1
4,,NIFTY Alpha 50,     35021.30,     34957.00,     35052.65,     34757.60,     34912.50,-108.8
5,,NIFTY MIDCAP 150,     11702.10,     11712.60,     11735.05,     11649.25,     11705.05,2.95
6,,NIFTY SMLCAP 50,      5426.25,      5423.40,      5434.40,      5377.40,      5420.10,-6.15
7,,NIFTY SMLCAP 250,     10018.45,     10020.10,     10048.25,      9960.75,     10024.30,5.85
8,,NIFTY MIDSML 400,     11093.90,     11101.30,     11124.55,     11039.50,     11097.90,4.0
9,,NIFTY200 QUALTY30,     15348.55,     15337.65,     15349.85,     15269.90,     15316.70,-31.85
10,,Nifty FinSrv25 50,     17833.20,     17877.25,     18171.50,     17837.75,     18130.50,297.3
11,,NIFTY AlphaLowVol,     17911.55,     17907.35,     17927.10,     17782.45,     17879.00,-32.55
12,,Nifty200Momentm30,     21107.40,     21079.40,     21098.40,     20895.35,     21018.15,-89.25
13,,Nifty100ESGSecLdr,      3027.80,      3031.30,      3045.70,      3017.30,      3042.90,15.1
14,,Nifty IT,     39370.70,     39261.55,     39293.15,     38409.25,     38609.15,-761.55
15,,Nifty Next 50,     42556.35,     42574.40,     42789.25,     42431.50,     42760.40,204.05
16,,Nifty Bank,     36840.15,     36943.55,     37862.40,     36756.35,     37695.90,855.75
17,,NIFTY MIDCAP 100,     30870.35,     30868.75,     30971.30,     30728.15,     30917.55,47.2
18,,Nifty 500,     15318.75,     15329.75,     15410.60,     15264.85,     15396.40,77.65
19,,Nifty 100,     18030.95,     18044.30,     18164.70,     17974.90,     18147.50,116.55
20,,Nifty Midcap 50,      8559.15,      8565.60,      8588.05,      8518.30,      8570.80,11.65
21,,Nifty Realty,       487.05,       487.85,       494.55,       483.85,       492.90,5.85
22,,Nifty Infra,      5068.70,      5072.40,      5108.45,      5051.50,      5103.15,34.45
23,,Nifty Energy,     23370.35,     23333.35,     23548.25,     23274.95,     23518.00,147.65
24,,Nifty FMCG,     37800.35,     37798.70,     37941.40,     37690.70,     37910.95,110.6
25,,Nifty MNC,     19387.70,     19407.35,     19467.05,     19342.15,     19445.80,58.1
26,,Nifty Pharma,     14040.65,     14090.30,     14136.15,     13968.95,     13999.85,-40.8
27,,Nifty PSE,      3952.45,      3954.20,      3988.95,      3940.25,      3983.30,30.85
28,,Nifty PSU Bank,      2616.75,      2611.35,      2667.75,      2602.75,      2658.35,41.6
29,,Nifty Serv Sector,     25091.15,     25124.90,     25289.45,     25015.70,     25250.40,159.25
30,,India VIX,16.1200,16.1200,17.3800,15.0875,17.2275,1.1075
31,,Nifty Auto,     11139.40,     11133.10,     11277.80,     11103.20,     11256.85,117.45
32,,Nifty Metal,      5606.85,      5600.60,      5691.90,      5583.25,      5684.15,77.3
33,,Nifty Media,      2251.40,      2253.05,      2254.95,      2231.75,      2241.45,-9.95
