,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17925.25,     17768.50,     17797.95,     17655.55,     17745.90,-179.35
1,,NIFTY50 EQL Wgt,     19934.35,     19815.80,     19838.65,     19706.75,     19821.55,-112.8
2,,NIFTY100 EQL Wgt,     20975.85,     20857.00,     20900.50,     20757.20,     20884.65,-91.2
3,,NIFTY100 LowVol30,     13452.65,     13372.60,     13384.00,     13279.80,     13333.80,-118.85
4,,NIFTY Alpha 50,     34912.50,     34630.20,     35015.15,     34475.60,     34947.25,34.75
5,,NIFTY MIDCAP 150,     11705.05,     11627.95,     11706.10,     11574.70,     11698.70,-6.35
6,,NIFTY SMLCAP 50,      5420.10,      5372.55,      5419.80,      5352.90,      5412.25,-7.85
7,,NIFTY SMLCAP 250,     10024.30,      9964.50,     10045.60,      9919.25,     10034.95,10.65
8,,NIFTY MIDSML 400,     11097.90,     11027.00,     11103.90,     10976.90,     11097.55,-0.35
9,,NIFTY200 QUALTY30,     15316.70,     15211.85,     15229.30,     15138.60,     15219.50,-97.2
10,,Nifty FinSrv25 50,     18130.50,     17930.00,     18070.50,     17836.80,     17986.30,-144.2
11,,NIFTY AlphaLowVol,     17879.00,     17755.65,     17780.85,     17664.40,     17747.05,-131.95
12,,Nifty200Momentm30,     21018.15,     20839.10,     20975.30,     20763.20,     20948.10,-70.05
13,,Nifty100ESGSecLdr,      3042.90,      3018.55,      3021.10,      2995.90,      3010.20,-32.7
14,,Nifty IT,     38609.15,     38181.35,     38206.60,     37757.20,     38009.00,-600.15
15,,Nifty Next 50,     42760.40,     42531.05,     42678.60,     42300.45,     42649.60,-110.8
16,,Nifty Bank,     37695.90,     37242.55,     37752.50,     37058.45,     37490.25,-205.65
17,,NIFTY MIDCAP 100,     30917.55,     30701.30,     30983.05,     30566.75,     30956.85,39.3
18,,Nifty 500,     15396.40,     15275.75,     15315.50,     15197.10,     15290.10,-106.3
19,,Nifty 100,     18147.50,     17997.60,     18025.25,     17889.75,     17985.60,-161.9
20,,Nifty Midcap 50,      8570.80,      8504.30,      8606.35,      8470.00,      8596.20,25.4
21,,Nifty Realty,       492.90,       490.95,       490.95,       480.95,       485.65,-7.25
22,,Nifty Infra,      5103.15,      5086.35,      5086.35,      5038.70,      5061.65,-41.5
23,,Nifty Energy,     23518.00,     23419.00,     23421.25,     23148.00,     23370.60,-147.4
24,,Nifty FMCG,     37910.95,     37704.25,     37786.25,     37427.95,     37622.50,-288.45
25,,Nifty MNC,     19445.80,     19360.20,     19428.65,     19301.60,     19402.65,-43.15
26,,Nifty Pharma,     13999.85,     13988.50,     14066.80,     13878.30,     13912.25,-87.6
27,,Nifty PSE,      3983.30,      3975.75,      3985.95,      3948.65,      3981.60,-1.7
28,,Nifty PSU Bank,      2658.35,      2627.25,      2686.90,      2621.05,      2671.05,12.7
29,,Nifty Serv Sector,     25250.40,     24981.45,     25105.70,     24837.45,     25017.35,-233.05
30,,India VIX,17.2275,17.2275,18.4175,16.4000,17.9775,0.75
31,,Nifty Auto,     11256.85,     11186.60,     11334.90,     11122.05,     11316.60,59.75
32,,Nifty Metal,      5684.15,      5667.10,      5706.95,      5626.20,      5656.00,-28.15
33,,Nifty Media,      2241.45,      2215.25,      2269.25,      2214.75,      2261.80,20.35
34,,NIFTY SMLCAP 100,     11426.45,     11339.55,     11461.00,     11296.15,     11450.10,23.65
35,,Nifty 200,      9477.20,      9400.50,      9422.40,      9351.60,      9405.40,-71.8
36,,Nifty Div Opps 50,      3786.00,      3763.60,      3765.35,      3738.40,      3756.35,-29.65
37,,Nifty Commodities,      5779.55,      5762.10,      5772.75,      5704.00,      5739.60,-39.95
38,,Nifty Consumption,      7172.15,      7133.70,      7179.55,      7105.00,      7172.80,0.65
39,,Nifty Fin Service,     18336.65,     18111.60,     18284.75,     18016.80,     18174.80,-161.85
40,,Nifty50 Div Point,       154.60,       154.60,       154.60,       154.60,       154.60,0.0
41,,Nifty100 Liq 15,      4536.00,      4504.65,      4526.15,      4487.30,      4519.20,-16.8
42,,Nifty CPSE,      2350.95,      2349.40,      2351.10,      2330.20,      2348.15,-2.8
43,,Nifty GrowSect 15,      7737.25,      7712.00,      7733.30,      7666.65,      7701.85,-35.4
44,,Nifty50 PR 2x Lev,      9410.35,      9244.95,      9273.60,      9126.70,      9221.25,-189.1
45,,Nifty50 PR 1x Inv,       247.40,       249.60,       251.15,       249.25,       249.90,2.5
46,,Nifty50 TR 2x Lev,     12800.05,     12575.05,     12614.05,     12414.20,     12542.80,-257.25
47,,Nifty50 TR 1x Inv,       212.30,       214.15,       215.50,       213.85,       214.40,2.1
48,,Nifty50 Value 20,      9320.25,      9257.25,      9260.15,      9175.35,      9218.75,-101.5
