,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17315.50,     17405.05,     17442.40,     17199.60,     17245.65,-69.85
1,,NIFTY50 EQL Wgt,     19347.65,     19464.05,     19488.45,     19253.60,     19312.30,-35.35
2,,NIFTY100 EQL Wgt,     20086.65,     20210.25,     20242.30,     20039.95,     20099.45,12.8
3,,NIFTY100 LowVol30,     12618.35,     12679.50,     12695.45,     12532.25,     12561.65,-56.7
4,,NIFTY Alpha 50,     34237.60,     34482.70,     34600.90,     34353.65,     34409.85,172.25
5,,NIFTY MIDCAP 150,     10871.50,     10934.60,     10966.20,     10881.35,     10909.40,37.9
6,,NIFTY SMLCAP 50,      4809.45,      4844.75,      4862.95,      4799.35,      4807.75,-1.7
7,,NIFTY SMLCAP 250,      9330.35,      9401.75,      9426.20,      9300.65,      9316.45,-13.9
8,,NIFTY MIDSML 400,     10314.80,     10380.75,     10409.10,     10317.10,     10334.30,19.5
9,,NIFTY200 QUALTY30,     14292.90,     14355.05,     14375.30,     14242.30,     14264.85,-28.05
10,,Nifty FinSrv25 50,     16752.15,     16867.25,     16935.20,     16596.70,     16645.80,-106.35
11,,NIFTY AlphaLowVol,     16721.75,     16816.75,     16835.45,     16643.25,     16679.75,-42.0
12,,Nifty200Momentm30,     20083.90,     20215.00,     20226.00,     19983.50,     20027.95,-55.95
13,,Nifty100ESGSecLdr,      2920.80,      2934.70,      2941.45,      2901.45,      2908.70,-12.1
14,,NIFTY100 ESG,      3457.90,      3477.90,      3482.30,      3438.65,      3449.25,-8.65
15,,NIFTY M150 QLTY50,     16419.30,     16497.10,     16568.90,     16387.80,     16411.85,-7.45
16,,NIFTY INDIA MFG,      7926.30,      7981.70,      7996.10,      7911.90,      7939.40,13.1
17,,Nifty IT,     36070.45,     36251.85,     36362.95,     35883.10,     36082.00,11.55
18,,Nifty Next 50,     40572.85,     40838.95,     40923.85,     40543.80,     40660.95,88.1
19,,Nifty Bank,     36348.55,     36627.70,     36827.60,     36064.75,     36147.35,-201.2
20,,NIFTY MIDCAP 100,     28977.30,     29148.55,     29259.10,     29047.65,     29137.30,160.0
21,,Nifty 500,     14724.05,     14806.60,     14833.30,     14660.45,     14695.15,-28.9
22,,Nifty 100,     17499.20,     17593.40,     17625.90,     17399.80,     17446.05,-53.15
23,,Nifty Midcap 50,      7985.90,      8036.25,      8071.10,      8004.55,      8027.55,41.65
24,,Nifty Realty,       443.10,       446.70,       451.25,       440.00,       441.55,-1.55
25,,Nifty Infra,      4890.95,      4907.35,      4916.05,      4868.80,      4882.85,-8.1
26,,Nifty Energy,     25359.50,     25431.85,     25689.95,     25431.85,     25569.75,210.25
27,,Nifty FMCG,     35887.05,     36126.35,     36136.75,     35751.30,     35789.85,-97.2
28,,Nifty MNC,     17949.65,     18059.45,     18082.95,     17864.75,     17900.80,-48.85
29,,Nifty Pharma,     13513.15,     13582.45,     13725.15,     13541.45,     13569.65,56.5
30,,Nifty PSE,      4064.75,      4087.70,      4097.10,      4054.50,      4074.90,10.15
31,,Nifty PSU Bank,      2716.35,      2736.05,      2763.85,      2697.15,      2702.90,-13.45
32,,Nifty Serv Sector,     24037.10,     24182.55,     24236.20,     23808.70,     23883.75,-153.35
33,,India VIX,24.0700,24.0700,24.9750,20.4550,24.7475,0.6775
34,,Nifty Auto,     10572.90,     10625.80,     10659.15,     10435.70,     10463.45,-109.45
35,,Nifty Metal,      6323.70,      6387.85,      6444.15,      6283.90,      6399.95,76.25
36,,Nifty Media,      2187.65,      2203.05,      2212.55,      2170.85,      2192.25,4.6
37,,NIFTY SMLCAP 100,     10332.20,     10403.05,     10431.05,     10291.45,     10311.00,-21.2
38,,Nifty 200,      9104.75,      9154.40,      9170.95,      9062.85,      9087.15,-17.6
39,,Nifty Div Opps 50,      3680.65,      3701.35,      3705.30,      3668.50,      3681.70,1.05
40,,Nifty Commodities,      5913.80,      5953.20,      5978.40,      5904.25,      5957.90,44.1
41,,Nifty Consumption,      6791.10,      6826.10,      6830.50,      6739.15,      6748.15,-42.95
42,,Nifty Fin Service,     17087.15,     17207.15,     17277.75,     16898.80,     16936.75,-150.4
43,,Nifty50 Div Point,       189.17,       189.17,       189.17,       189.17,       189.17,0.0
44,,Nifty100 Liq 15,      4502.35,      4529.65,      4539.65,      4481.10,      4489.90,-12.45
45,,Nifty CPSE,      2500.20,      2512.10,      2520.35,      2485.00,      2500.80,0.6
46,,Nifty GrowSect 15,      7473.50,      7518.00,      7520.80,      7424.55,      7434.85,-38.65
47,,Nifty50 PR 2x Lev,      8620.25,      8708.60,      8745.10,      8505.25,      8549.90,-70.35
48,,Nifty50 PR 1x Inv,       255.25,       253.95,       257.00,       253.45,       256.30,1.05
49,,Nifty50 TR 2x Lev,     11772.95,     11893.60,     11943.45,     11615.85,     11676.90,-96.05
50,,Nifty50 TR 1x Inv,       218.55,       217.45,       220.05,       217.00,       219.45,0.9
51,,Nifty50 Value 20,      9103.30,      9153.45,      9163.25,      9069.90,      9113.45,10.15
52,,Nifty Mid Liq 15,      7178.85,      7232.35,      7256.60,      7193.10,      7215.95,37.1
53,,Nifty Pvt Bank,     18375.70,     18509.70,     18610.55,     18245.75,     18289.60,-86.1
54,,NIFTY100 Qualty30,      3780.65,      3799.60,      3804.55,      3757.05,      3766.30,-14.35
55,,Nifty GS 8 13Yr,      2275.67,      2276.09,      2277.51,      2274.73,      2275.99,0.32
56,,Nifty GS 10Yr,      2033.21,      2033.58,      2034.71,      2030.25,      2032.50,-0.71
57,,Nifty GS 10Yr Cln,       898.10,       898.10,       898.61,       896.61,       897.62,-0.48
58,,Nifty GS 4 8Yr,      2501.38,      2501.79,      2504.14,      2500.44,      2501.81,0.43
59,,Nifty GS 11 15Yr,      2450.02,      2450.49,      2454.48,      2450.16,      2452.40,2.38
