,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     18003.30,     17997.75,     18081.25,     17964.40,     18055.75,52.45
1,,NIFTY50 EQL Wgt,     20094.85,     20090.00,     20137.60,     20037.55,     20098.45,3.6
2,,NIFTY100 EQL Wgt,     21125.00,     21124.45,     21168.30,     21037.40,     21091.10,-33.9
3,,NIFTY100 LowVol30,     13501.90,     13502.20,     13541.05,     13483.85,     13510.70,8.8
4,,NIFTY Alpha 50,     35391.15,     35501.10,     35601.70,     35239.75,     35302.55,-88.6
5,,NIFTY MIDCAP 150,     11820.40,     11820.75,     11888.10,     11800.65,     11839.30,18.9
6,,NIFTY SMLCAP 50,      5478.15,      5483.25,      5505.05,      5450.00,      5464.35,-13.8
7,,NIFTY SMLCAP 250,     10218.30,     10255.50,     10295.95,     10199.65,     10228.80,10.5
8,,NIFTY MIDSML 400,     11240.90,     11254.35,     11310.40,     11221.70,     11256.85,15.95
9,,NIFTY200 QUALTY30,     15356.65,     15332.35,     15412.30,     15318.25,     15389.80,33.15
10,,Nifty FinSrv25 50,     18235.45,     18235.65,     18294.55,     18139.50,     18271.25,35.8
11,,NIFTY AlphaLowVol,     17950.80,     17955.35,     18038.55,     17922.15,     17979.55,28.75
12,,Nifty200Momentm30,     21163.80,     21163.35,     21292.80,     21135.25,     21241.50,77.7
13,,Nifty100ESGSecLdr,      3043.90,      3043.60,      3054.15,      3037.20,      3051.35,7.45
14,,NIFTY100 ESG,      3675.90,      3674.85,      3691.45,      3671.00,      3688.80,12.9
15,,NIFTY M150 QLTY50,     18028.20,     18032.30,     18123.75,     18017.40,     18051.15,22.95
16,,NIFTY INDIA MFG,      8128.85,      8122.00,      8137.10,      8086.10,      8097.05,-31.8
17,,Nifty IT,     38212.20,     38186.95,     38664.40,     38138.00,     38605.40,393.2
18,,Nifty Next 50,     42994.30,     43009.35,     43073.40,     42759.55,     42975.30,-19.0
19,,Nifty Bank,     38347.90,     38370.00,     38504.60,     38031.75,     38442.20,94.3
20,,NIFTY MIDCAP 100,     31371.65,     31357.60,     31537.60,     31304.25,     31400.40,28.75
21,,Nifty 500,     15495.55,     15497.50,     15559.10,     15462.05,     15530.55,35.0
22,,Nifty 100,     18229.10,     18225.70,     18295.00,     18181.40,     18275.15,46.05
23,,Nifty Midcap 50,      8726.20,      8718.50,      8773.05,      8710.60,      8735.60,9.4
24,,Nifty Realty,       495.15,       496.10,       503.65,       494.00,       497.95,2.8
25,,Nifty Infra,      5133.40,      5132.30,      5162.90,      5122.25,      5149.65,16.25
26,,Nifty Energy,     23712.35,     23777.50,     24051.45,     23706.00,     24003.30,290.95
27,,Nifty FMCG,     37984.05,     38039.90,     38111.35,     37781.65,     37849.90,-134.15
28,,Nifty MNC,     19564.80,     19536.30,     19588.75,     19414.20,     19465.80,-99.0
29,,Nifty Pharma,     13858.95,     13881.70,     13974.60,     13834.15,     13854.25,-4.7
30,,Nifty PSE,      4055.00,      4057.30,      4060.25,      4021.00,      4028.05,-26.95
31,,Nifty PSU Bank,      2759.85,      2756.60,      2770.60,      2734.65,      2753.75,-6.1
32,,Nifty Serv Sector,     25377.55,     25374.20,     25529.70,     25305.65,     25510.65,133.1
33,,India VIX,17.6775,17.6775,18.2475,16.4375,17.7575,0.08
34,,Nifty Auto,     11501.70,     11476.95,     11542.35,     11439.50,     11479.70,-22.0
35,,Nifty Metal,      5718.80,      5692.35,      5707.65,      5602.90,      5610.35,-108.45
36,,Nifty Media,      2293.60,      2295.60,      2315.75,      2287.45,      2292.65,-0.95
37,,NIFTY SMLCAP 100,     11640.15,     11680.00,     11714.00,     11605.40,     11646.70,6.55
38,,Nifty 200,      9532.60,      9530.45,      9567.90,      9510.85,      9554.60,22.0
39,,Nifty Div Opps 50,      3807.40,      3805.15,      3814.50,      3797.85,      3805.90,-1.5
40,,Nifty Commodities,      5867.90,      5863.35,      5868.65,      5829.00,      5847.60,-20.3
41,,Nifty Consumption,      7241.75,      7235.90,      7258.40,      7204.85,      7223.90,-17.85
42,,Nifty Fin Service,     18483.85,     18487.10,     18562.85,     18381.85,     18538.80,54.95
43,,Nifty50 Div Point,       154.60,       154.60,       154.60,       154.60,       154.60,0.0
44,,Nifty100 Liq 15,      4557.80,      4557.00,      4584.65,      4537.15,      4576.35,18.55
45,,Nifty CPSE,      2389.90,      2392.90,      2401.00,      2382.65,      2390.00,0.1
46,,Nifty GrowSect 15,      7767.55,      7772.00,      7788.75,      7744.00,      7763.35,-4.2
47,,Nifty50 PR 2x Lev,      9486.05,      9479.25,      9566.95,      9444.65,      9540.40,54.35
48,,Nifty50 PR 1x Inv,       246.40,       246.50,       246.95,       245.35,       245.70,-0.7
49,,Nifty50 TR 2x Lev,     12903.00,     12893.75,     13013.05,     12846.70,     12976.95,73.95
50,,Nifty50 TR 1x Inv,       211.40,       211.50,       211.85,       210.50,       210.80,-0.6
51,,Nifty50 Value 20,      9363.80,      9356.15,      9407.50,      9343.60,      9393.65,29.85
52,,Nifty Mid Liq 15,      7603.85,      7605.10,      7653.35,      7592.15,      7628.70,24.85
53,,Nifty Pvt Bank,     19410.45,     19430.10,     19485.25,     19224.25,     19419.75,9.3
54,,NIFTY100 Qualty30,      4058.20,      4055.70,      4066.60,      4048.20,      4062.35,4.15
55,,Nifty GS 8 13Yr,      2283.06,      2283.47,      2284.84,      2283.03,      2284.71,1.65
56,,Nifty GS 10Yr,      2043.56,      2043.90,      2045.84,      2043.17,      2045.63,2.07
57,,Nifty GS 10Yr Cln,       914.54,       914.54,       915.43,       914.20,       915.33,0.79
58,,Nifty GS 4 8Yr,      2479.36,      2479.77,      2481.99,      2479.77,      2481.90,2.54
59,,Nifty GS 11 15Yr,      2440.49,      2440.95,      2444.33,      2440.95,      2444.25,3.76
60,,Nifty GS 15YrPlus,      2646.59,      2647.11,      2647.11,      2647.11,      2647.11,0.52
61,,Nifty GS Compsite,      2344.22,      2344.63,      2346.59,      2344.46,      2346.54,2.32
