,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     16594.90,     16528.80,     16694.40,     16470.90,     16630.45,35.55
1,,NIFTY50 EQL Wgt,     18681.60,     18640.70,     18790.55,     18569.75,     18769.30,87.7
2,,NIFTY100 EQL Wgt,     19575.30,     19533.65,     19698.70,     19472.30,     19677.25,101.95
3,,NIFTY100 LowVol30,     12364.90,     12343.25,     12426.65,     12297.95,     12414.70,49.8
4,,NIFTY Alpha 50,     32955.20,     32933.40,     33242.10,     32782.20,     33122.25,167.05
5,,NIFTY MIDCAP 150,     10547.65,     10529.35,     10618.30,     10487.75,     10604.65,57.0
6,,NIFTY SMLCAP 50,      4673.60,      4664.25,      4743.75,      4649.95,      4707.75,34.15
7,,NIFTY SMLCAP 250,      9025.40,      9033.95,      9142.65,      9005.00,      9105.90,80.5
8,,NIFTY MIDSML 400,      9997.95,      9989.15,     10077.50,      9954.20,     10063.25,65.3
9,,NIFTY200 QUALTY30,     14110.70,     14094.70,     14138.80,     14015.40,     14126.85,16.15
10,,Nifty FinSrv25 50,     15885.55,     15807.65,     16041.30,     15716.80,     15924.50,38.95
11,,NIFTY AlphaLowVol,     16322.20,     16300.10,     16391.35,     16229.75,     16379.75,57.55
12,,Nifty200Momentm30,     19404.50,     19347.75,     19461.80,     19252.20,     19436.75,32.25
13,,Nifty100ESGSecLdr,      2813.95,      2803.90,      2828.65,      2794.15,      2818.90,4.95
14,,NIFTY100 ESG,      3353.05,      3341.00,      3365.95,      3329.05,      3357.80,4.75
15,,NIFTY M150 QLTY50,     16076.35,     16085.10,     16199.95,     16028.25,     16180.20,103.85
16,,NIFTY INDIA MFG,      7632.65,      7620.95,      7699.95,      7600.90,      7687.70,55.05
17,,Nifty IT,     35399.10,     35203.80,     35478.35,     35148.10,     35348.70,-50.4
18,,Nifty Next 50,     39890.80,     39813.50,     40130.65,     39696.90,     40087.10,196.3
19,,Nifty Bank,     34475.60,     34331.00,     34880.05,     34094.30,     34546.25,70.65
20,,NIFTY MIDCAP 100,     28038.70,     27981.85,     28247.35,     27855.40,     28210.35,171.65
21,,Nifty 500,     14189.00,     14145.50,     14268.30,     14098.70,     14237.15,48.15
22,,Nifty 100,     16835.50,     16773.60,     16928.25,     16717.00,     16877.70,42.2
23,,Nifty Midcap 50,      7724.45,      7702.35,      7788.15,      7667.85,      7778.25,53.8
24,,Nifty Realty,       428.20,       427.40,       432.40,       425.55,       430.20,2.0
25,,Nifty Infra,      4773.95,      4758.70,      4800.70,      4747.85,      4797.45,23.5
26,,Nifty Energy,     24816.65,     24760.80,     25043.05,     24722.70,     25004.30,187.65
27,,Nifty FMCG,     35530.30,     35519.95,     35655.45,     35255.60,     35613.65,83.35
28,,Nifty MNC,     17746.05,     17734.10,     17781.10,     17625.15,     17695.60,-50.45
29,,Nifty Pharma,     13077.05,     13073.65,     13426.50,     13031.10,     13399.00,321.95
30,,Nifty PSE,      4041.35,      4042.45,      4098.95,      4037.45,      4093.30,51.95
31,,Nifty PSU Bank,      2632.65,      2625.40,      2665.90,      2608.15,      2656.95,24.3
32,,Nifty Serv Sector,     23062.75,     22955.85,     23244.55,     22855.25,     23068.10,5.35
33,,India VIX,25.5825,25.5825,25.8725,24.5800,25.3450,-0.2375
34,,Nifty Auto,     10019.35,      9964.70,     10020.10,      9868.80,      9979.70,-39.65
35,,Nifty Metal,      6161.95,      6175.60,      6275.55,      6151.90,      6190.05,28.1
36,,Nifty Media,      2132.25,      2138.85,      2165.60,      2123.50,      2131.55,-0.7
37,,NIFTY SMLCAP 100,     10066.50,     10055.15,     10198.65,     10018.40,     10158.40,91.9
38,,Nifty 200,      8765.95,      8735.60,      8812.15,      8705.10,      8792.00,26.05
39,,Nifty Div Opps 50,      3621.25,      3615.25,      3639.80,      3608.15,      3634.45,13.2
40,,Nifty Commodities,      5733.55,      5731.00,      5787.60,      5716.85,      5761.50,27.95
41,,Nifty Consumption,      6593.10,      6584.35,      6613.15,      6542.80,      6607.90,14.8
42,,Nifty Fin Service,     16134.95,     16055.40,     16316.35,     15952.45,     16165.20,30.25
43,,Nifty50 Div Point,       189.17,       189.17,       189.17,       189.17,       189.17,0.0
44,,Nifty100 Liq 15,      4334.20,      4317.60,      4365.80,      4299.85,      4341.95,7.75
45,,Nifty CPSE,      2503.15,      2504.45,      2523.60,      2492.10,      2520.30,17.15
46,,Nifty GrowSect 15,      7252.75,      7240.90,      7328.70,      7195.10,      7317.60,64.85
47,,Nifty50 PR 2x Lev,      7936.50,      7872.50,      8030.50,      7818.65,      7969.75,33.25
48,,Nifty50 PR 1x Inv,       266.40,       267.50,       268.40,       264.85,       265.85,-0.55
49,,Nifty50 TR 2x Lev,     10839.15,     10751.75,     10967.50,     10678.20,     10884.55,45.4
50,,Nifty50 TR 1x Inv,       228.10,       229.00,       229.80,       226.75,       227.60,-0.5
51,,Nifty50 Value 20,      8898.00,      8867.65,      8933.10,      8849.90,      8922.70,24.7
52,,Nifty Mid Liq 15,      6888.00,      6861.20,      6926.60,      6827.15,      6916.90,28.9
53,,Nifty Pvt Bank,     17473.80,     17403.60,     17676.15,     17287.95,     17482.15,8.35
