,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     16871.30,     16900.65,     16927.75,     16555.00,     16663.00,-208.3
1,,NIFTY50 EQL Wgt,     18884.80,     18888.20,     18950.80,     18593.10,     18709.35,-175.45
2,,NIFTY100 EQL Wgt,     19712.90,     19736.25,     19806.25,     19411.75,     19531.20,-181.7
3,,NIFTY100 LowVol30,     12478.05,     12500.40,     12568.65,     12352.40,     12423.95,-54.1
4,,NIFTY Alpha 50,     33420.15,     33636.20,     33678.70,     32771.95,     32981.70,-438.45
5,,NIFTY MIDCAP 150,     10619.55,     10657.95,     10695.65,     10486.20,     10534.25,-85.3
6,,NIFTY SMLCAP 50,      4711.75,      4741.80,      4760.75,      4631.30,      4650.80,-60.95
7,,NIFTY SMLCAP 250,      9143.55,      9197.45,      9220.30,      9034.95,      9067.95,-75.6
8,,NIFTY MIDSML 400,     10086.15,     10130.00,     10161.80,      9962.05,     10004.35,-81.8
9,,NIFTY200 QUALTY30,     14214.55,     14237.40,     14285.15,     13992.35,     14060.95,-153.6
10,,Nifty FinSrv25 50,     16194.85,     16240.55,     16342.70,     15944.00,     16053.10,-141.75
11,,NIFTY AlphaLowVol,     16488.85,     16531.20,     16671.25,     16428.35,     16495.10,6.25
12,,Nifty200Momentm30,     19642.55,     19689.75,     19734.10,     19224.70,     19356.15,-286.4
13,,Nifty100ESGSecLdr,      2851.90,      2856.40,      2861.25,      2796.20,      2812.60,-39.3
14,,NIFTY100 ESG,      3384.80,      3392.25,      3401.40,      3331.15,      3350.80,-34.0
15,,NIFTY M150 QLTY50,     16196.10,     16260.35,     16286.65,     15970.30,     16019.30,-176.8
16,,NIFTY INDIA MFG,      7699.45,      7700.75,      7725.45,      7579.95,      7630.85,-68.6
17,,Nifty IT,     36028.00,     36131.45,     36131.45,     34996.55,     35097.85,-930.15
18,,Nifty Next 50,     39939.85,     40028.30,     40169.80,     39304.65,     39567.35,-372.5
19,,Nifty Bank,     35312.15,     35467.95,     35643.80,     34706.05,     35022.65,-289.5
20,,NIFTY MIDCAP 100,     28267.50,     28357.50,     28485.65,     27878.75,     28021.35,-246.15
21,,Nifty 500,     14374.60,     14408.75,     14433.75,     14130.90,     14215.85,-158.75
22,,Nifty 100,     17076.60,     17107.75,     17136.90,     16764.25,     16873.45,-203.15
23,,Nifty Midcap 50,      7806.10,      7828.40,      7873.25,      7701.45,      7740.10,-66.0
24,,Nifty Realty,       422.95,       425.90,       432.85,       418.00,       421.70,-1.25
25,,Nifty Infra,      4811.05,      4815.95,      4828.35,      4715.45,      4754.30,-56.75
26,,Nifty Energy,     24889.80,     24886.60,     24918.90,     24205.00,     24347.95,-541.85
27,,Nifty FMCG,     35589.40,     35534.30,     35985.45,     35438.30,     35649.95,60.55
28,,Nifty MNC,     17727.65,     17722.60,     17851.70,     17555.65,     17640.10,-87.55
29,,Nifty Pharma,     13351.90,     13358.60,     13556.10,     13250.10,     13318.85,-33.05
30,,Nifty PSE,      4052.90,      4036.35,      4045.95,      3935.10,      3958.15,-94.75
31,,Nifty PSU Bank,      2709.70,      2721.60,      2742.85,      2666.50,      2682.90,-26.8
32,,Nifty Serv Sector,     23536.90,     23603.30,     23637.30,     23073.90,     23223.40,-313.5
33,,India VIX,25.6775,25.6775,27.5425,23.6575,26.7300,1.0525
34,,Nifty Auto,     10074.30,     10075.40,     10302.45,     10060.70,     10131.30,57.0
35,,Nifty Metal,      6161.05,      6113.40,      6116.30,      5868.85,      5910.10,-250.95
36,,Nifty Media,      2183.70,      2192.25,      2205.60,      2129.05,      2133.45,-50.25
37,,NIFTY SMLCAP 100,     10180.35,     10240.40,     10270.80,      9995.35,     10036.60,-143.75
38,,Nifty 200,      8884.45,      8902.25,      8918.00,      8727.20,      8782.45,-102.0
39,,Nifty Div Opps 50,      3653.85,      3652.25,      3657.80,      3576.40,      3593.10,-60.75
40,,Nifty Commodities,      5751.20,      5740.50,      5743.45,      5591.10,      5630.30,-120.9
41,,Nifty Consumption,      6637.30,      6649.50,      6718.90,      6612.35,      6657.40,20.1
42,,Nifty Fin Service,     16514.25,     16570.70,     16651.80,     16225.80,     16352.10,-162.15
43,,Nifty50 Div Point,       189.17,       189.17,       189.17,       189.17,       189.17,0.0
44,,Nifty100 Liq 15,      4385.65,      4394.90,      4405.95,      4308.70,      4339.60,-46.05
45,,Nifty CPSE,      2497.20,      2475.40,      2485.10,      2413.75,      2427.10,-70.1
46,,Nifty GrowSect 15,      7345.45,      7339.70,      7451.55,      7305.05,      7355.15,9.7
47,,Nifty50 PR 2x Lev,      8198.35,      8226.20,      8251.65,      7890.95,      7995.20,-203.15
48,,Nifty50 PR 1x Inv,       262.10,       261.65,       267.00,       261.25,       265.35,3.25
49,,Nifty50 TR 2x Lev,     11196.80,     11234.75,     11269.55,     10776.95,     10919.30,-277.5
50,,Nifty50 TR 1x Inv,       224.40,       224.00,       228.60,       223.65,       227.20,2.8
51,,Nifty50 Value 20,      9004.55,      8995.10,      9008.00,      8803.65,      8846.70,-157.85
52,,Nifty Mid Liq 15,      6948.65,      6963.75,      7042.80,      6912.90,      6952.95,4.3
53,,Nifty Pvt Bank,     17828.20,     17911.70,     18009.95,     17499.35,     17650.50,-177.7
