,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17374.75,     17076.15,     17099.50,     16809.65,     16842.80,-531.95
1,,NIFTY50 EQL Wgt,     19577.55,     19258.40,     19280.15,     18914.65,     18959.10,-618.45
2,,NIFTY100 EQL Wgt,     20544.30,     20156.35,     20218.80,     19824.20,     19872.30,-672.0
3,,NIFTY100 LowVol30,     12876.30,     12678.95,     12698.95,     12514.55,     12541.20,-335.1
4,,NIFTY Alpha 50,     33311.90,     32301.05,     32632.65,     31777.50,     31848.05,-1463.85
5,,NIFTY MIDCAP 150,     11197.15,     10936.45,     10985.80,     10737.90,     10768.50,-428.65
6,,NIFTY SMLCAP 50,      4946.45,      4811.65,      4862.65,      4719.45,      4733.30,-213.15
7,,NIFTY SMLCAP 250,      9596.15,      9361.40,      9412.65,      9166.30,      9187.60,-408.55
8,,NIFTY MIDSML 400,     10618.75,     10367.50,     10417.45,     10171.25,     10197.70,-421.05
9,,NIFTY200 QUALTY30,     14280.20,     14036.45,     14114.35,     13937.20,     13971.30,-308.9
10,,Nifty FinSrv25 50,     17512.50,     17164.20,     17199.25,     16742.75,     16776.20,-736.3
11,,NIFTY AlphaLowVol,     16624.95,     16348.60,     16442.80,     16236.70,     16279.65,-345.3
12,,Nifty200Momentm30,     19726.05,     19284.05,     19431.30,     18982.25,     19038.50,-687.55
13,,Nifty100ESGSecLdr,      2908.20,      2860.60,      2865.95,      2823.05,      2828.55,-79.65
14,,NIFTY100 ESG,      3498.55,      3434.85,      3448.65,      3392.60,      3400.25,-98.3
15,,NIFTY M150 QLTY50,     16744.55,     16419.05,     16483.20,     16214.50,     16258.10,-486.45
16,,NIFTY INDIA MFG,      7961.95,      7806.00,      7823.35,      7679.90,      7698.50,-263.45
17,,Nifty IT,     34379.05,     33857.40,     34466.65,     33666.25,     33880.65,-498.4
18,,Nifty Next 50,     41553.05,     40661.80,     40970.35,     40055.10,     40164.80,-1388.25
19,,Nifty Bank,     38517.25,     37664.00,     37796.55,     36828.05,     36908.55,-1608.7
20,,NIFTY MIDCAP 100,     29729.40,     29050.80,     29189.20,     28479.55,     28558.75,-1170.65
21,,Nifty 500,     14891.30,     14606.55,     14638.65,     14370.70,     14400.40,-490.9
22,,Nifty 100,     17606.60,     17293.10,     17318.45,     17026.40,     17060.70,-545.9
