,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17757.00,     17613.70,     17707.60,     17485.85,     17617.15,-139.85
1,,NIFTY50 EQL Wgt,     19871.55,     19740.30,     19784.15,     19481.35,     19629.60,-241.95
2,,NIFTY100 EQL Wgt,     20970.20,     20845.10,     20854.80,     20509.95,     20667.85,-302.35
3,,NIFTY100 LowVol30,     13186.85,     13118.80,     13169.55,     13032.50,     13129.50,-57.35
4,,NIFTY Alpha 50,     35675.05,     35540.15,     35632.70,     34659.85,     34964.90,-710.15
5,,NIFTY MIDCAP 150,     11801.20,     11745.30,     11765.60,     11474.00,     11551.65,-249.55
6,,NIFTY SMLCAP 50,      5415.85,      5386.00,      5402.80,      5251.20,      5282.05,-133.8
7,,NIFTY SMLCAP 250,     10269.25,     10217.75,     10266.60,     10007.35,     10076.85,-192.4
8,,NIFTY MIDSML 400,     11246.60,     11192.30,     11222.30,     10943.10,     11017.55,-229.05
9,,NIFTY200 QUALTY30,     14802.45,     14744.80,     14753.20,     14522.55,     14615.25,-187.2
10,,Nifty FinSrv25 50,     17965.95,     17812.85,     17913.00,     17667.45,     17832.95,-133.0
11,,NIFTY AlphaLowVol,     17389.25,     17309.70,     17329.20,     17058.65,     17184.05,-205.2
12,,Nifty200Momentm30,     20854.50,     20697.45,     20707.50,     20186.95,     20313.95,-540.55
13,,Nifty100ESGSecLdr,      3005.35,      2982.20,      2997.50,      2960.65,      2983.25,-22.1
14,,NIFTY100 ESG,      3623.20,      3596.65,      3601.80,      3553.65,      3581.15,-42.05
15,,NIFTY M150 QLTY50,     17955.50,     17894.40,     17937.55,     17541.85,     17607.40,-348.1
16,,NIFTY INDIA MFG,      8153.65,      8108.50,      8125.75,      7958.05,      8018.25,-135.4
17,,Nifty IT,     36662.20,     36354.30,     36579.65,     35836.65,     36054.55,-607.65
18,,Nifty Next 50,     42895.85,     42662.75,     42683.65,     41832.75,     42182.20,-713.65
19,,Nifty Bank,     37850.85,     37522.35,     37741.00,     37224.25,     37574.30,-276.55
20,,NIFTY MIDCAP 100,     31312.05,     31167.90,     31209.55,     30342.70,     30563.60,-748.45
21,,Nifty 500,     15361.10,     15252.90,     15294.70,     15069.05,     15180.80,-180.3
22,,Nifty 100,     18021.10,     17882.35,     17953.60,     17721.30,     17856.15,-164.95
23,,Nifty Midcap 50,      8655.15,      8610.65,      8625.90,      8378.10,      8436.80,-218.35
24,,Nifty Realty,       503.05,       498.20,       500.35,       485.15,       491.20,-11.85
25,,Nifty Infra,      5185.50,      5148.90,      5176.05,      5066.45,      5100.45,-85.05
26,,Nifty Energy,     25270.10,     25113.60,     25289.05,     24774.50,     25055.85,-214.25
27,,Nifty FMCG,     36681.40,     36633.65,     36993.95,     36502.95,     36812.90,131.5
28,,Nifty MNC,     19035.85,     18975.70,     19134.45,     18870.05,     19019.15,-16.7
29,,Nifty Pharma,     13454.90,     13409.65,     13417.60,     13150.70,     13243.05,-211.85
30,,Nifty PSE,      4150.85,      4128.60,      4149.25,      4034.05,      4062.65,-88.2
31,,Nifty PSU Bank,      2794.95,      2763.75,      2770.65,      2687.75,      2709.60,-85.35
32,,Nifty Serv Sector,     24937.80,     24712.45,     24792.10,     24495.70,     24694.35,-243.45
33,,India VIX,17.7900,17.7900,19.6050,16.9825,18.8875,1.0975
34,,Nifty Auto,     11583.20,     11509.90,     11682.80,     11421.25,     11561.75,-21.45
35,,Nifty Metal,      5831.15,      5800.65,      5824.75,      5663.85,      5719.55,-111.6
36,,Nifty Media,      2308.30,      2309.60,      2312.75,      2212.90,      2228.25,-80.05
37,,NIFTY SMLCAP 100,     11683.65,     11629.15,     11669.70,     11342.70,     11416.95,-266.7
38,,Nifty 200,      9435.90,      9367.15,      9394.55,      9260.80,      9330.85,-105.05
39,,Nifty Div Opps 50,      3777.40,      3756.75,      3781.65,      3710.85,      3735.85,-41.55
40,,Nifty Commodities,      5990.65,      5954.00,      5967.65,      5830.70,      5879.20,-111.45
41,,Nifty Consumption,      7046.45,      7016.70,      7048.45,      6953.75,      6999.05,-47.4
42,,Nifty Fin Service,     18137.95,     17974.35,     18114.30,     17858.10,     18047.05,-90.9
43,,Nifty50 Div Point,       158.74,       159.08,       159.08,       159.08,       159.08,0.34
44,,Nifty100 Liq 15,      4547.75,      4508.45,      4532.35,      4454.20,      4487.55,-60.2
45,,Nifty CPSE,      2466.95,      2451.35,      2468.75,      2410.15,      2428.20,-38.75
46,,Nifty GrowSect 15,      7573.20,      7551.30,      7600.00,      7501.45,      7580.65,7.45
47,,Nifty50 PR 2x Lev,      9215.45,      9065.65,      9162.75,      8934.35,      9069.25,-146.2
48,,Nifty50 PR 1x Inv,       250.00,       252.05,       253.80,       250.70,       252.00,2.0
49,,Nifty50 TR 2x Lev,     12540.85,     12337.45,     12469.60,     12158.75,     12342.30,-198.55
50,,Nifty50 TR 1x Inv,       214.40,       216.15,       217.70,       215.00,       216.10,1.7
51,,Nifty50 Value 20,      9218.70,      9160.10,      9221.35,      9070.55,      9132.80,-85.9
52,,Nifty Mid Liq 15,      7658.95,      7603.65,      7624.45,      7388.40,      7448.40,-210.55
53,,Nifty Pvt Bank,     19105.10,     18948.10,     19032.45,     18755.00,     18929.55,-175.55
54,,NIFTY100 Qualty30,      3916.35,      3896.40,      3906.25,      3860.55,      3888.00,-28.35
55,,Nifty GS 8 13Yr,      2279.42,      2279.85,      2281.38,      2276.99,      2279.21,-0.21
56,,Nifty GS 10Yr,      2042.72,      2043.07,      2045.62,      2039.28,      2041.18,-1.54
57,,Nifty GS 10Yr Cln,       912.58,       912.58,       913.73,       910.89,       911.74,-0.84
58,,Nifty GS 4 8Yr,      2484.52,      2484.92,      2485.21,      2483.02,      2484.66,0.14
59,,Nifty GS 11 15Yr,      2437.68,      2438.14,      2438.57,      2434.98,      2437.67,-0.01
60,,Nifty GS 15YrPlus,      2642.53,      2643.05,      2643.05,      2643.05,      2643.05,0.52
61,,Nifty GS Compsite,      2345.45,      2345.86,      2346.75,      2343.65,      2345.24,-0.21
62,,NIFTY HEALTHCARE,      8424.50,      8397.65,      8400.35,      8247.65,      8302.95,-121.55
63,,NIFTY CONSR DURBL,     29465.75,     29208.35,     29244.80,     28472.45,     28594.80,-870.95
64,,NIFTY OIL AND GAS,      7856.35,      7808.85,      7858.35,      7687.65,      7766.90,-89.45
65,,NIFTY500 MULTICAP,     10168.00,     10104.15,     10134.45,      9947.95,     10019.50,-148.5
66,,NIFTY LARGEMID250,     10035.75,      9973.35,      9995.65,      9813.30,      9883.55,-152.2
67,,NIFTY MID SELECT,      7747.65,      7705.65,      7708.70,      7489.95,      7549.75,-197.9
68,,NIFTY TOTAL MKT,      8552.40,      8493.00,      8516.85,      8388.10,      8450.15,-102.25
69,,NIFTY MICROCAP250,     11038.25,     11009.00,     11071.35,     10732.90,     10805.60,-232.65
70,,NIFTY IND DIGITAL,      6917.20,      6875.50,      6878.65,      6699.75,      6738.95,-178.25
71,,ADVANCES,461,,,,,
72,,DECLINES,1672,,,,,
73,,UNCHANGED,40,,,,,
74,,Total securities that have hit their price bands today,350,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,RELIANCE,EQ,      2477.45,      2477.85,0.02,1524.06,
78,,TATAELXSI,EQ,      7430.45,      7200.70,-3.09,1519.95,
79,,INFY,EQ,      1823.70,      1785.70,-2.08,1476.57,
80,,TCS,EQ,      3826.55,      3833.50,0.18,1189.1,
81,,HINDUNILVR,EQ,      2261.80,      2325.40,2.81,1055.9,
82,,HDFC,EQ,      2569.30,      2592.95,0.92,1018.92,
83,,BAJFINANCE,EQ,      7530.25,      7373.75,-2.08,1015.27,
84,,ICICIBANK,EQ,       810.25,       804.50,-0.71,969.69,
85,,BAJAJFINSV,EQ,     17258.95,     16335.20,-5.35,923.84,
86,,TATAMOTORS,EQ,       515.70,       501.85,-2.69,909.56,
87,,TATAPOWER,EQ,       248.65,       241.95,-2.69,872.51,
