,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17339.85,     17529.45,     17622.40,     17244.55,     17576.85,237.0
1,,NIFTY50 EQL Wgt,     19496.85,     19665.25,     19765.00,     19367.85,     19739.55,242.7
2,,NIFTY100 EQL Wgt,     20370.00,     20538.10,     20690.10,     20283.15,     20661.10,291.1
3,,NIFTY100 LowVol30,     12939.15,     13054.90,     13117.80,     12905.75,     13083.40,144.25
4,,NIFTY Alpha 50,     33759.45,     34082.05,     34200.00,     33571.85,     34023.10,263.65
5,,NIFTY MIDCAP 150,     11413.65,     11519.65,     11539.80,     11366.20,     11531.30,117.65
6,,NIFTY SMLCAP 50,      5161.80,      5210.10,      5222.95,      5117.55,      5193.20,31.4
7,,NIFTY SMLCAP 250,      9813.10,      9900.70,      9922.35,      9753.45,      9886.60,73.5
8,,NIFTY MIDSML 400,     10835.20,     10934.55,     10946.10,     10783.95,     10937.10,101.9
9,,NIFTY200 QUALTY30,     14298.85,     14440.70,     14507.20,     14295.30,     14487.95,189.1
10,,Nifty FinSrv25 50,     17597.55,     17807.95,     17958.00,     17496.15,     17826.95,229.4
11,,NIFTY AlphaLowVol,     16690.65,     16840.75,     16953.25,     16674.45,     16928.25,237.6
12,,Nifty200Momentm30,     19897.25,     20091.00,     20119.50,     19676.00,     20069.80,172.55
13,,Nifty100ESGSecLdr,      2907.05,      2939.15,      2956.90,      2895.30,      2949.30,42.25
14,,NIFTY100 ESG,      3501.75,      3537.30,      3558.40,      3489.60,      3551.75,50.0
15,,NIFTY M150 QLTY50,     17271.75,     17432.65,     17471.80,     17169.00,     17338.80,67.05
16,,NIFTY INDIA MFG,      7897.70,      7954.95,      8005.80,      7851.30,      7997.05,99.35
17,,Nifty IT,     34824.55,     35337.95,     35435.50,     34754.35,     35371.65,547.1
18,,Nifty Next 50,     41097.25,     41427.55,     41898.20,     41085.90,     41810.60,713.35
19,,Nifty Bank,     37975.35,     38460.45,     38802.70,     37690.60,     38505.50,530.15
20,,NIFTY MIDCAP 100,     30273.95,     30570.55,     30645.15,     30129.15,     30611.60,337.65
21,,Nifty 500,     14921.45,     15073.15,     15138.20,     14850.30,     15116.20,194.75
22,,Nifty 100,     17547.40,     17731.55,     17826.15,     17464.25,     17796.25,248.85
23,,Nifty Midcap 50,      8395.40,      8481.75,      8485.55,      8327.10,      8472.30,76.9
24,,Nifty Realty,       480.25,       486.15,       491.15,       475.85,       488.65,8.4
25,,Nifty Infra,      5056.75,      5097.25,      5125.80,      5019.10,      5109.90,53.15
26,,Nifty Energy,     24983.95,     25180.35,     25261.10,     24622.50,     24888.45,-95.5
27,,Nifty FMCG,     36467.25,     36720.05,     37231.35,     36533.70,     37183.80,716.55
28,,Nifty MNC,     18827.20,     18971.55,     19139.25,     18831.10,     19113.00,285.8
29,,Nifty Pharma,     13179.90,     13280.05,     13495.00,     13222.70,     13477.50,297.6
30,,Nifty PSE,      4156.35,      4190.65,      4190.65,      4077.90,      4132.50,-23.85
31,,Nifty PSU Bank,      2982.25,      3012.15,      3018.10,      2880.65,      2964.95,-17.3
