,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17475.65,     17183.45,     17237.75,     17067.85,     17173.65,-302.0
1,,NIFTY50 EQL Wgt,     19826.10,     19672.80,     19750.30,     19569.70,     19724.00,-102.1
2,,NIFTY100 EQL Wgt,     20968.35,     20824.45,     20876.00,     20670.80,     20845.30,-123.05
3,,NIFTY100 LowVol30,     12897.10,     12776.00,     12846.40,     12740.05,     12829.10,-68.0
4,,NIFTY Alpha 50,     36352.15,     36008.70,     36023.25,     35448.20,     35680.90,-671.25
5,,NIFTY MIDCAP 150,     11527.40,     11453.20,     11453.20,     11313.30,     11395.90,-131.5
6,,NIFTY SMLCAP 50,      4929.25,      4900.50,      4900.50,      4816.15,      4849.95,-79.3
7,,NIFTY SMLCAP 250,      9857.95,      9812.60,      9812.60,      9712.40,      9770.80,-87.15
8,,NIFTY MIDSML 400,     10924.50,     10860.60,     10860.60,     10736.20,     10808.85,-115.65
9,,NIFTY200 QUALTY30,     14486.60,     14335.45,     14388.60,     14283.20,     14369.60,-117.0
10,,Nifty FinSrv25 50,     17164.00,     16913.15,     16968.60,     16747.30,     16857.50,-306.5
11,,NIFTY AlphaLowVol,     17027.10,     16844.40,     16932.55,     16767.15,     16905.45,-121.65
12,,Nifty200Momentm30,     20448.65,     20178.55,     20178.55,     19857.45,     20066.95,-381.7
13,,Nifty100ESGSecLdr,      2951.10,      2900.60,      2906.10,      2876.10,      2892.25,-58.85
14,,NIFTY100 ESG,      3537.00,      3489.00,      3492.25,      3456.60,      3485.15,-51.85
15,,NIFTY M150 QLTY50,     16995.60,     16899.05,     16901.55,     16689.20,     16804.45,-191.15
16,,NIFTY INDIA MFG,      8156.85,      8125.30,      8161.00,      8073.10,      8144.70,-12.15
17,,Nifty IT,     34354.75,     33174.55,     33366.15,     32600.90,     32780.05,-1574.7
18,,Nifty Next 50,     43443.90,     43185.50,     43365.30,     42784.40,     43289.40,-154.5
19,,Nifty Bank,     37463.40,     36833.15,     36965.85,     36441.35,     36729.00,-734.4
20,,NIFTY MIDCAP 100,     30796.30,     30565.85,     30586.00,     30212.00,     30473.55,-322.75
21,,Nifty 500,     15138.55,     14942.60,     14971.50,     14821.25,     14926.05,-212.5
22,,Nifty 100,     17835.20,     17566.00,     17615.05,     17440.60,     17565.95,-269.25
23,,Nifty Midcap 50,      8455.40,      8373.05,      8383.70,      8277.15,      8352.25,-103.15
24,,Nifty Realty,       464.10,       460.40,       461.70,       450.30,       458.20,-5.9
25,,Nifty Infra,      5142.60,      5114.00,      5122.15,      5069.15,      5110.40,-32.2
26,,Nifty Energy,     28193.70,     28109.30,     28524.85,     27850.25,     28423.20,229.5
27,,Nifty FMCG,     38191.40,     38028.60,     38527.10,     37952.40,     38422.10,230.7
28,,Nifty MNC,     18627.45,     18513.60,     18618.40,     18400.25,     18583.30,-44.15
29,,Nifty Pharma,     13772.75,     13699.40,     13823.45,     13612.30,     13717.30,-55.45
30,,Nifty PSE,      4376.15,      4379.10,      4431.00,      4372.00,      4426.10,49.95
31,,Nifty PSU Bank,      2900.70,      2873.60,      2875.00,      2803.30,      2828.40,-72.3
32,,Nifty Serv Sector,     24389.50,     23821.75,     23872.35,     23564.00,     23750.35,-639.15
33,,India VIX,17.7850,17.7850,20.4825,17.7850,19.3350,1.55
34,,Nifty Auto,     10698.30,     10637.85,     10761.95,     10566.45,     10745.75,47.45
35,,Nifty Metal,      6627.00,      6624.90,      6684.75,      6576.70,      6648.95,21.95
36,,Nifty Media,      2389.70,      2368.05,      2378.55,      2321.65,      2355.00,-34.7
37,,NIFTY SMLCAP 100,     10738.00,     10679.15,     10679.15,     10533.20,     10603.70,-134.3
38,,Nifty 200,      9332.25,      9201.25,      9223.25,      9130.25,      9197.35,-134.9
39,,Nifty Div Opps 50,      3764.80,      3719.95,      3730.90,      3701.90,      3726.95,-37.85
40,,Nifty Commodities,      6349.35,      6333.95,      6370.20,      6287.15,      6358.75,9.4
41,,Nifty Consumption,      7049.55,      7008.95,      7051.35,      6978.60,      7038.55,-11.0
42,,Nifty Fin Service,     17419.60,     17124.35,     17172.30,     16931.95,     17034.65,-384.95
43,,Nifty50 Div Point,         1.69,         1.69,         1.69,         1.69,         1.69,0.0
44,,Nifty100 Liq 15,      4609.95,      4570.35,      4593.20,      4540.60,      4579.50,-30.45
45,,Nifty CPSE,      2700.75,      2710.10,      2767.90,      2706.35,      2765.40,64.65
46,,Nifty GrowSect 15,      7772.85,      7736.10,      7815.00,      7723.55,      7802.90,30.05
47,,Nifty50 PR 2x Lev,      8752.15,      8454.60,      8508.55,      8339.50,      8444.80,-307.35
48,,Nifty50 PR 1x Inv,       253.15,       257.55,       259.20,       256.75,       257.70,4.55
49,,Nifty50 TR 2x Lev,     11955.60,     11549.15,     11622.85,     11391.95,     11535.75,-419.85
50,,Nifty50 TR 1x Inv,       216.70,       220.45,       221.90,       219.80,       220.60,3.9
51,,Nifty50 Value 20,      9134.85,      8979.50,      9009.70,      8911.55,      8969.80,-165.05
52,,Nifty Mid Liq 15,      7675.35,      7579.65,      7582.80,      7473.00,      7551.80,-123.55
53,,Nifty Pvt Bank,     18942.70,     18639.45,     18713.55,     18464.35,     18619.40,-323.3
54,,NIFTY100 Qualty30,      3815.55,      3770.35,      3787.95,      3761.10,      3782.40,-33.15
55,,Nifty GS 8 13Yr,      2227.73,      2228.15,      2236.45,      2225.19,      2236.29,8.56
56,,Nifty GS 10Yr,      1985.87,      1986.25,      1996.92,      1981.95,      1996.92,11.05
57,,Nifty GS 10Yr Cln,       872.77,       872.77,       877.55,       870.86,       877.55,4.78
58,,Nifty GS 4 8Yr,      2461.89,      2462.34,      2469.06,      2460.68,      2469.06,7.17
59,,Nifty GS 11 15Yr,      2405.93,      2406.40,      2414.40,      2400.39,      2414.40,8.47
