,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17266.75,     17370.10,     17477.15,     17339.00,     17463.80,197.05
1,,NIFTY50 EQL Wgt,     19453.30,     19546.60,     19693.35,     19510.45,     19679.90,226.6
2,,NIFTY100 EQL Wgt,     20476.25,     20568.20,     20708.75,     20546.70,     20693.55,217.3
3,,NIFTY100 LowVol30,     12852.55,     12901.95,     12991.00,     12875.25,     12981.25,128.7
4,,NIFTY Alpha 50,     33225.35,     33408.35,     33693.50,     33347.70,     33618.25,392.9
5,,NIFTY MIDCAP 150,     11268.15,     11323.25,     11405.50,     11305.60,     11394.00,125.85
6,,NIFTY SMLCAP 50,      4979.40,      5011.65,      5035.30,      4984.50,      5013.65,34.25
7,,NIFTY SMLCAP 250,      9732.90,      9796.40,      9823.80,      9718.15,      9766.05,33.15
8,,NIFTY MIDSML 400,     10712.95,     10770.95,     10813.95,     10732.35,     10805.90,92.95
9,,NIFTY200 QUALTY30,     14315.10,     14378.45,     14526.95,     14361.05,     14512.95,197.85
10,,Nifty FinSrv25 50,     17372.40,     17491.50,     17600.10,     17449.55,     17583.40,211.0
11,,NIFTY AlphaLowVol,     16677.20,     16759.15,     16905.80,     16738.20,     16891.20,214.0
12,,Nifty200Momentm30,     19705.90,     19840.95,     20116.70,     19815.45,     20087.15,381.25
13,,Nifty100ESGSecLdr,      2891.95,      2908.85,      2925.35,      2903.55,      2922.70,30.75
14,,NIFTY100 ESG,      3491.10,      3510.45,      3533.45,      3505.60,      3530.60,39.5
15,,NIFTY M150 QLTY50,     16976.10,     17027.85,     17150.85,     17024.15,     17133.50,157.4
16,,NIFTY INDIA MFG,      7927.65,      7960.25,      8046.70,      7953.15,      8038.90,111.25
17,,Nifty IT,     34521.55,     34741.85,     35052.65,     34707.65,     34983.30,461.75
18,,Nifty Next 50,     41522.10,     41736.90,     42038.00,     41671.20,     41991.90,469.8
