,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17674.95,     17584.85,     17595.30,     17442.35,     17530.30,-144.65
1,,NIFTY50 EQL Wgt,     20038.45,     19957.00,     19960.30,     19727.20,     19838.05,-200.4
2,,NIFTY100 EQL Wgt,     21209.70,     21177.20,     21193.20,     20847.45,     20971.35,-238.35
3,,NIFTY100 LowVol30,     13031.20,     12985.60,     12986.85,     12873.30,     12918.20,-113.0
4,,NIFTY Alpha 50,     37422.20,     37293.75,     37471.60,     36210.40,     36605.30,-816.9
5,,NIFTY MIDCAP 150,     11747.90,     11745.40,     11745.40,     11444.85,     11537.65,-210.25
6,,NIFTY SMLCAP 50,      5003.95,      5004.20,      5004.30,      4867.30,      4908.10,-95.85
7,,NIFTY SMLCAP 250,      9966.55,      9972.50,      9972.50,      9747.15,      9825.20,-141.35
8,,NIFTY MIDSML 400,     11105.20,     11105.70,     11105.70,     10832.20,     10919.55,-185.65
9,,NIFTY200 QUALTY30,     14685.00,     14635.70,     14636.55,     14424.25,     14458.60,-226.4
10,,Nifty FinSrv25 50,     17339.90,     17264.90,     17359.80,     17152.50,     17288.85,-51.05
11,,NIFTY AlphaLowVol,     17206.20,     17156.15,     17159.60,     16966.30,     17020.05,-186.15
12,,Nifty200Momentm30,     20829.50,     20753.85,     20758.15,     20274.35,     20410.45,-419.05
13,,Nifty100ESGSecLdr,      2989.60,      2979.00,      2982.60,      2949.35,      2961.80,-27.8
14,,NIFTY100 ESG,      3576.55,      3571.15,      3573.25,      3526.00,      3544.60,-31.95
15,,NIFTY M150 QLTY50,     17242.75,     17247.40,     17252.65,     16910.10,     16993.35,-249.4
16,,NIFTY INDIA MFG,      8279.50,      8255.45,      8257.85,      8100.75,      8155.50,-124.0
17,,Nifty IT,     34895.90,     34683.85,     34747.75,     34204.10,     34379.50,-516.4
18,,Nifty Next 50,     43878.15,     43982.00,     44112.65,     43116.25,     43382.20,-495.95
19,,Nifty Bank,     37613.80,     37407.40,     37920.60,     37264.45,     37747.40,133.6
20,,NIFTY MIDCAP 100,     31408.15,     31396.70,     31396.70,     30539.40,     30804.90,-603.25
21,,Nifty 500,     15325.50,     15281.85,     15283.35,     15078.45,     15164.70,-160.8
22,,Nifty 100,     18032.40,     17965.30,     17970.95,     17786.95,     17877.55,-154.85
23,,Nifty Midcap 50,      8618.05,      8604.20,      8606.45,      8385.45,      8467.55,-150.5
24,,Nifty Realty,       479.85,       478.90,       479.40,       461.10,       466.60,-13.25
25,,Nifty Infra,      5214.50,      5201.20,      5202.60,      5114.00,      5130.90,-83.6
26,,Nifty Energy,     28235.25,     28384.65,     28706.35,     27910.60,     28059.05,-176.2
27,,Nifty FMCG,     38236.25,     38088.55,     38181.70,     37797.15,     37931.40,-304.85
28,,Nifty MNC,     18859.30,     18804.15,     18825.55,     18571.25,     18632.35,-226.95
