,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     16953.95,     17121.30,     17223.85,     17064.45,     17200.80,246.85
1,,NIFTY50 EQL Wgt,     19326.45,     19521.45,     19671.70,     19506.10,     19654.90,328.45
2,,NIFTY100 EQL Wgt,     20328.20,     20535.70,     20723.40,     20527.50,     20700.40,372.2
3,,NIFTY100 LowVol30,     12611.75,     12717.20,     12833.40,     12712.15,     12820.30,208.55
4,,NIFTY Alpha 50,     34318.15,     34501.90,     34836.05,     34403.10,     34687.60,369.45
5,,NIFTY MIDCAP 150,     11146.25,     11255.30,     11317.35,     11245.05,     11307.30,161.05
6,,NIFTY SMLCAP 50,      4741.85,      4800.85,      4810.40,      4760.30,      4781.70,39.85
7,,NIFTY SMLCAP 250,      9526.05,      9623.75,      9660.85,      9583.95,      9623.75,97.7
8,,NIFTY MIDSML 400,     10561.20,     10666.15,     10713.35,     10648.40,     10699.70,138.5
9,,NIFTY200 QUALTY30,     14087.35,     14194.55,     14324.20,     14193.95,     14310.75,223.4
10,,Nifty FinSrv25 50,     16369.90,     16547.55,     16630.05,     16493.95,     16599.30,229.4
11,,NIFTY AlphaLowVol,     16503.35,     16628.45,     16771.40,     16628.30,     16750.50,247.15
12,,Nifty200Momentm30,     19483.95,     19695.95,     19820.15,     19656.70,     19789.05,305.1
13,,Nifty100ESGSecLdr,      2853.05,      2878.45,      2906.40,      2872.45,      2902.40,49.35
14,,NIFTY100 ESG,      3412.40,      3445.60,      3479.25,      3445.10,      3475.60,63.2
15,,NIFTY M150 QLTY50,     16560.70,     16698.25,     16773.85,     16612.20,     16651.80,91.1
16,,NIFTY INDIA MFG,      7987.75,      8054.90,      8120.50,      8051.70,      8113.65,125.9
17,,Nifty IT,     31744.00,     32088.95,     32141.45,     31683.20,     31840.05,96.05
18,,Nifty Next 50,     42084.35,     42505.35,     43145.50,     42489.40,     43072.25,987.9
19,,Nifty Bank,     36082.35,     36515.35,     36604.55,     36265.90,     36404.80,322.45
20,,NIFTY MIDCAP 100,     29733.10,     30052.70,     30240.30,     30011.65,     30215.35,482.25
21,,Nifty 500,     14673.00,     14818.80,     14915.35,     14785.85,     14898.35,225.35
22,,Nifty 100,     17300.35,     17472.10,     17600.45,     17429.85,     17577.80,277.45
23,,Nifty Midcap 50,      8121.35,      8199.05,      8279.30,      8193.95,      8271.75,150.4
24,,Nifty Realty,       431.25,       436.05,       447.90,       435.55,       446.65,15.4
25,,Nifty Infra,      5090.25,      5140.80,      5205.75,      5120.05,      5195.30,105.05
26,,Nifty Energy,     28155.10,     28468.45,     29015.15,     28353.80,     28902.60,747.5
27,,Nifty FMCG,     37167.40,     37528.65,     37985.60,     37505.25,     37866.70,699.3
28,,Nifty MNC,     18289.70,     18460.80,     18544.60,     18389.00,     18499.70,210.0
29,,Nifty Pharma,     13296.75,     13384.40,     13505.65,     13376.05,     13444.10,147.35
30,,Nifty PSE,      4283.85,      4331.50,      4337.55,      4283.10,      4330.85,47.0
31,,Nifty PSU Bank,      2750.35,      2784.45,      2819.20,      2780.20,      2814.15,63.8
32,,Nifty Serv Sector,     23225.30,     23490.60,     23545.90,     23382.90,     23510.25,284.95
33,,India VIX,21.2575,21.2575,21.2575,19.0050,19.1875,-2.07
34,,Nifty Auto,     10916.50,     11027.55,     11229.25,     11018.40,     11221.75,305.25
35,,Nifty Metal,      6256.80,      6309.60,      6347.60,      6266.45,      6336.85,80.05
36,,Nifty Media,      2241.00,      2262.30,      2289.05,      2239.85,      2283.60,42.6
37,,NIFTY SMLCAP 100,     10282.60,     10399.05,     10434.55,     10350.85,     10402.45,119.85
38,,Nifty 200,      9046.50,      9137.35,      9202.55,      9117.70,      9191.80,145.3
39,,Nifty Div Opps 50,      3600.90,      3639.05,      3656.80,      3622.85,      3651.80,50.9
40,,Nifty Commodities,      6183.30,      6246.40,      6275.35,      6214.70,      6266.10,82.8
41,,Nifty Consumption,      6971.00,      7029.50,      7130.80,      7029.50,      7123.85,152.85
42,,Nifty Fin Service,     16639.95,     16831.50,     16856.10,     16720.20,     16804.80,164.85
43,,Nifty50 Div Point,         2.42,         2.42,         2.42,         2.42,         2.42,0.0
44,,Nifty100 Liq 15,      4540.85,      4591.10,      4624.90,      4584.65,      4616.50,75.65
45,,Nifty CPSE,      2680.15,      2712.75,      2716.90,      2679.90,      2711.45,31.3
46,,Nifty GrowSect 15,      7654.75,      7722.25,      7817.35,      7717.45,      7808.50,153.75
47,,Nifty50 PR 2x Lev,      8217.50,      8378.90,      8477.85,      8324.60,      8455.95,238.45
48,,Nifty50 PR 1x Inv,       261.00,       258.45,       259.30,       256.85,       257.20,-3.8
49,,Nifty50 TR 2x Lev,     11226.20,     11446.70,     11581.85,     11372.50,     11551.95,325.75
50,,Nifty50 TR 1x Inv,       223.40,       221.25,       221.95,       219.90,       220.20,-3.2
51,,Nifty50 Value 20,      8686.15,      8778.85,      8810.00,      8735.90,      8795.70,109.55
52,,Nifty Mid Liq 15,      7293.05,      7368.45,      7475.20,      7363.45,      7466.15,173.1
53,,Nifty Pvt Bank,     18306.50,     18543.90,     18579.30,     18402.70,     18478.55,172.05
54,,NIFTY100 Qualty30,      3717.95,      3746.30,      3782.25,      3746.30,      3779.15,61.2
55,,Nifty GS 8 13Yr,      2256.27,      2256.69,      2257.48,      2251.00,      2255.88,-0.39
56,,Nifty GS 10Yr,      2014.46,      2014.84,      2015.99,      2007.48,      2013.84,-0.62
57,,Nifty GS 10Yr Cln,       884.23,       884.23,       884.74,       880.94,       883.78,-0.45
58,,Nifty GS 4 8Yr,      2475.99,      2476.43,      2476.43,      2474.68,      2475.24,-0.75
59,,Nifty GS 11 15Yr,      2444.95,      2445.42,      2445.94,      2439.58,      2443.19,-1.76
60,,Nifty GS 15YrPlus,      2649.00,      2649.53,      2651.41,      2647.61,      2647.61,-1.39
61,,Nifty GS Compsite,      2336.59,      2337.01,      2337.57,      2332.57,      2335.39,-1.2
62,,NIFTY HEALTHCARE,      8360.65,      8420.85,      8490.00,      8408.25,      8441.75,81.1
63,,NIFTY CONSR DURBL,     27264.30,     27398.95,     27802.80,     27388.75,     27776.25,511.95
64,,NIFTY OIL AND GAS,      8216.60,      8296.75,      8396.10,      8256.15,      8370.45,153.85
65,,NIFTY500 MULTICAP,      9640.10,      9736.30,      9786.30,      9713.70,      9776.90,136.8
66,,NIFTY LARGEMID250,      9558.55,      9652.75,      9714.25,      9639.15,      9704.15,145.6
67,,NIFTY MID SELECT,      7194.25,      7260.35,      7331.45,      7253.45,      7323.85,129.6
68,,NIFTY TOTAL MKT,      8174.80,      8256.25,      8307.70,      8236.95,      8298.30,123.5
69,,NIFTY MICROCAP250,     10778.15,     10896.30,     10943.70,     10819.85,     10837.05,58.9
70,,NIFTY IND DIGITAL,      6001.15,      6075.60,      6089.95,      6025.35,      6050.45,49.3
71,,ADVANCES,1281,,,,,
72,,DECLINES,865,,,,,
73,,UNCHANGED,53,,,,,
74,,Total securities that have hit their price bands today,258,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,ADANIPORTS,EQ,       859.55,       909.50,5.81,1880.52,
78,,RELIANCE,EQ,      2695.00,      2775.65,2.99,1548.73,
79,,RUCHI,EQ,       949.70,      1035.80,9.07,1460.55,
80,,ICICIBANK,EQ,       752.20,       753.75,0.21,1418.9,
81,,HDFCBANK,EQ,      1365.75,      1372.05,0.46,1167.22,
82,,AXISBANK,EQ,       780.70,       775.00,-0.73,870.94,
83,,INFY,EQ,      1561.10,      1581.00,1.27,846.01,
