,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17784.35,     17740.90,     17779.05,     17650.95,     17674.95,-109.4
1,,NIFTY50 EQL Wgt,     20087.85,     20072.70,     20121.70,     20004.60,     20038.45,-49.4
2,,NIFTY100 EQL Wgt,     21146.65,     21158.50,     21258.25,     21129.20,     21209.70,63.05
3,,NIFTY100 LowVol30,     13101.70,     13097.95,     13114.50,     12999.30,     13031.20,-70.5
4,,NIFTY Alpha 50,     37268.35,     37351.55,     37525.75,     37221.50,     37422.20,153.85
5,,NIFTY MIDCAP 150,     11666.85,     11706.60,     11775.45,     11700.15,     11747.90,81.05
6,,NIFTY SMLCAP 50,      5006.40,      5019.65,      5050.05,      4996.90,      5003.95,-2.45
7,,NIFTY SMLCAP 250,      9934.75,      9972.75,     10017.25,      9952.00,      9966.55,31.8
8,,NIFTY MIDSML 400,     11041.70,     11080.75,     11135.15,     11078.45,     11105.20,63.5
9,,NIFTY200 QUALTY30,     14760.10,     14769.15,     14776.35,     14636.05,     14685.00,-75.1
10,,Nifty FinSrv25 50,     17432.60,     17370.90,     17452.35,     17308.15,     17339.90,-92.7
11,,NIFTY AlphaLowVol,     17260.05,     17275.20,     17284.00,     17149.95,     17206.20,-53.85
12,,Nifty200Momentm30,     20867.45,     20903.05,     20936.45,     20794.00,     20829.50,-37.95
13,,Nifty100ESGSecLdr,      3001.90,      2996.50,      3001.20,      2982.00,      2989.60,-12.3
14,,NIFTY100 ESG,      3577.95,      3578.15,      3584.35,      3564.20,      3576.55,-1.4
15,,NIFTY M150 QLTY50,     17147.00,     17201.55,     17262.25,     17142.65,     17242.75,95.75
16,,NIFTY INDIA MFG,      8271.40,      8282.65,      8310.90,      8269.85,      8279.50,8.1
17,,Nifty IT,     35394.45,     35429.65,     35443.80,     34832.85,     34895.90,-498.55
18,,Nifty Next 50,     43445.90,     43580.55,     44010.80,     43548.65,     43878.15,432.25
19,,Nifty Bank,     37752.05,     37591.75,     37941.75,     37524.45,     37613.80,-138.25
20,,NIFTY MIDCAP 100,     31214.20,     31327.50,     31506.55,     31298.00,     31408.15,193.95
21,,Nifty 500,     15342.40,     15337.50,     15386.85,     15294.30,     15325.50,-16.9
22,,Nifty 100,     18089.30,     18062.45,     18114.55,     17992.95,     18032.40,-56.9
23,,Nifty Midcap 50,      8587.50,      8614.15,      8657.50,      8602.65,      8618.05,30.55
24,,Nifty Realty,       474.50,       475.00,       482.50,       473.90,       479.85,5.35
25,,Nifty Infra,      5209.65,      5201.75,      5241.70,      5196.50,      5214.50,4.85
26,,Nifty Energy,     27512.70,     27672.80,     28440.20,     27624.50,     28235.25,722.55
27,,Nifty FMCG,     38322.65,     38398.70,     38533.35,     38024.35,     38236.25,-86.4
28,,Nifty MNC,     18802.60,     18833.65,     18915.35,     18735.80,     18859.30,56.7
29,,Nifty Pharma,     13838.60,     13827.00,     13948.25,     13818.90,     13837.85,-0.75
30,,Nifty PSE,      4395.50,      4402.70,      4449.60,      4399.25,      4420.35,24.85
31,,Nifty PSU Bank,      2945.15,      2943.10,      2978.10,      2925.85,      2932.10,-13.05
32,,Nifty Serv Sector,     24660.70,     24622.35,     24687.70,     24529.05,     24602.95,-57.75
33,,India VIX,17.6875,17.6875,19.1450,16.6425,18.2700,0.5825
34,,Nifty Auto,     10894.30,     10928.40,     10928.40,     10847.30,     10882.10,-12.2
35,,Nifty Metal,      6755.55,      6768.60,      6825.65,      6751.45,      6774.90,19.35
36,,Nifty Media,      2412.50,      2423.55,      2453.80,      2417.25,      2445.35,32.85
37,,NIFTY SMLCAP 100,     10896.55,     10929.90,     10989.55,     10876.60,     10890.10,-6.45
38,,Nifty 200,      9464.30,      9457.00,      9486.40,      9426.85,      9446.85,-17.45
39,,Nifty Div Opps 50,      3824.75,      3827.65,      3830.85,      3795.45,      3801.15,-23.6
40,,Nifty Commodities,      6346.70,      6369.60,      6449.80,      6365.35,      6428.25,81.55
41,,Nifty Consumption,      7121.15,      7127.00,      7155.60,      7103.35,      7131.90,10.75
42,,Nifty Fin Service,     17667.30,     17586.10,     17702.10,     17534.45,     17567.80,-99.5
43,,Nifty50 Div Point,         1.69,         1.69,         1.69,         1.69,         1.69,0.0
44,,Nifty100 Liq 15,      4678.95,      4663.95,      4680.60,      4645.80,      4652.30,-26.65
45,,Nifty CPSE,      2704.75,      2708.55,      2734.85,      2701.80,      2718.75,14.0
46,,Nifty GrowSect 15,      7804.20,      7811.85,      7830.05,      7756.40,      7792.40,-11.8
47,,Nifty50 PR 2x Lev,      9069.50,      9022.65,      9061.50,      8931.10,      8955.40,-114.1
48,,Nifty50 PR 1x Inv,       248.70,       249.35,       250.60,       248.80,       250.30,1.6
49,,Nifty50 TR 2x Lev,     12389.15,     12325.15,     12378.20,     12200.10,     12233.25,-155.9
50,,Nifty50 TR 1x Inv,       212.90,       213.45,       214.55,       213.00,       214.25,1.35
51,,Nifty50 Value 20,      9303.65,      9310.60,      9315.70,      9216.05,      9230.30,-73.35
52,,Nifty Mid Liq 15,      7775.95,      7806.80,      7857.00,      7792.75,      7826.00,50.05
53,,Nifty Pvt Bank,     19076.85,     19006.30,     19190.20,     18958.80,     19022.15,-54.7
