,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17576.85,     17706.20,     17794.60,     17674.80,     17780.00,203.15
1,,NIFTY50 EQL Wgt,     19739.55,     19838.00,     19950.70,     19828.45,     19937.60,198.05
2,,NIFTY100 EQL Wgt,     20661.10,     20760.65,     20885.65,     20746.70,     20871.10,210.0
3,,NIFTY100 LowVol30,     13083.40,     13148.60,     13216.20,     13126.70,     13200.30,116.9
4,,NIFTY Alpha 50,     34023.10,     34264.30,     34523.95,     34254.65,     34465.60,442.5
5,,NIFTY MIDCAP 150,     11531.30,     11589.60,     11676.95,     11581.00,     11661.70,130.4
6,,NIFTY SMLCAP 50,      5193.20,      5231.10,      5292.10,      5230.10,      5276.85,83.65
7,,NIFTY SMLCAP 250,      9886.60,      9967.25,     10062.60,      9966.05,     10051.30,164.7
8,,NIFTY MIDSML 400,     10937.10,     11003.25,     11090.85,     10997.55,     11079.50,142.4
9,,NIFTY200 QUALTY30,     14487.95,     14548.15,     14661.90,     14513.35,     14641.00,153.05
10,,Nifty FinSrv25 50,     17826.95,     17935.40,     18134.55,     17913.75,     18120.30,293.35
11,,NIFTY AlphaLowVol,     16928.25,     17011.20,     17126.95,     16948.75,     17102.45,174.2
12,,Nifty200Momentm30,     20069.80,     20167.55,     20347.75,     20148.35,     20325.20,255.4
13,,Nifty100ESGSecLdr,      2949.30,      2971.30,      2984.10,      2962.15,      2981.15,31.85
14,,NIFTY100 ESG,      3551.75,      3571.30,      3593.25,      3563.80,      3590.30,38.55
15,,NIFTY M150 QLTY50,     17338.80,     17424.45,     17554.95,     17392.40,     17508.05,169.25
16,,NIFTY INDIA MFG,      7997.05,      8041.15,      8072.80,      8022.90,      8051.70,54.65
17,,Nifty IT,     35371.65,     35556.50,     35845.30,     35278.55,     35788.75,417.1
18,,Nifty Next 50,     41810.60,     42000.45,     42286.00,     41918.95,     42249.10,438.5
19,,Nifty Bank,     38505.50,     38841.55,     39386.60,     38752.65,     39330.50,825.0
20,,NIFTY MIDCAP 100,     30611.60,     30755.00,     31006.85,     30745.25,     30971.55,359.95
21,,Nifty 500,     15116.20,     15218.25,     15304.60,     15201.45,     15293.35,177.15
22,,Nifty 100,     17796.25,     17920.05,     18012.25,     17889.15,     17998.75,202.5
23,,Nifty Midcap 50,      8472.30,      8518.00,      8595.25,      8515.30,      8569.40,97.1
24,,Nifty Realty,       488.65,       491.40,       496.45,       490.80,       495.50,6.85
25,,Nifty Infra,      5109.90,      5138.15,      5145.00,      5103.00,      5120.15,10.25
26,,Nifty Energy,     24888.45,     25069.10,     25138.75,     24918.75,     24998.95,110.5
27,,Nifty FMCG,     37183.80,     37482.15,     37609.50,     37274.85,     37581.50,397.7
28,,Nifty MNC,     19113.00,     19211.90,     19270.60,     19150.00,     19202.85,89.85
29,,Nifty Pharma,     13477.50,     13517.20,     13656.95,     13484.20,     13643.65,166.15
30,,Nifty PSE,      4132.50,      4157.85,      4172.90,      4143.00,      4157.75,25.25
31,,Nifty PSU Bank,      2964.95,      2983.10,      3075.65,      2982.45,      3066.10,101.15
32,,Nifty Serv Sector,     24666.15,     24852.10,     25093.40,     24821.15,     25070.65,404.5
33,,India VIX,19.9775,19.9775,19.9775,18.5475,18.6500,-1.3275
34,,Nifty Auto,     11616.10,     11664.05,     11765.05,     11594.50,     11632.40,16.3
35,,Nifty Metal,      5719.40,      5763.00,      5785.75,      5715.75,      5779.70,60.3
36,,Nifty Media,      2247.20,      2269.65,      2305.20,      2267.05,      2286.95,39.75
37,,NIFTY SMLCAP 100,     11179.30,     11278.95,     11377.15,     11276.30,     11340.00,160.7
38,,Nifty 200,      9305.60,      9367.55,      9419.25,      9355.90,      9411.95,106.35
39,,Nifty Div Opps 50,      3754.30,      3774.25,      3778.85,      3755.90,      3775.30,21.0
40,,Nifty Commodities,      5881.70,      5921.60,      5928.10,      5883.35,      5904.85,23.15
41,,Nifty Consumption,      7005.80,      7043.95,      7072.15,      7033.55,      7054.70,48.9
42,,Nifty Fin Service,     18060.25,     18207.10,     18430.75,     18178.20,     18408.80,348.55
43,,Nifty50 Div Point,       159.08,       159.08,       159.08,       159.08,       159.08,0.0
44,,Nifty100 Liq 15,      4570.40,      4602.60,      4629.60,      4598.05,      4625.95,55.55
45,,Nifty CPSE,      2490.20,      2501.05,      2516.75,      2496.30,      2505.65,15.45
46,,Nifty GrowSect 15,      7719.95,      7758.35,      7792.30,      7734.00,      7784.15,64.2
47,,Nifty50 PR 2x Lev,      9005.70,      9137.40,      9227.15,      9106.15,      9213.05,207.35
48,,Nifty50 PR 1x Inv,       252.55,       250.70,       251.15,       249.45,       249.65,-2.9
49,,Nifty50 TR 2x Lev,     12255.90,     12435.05,     12557.20,     12392.55,     12538.05,282.15
50,,Nifty50 TR 1x Inv,       216.60,       215.05,       215.40,       213.95,       214.10,-2.5
51,,Nifty50 Value 20,      9126.90,      9179.60,      9218.75,      9138.25,      9206.90,80.0
52,,Nifty Mid Liq 15,      7583.55,      7632.05,      7702.35,      7618.85,      7665.20,81.65
53,,Nifty Pvt Bank,     19405.40,     19576.15,     19884.80,     19531.50,     19857.15,451.75
54,,NIFTY100 Qualty30,      3851.40,      3869.80,      3898.70,      3863.95,      3893.20,41.8
55,,Nifty GS 8 13Yr,      2252.42,      2252.83,      2252.83,      2242.24,      2243.98,-8.44
56,,Nifty GS 10Yr,      2014.29,      2014.64,      2014.64,      2000.50,      2004.62,-9.67
57,,Nifty GS 10Yr Cln,       898.10,       898.10,       898.10,       891.77,       893.61,-4.49
58,,Nifty GS 4 8Yr,      2480.83,      2481.24,      2481.24,      2472.91,      2473.69,-7.14
59,,Nifty GS 11 15Yr,      2405.02,      2405.48,      2405.48,      2392.24,      2398.09,-6.93
60,,Nifty GS 15YrPlus,      2609.46,      2609.98,      2609.98,      2596.78,      2600.18,-9.28
61,,Nifty GS Compsite,      2326.72,      2327.13,      2327.13,      2317.44,      2319.17,-7.55
62,,NIFTY HEALTHCARE,      8413.35,      8440.95,      8571.40,      8421.35,      8556.80,143.45
63,,NIFTY CONSR DURBL,     27697.50,     27838.00,     28152.20,     27757.90,     28088.80,391.3
64,,NIFTY OIL AND GAS,      7698.85,      7756.05,      7767.65,      7709.50,      7739.45,40.6
65,,NIFTY500 MULTICAP,      9950.20,     10017.70,     10083.25,     10012.65,     10076.25,126.05
66,,NIFTY LARGEMID250,      9858.20,      9917.45,      9978.45,      9911.00,      9970.05,111.85
67,,NIFTY MID SELECT,      7599.95,      7640.70,      7715.60,      7634.35,      7691.50,91.55
68,,NIFTY TOTAL MKT,      8411.60,      8468.85,      8517.35,      8460.00,      8511.20,99.6
69,,NIFTY MICROCAP250,     10615.25,     10712.10,     10805.20,     10710.40,     10795.70,180.45
70,,NIFTY IND DIGITAL,      6588.05,      6627.20,      6700.15,      6605.05,      6688.45,100.4
71,,ADVANCES,1558,,,,,
72,,DECLINES,569,,,,,
73,,UNCHANGED,60,,,,,
74,,Total securities that have hit their price bands today,346,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,INDUSINDBK,EQ,       922.30,       975.35,5.75,1385.03,
78,,TECHM,EQ,      1505.75,      1482.95,-1.51,1322.06,
79,,SBIN,EQ,       532.30,       539.80,1.41,1163.12,
80,,RELIANCE,EQ,      2378.70,      2383.55,0.2,1102.55,
81,,HDFC,EQ,      2565.35,      2612.95,1.86,1082.38,
82,,AXISBANK,EQ,       781.90,       804.10,2.84,1080.04,
83,,HDFCBANK,EQ,      1497.00,      1531.20,2.28,1066.04,
84,,BAJFINANCE,EQ,      7014.60,      7247.45,3.32,967.91,
85,,ITC,EQ,       227.75,       232.15,1.93,952.28,
86,,ICICIBANK,EQ,       810.30,       813.75,0.43,912.72,
87,,TATASTEEL,EQ,      1167.35,      1167.50,0.01,877.85,
88,,BAJAJFINSV,EQ,     15903.85,     16706.00,5.04,870.62,
89,,JUBLFOOD,EQ,      3440.40,      3301.60,-4.03,827.33,
90,,HCLTECH,EQ,      1132.80,      1170.95,3.37,811.06,
91,,TCS,EQ,      3800.65,      3856.20,1.46,762.2,
92,,INFY,EQ,      1772.05,      1787.10,0.85,759.6,
93,,TATAMOTORS,EQ,       504.30,       506.40,0.42,728.92,
94,,CANBK,EQ,       258.75,       269.65,4.21,726.23,
95,,LT,EQ,      1990.50,      1982.70,-0.39,711.09,
96,,TATAPOWER,EQ,       249.85,       250.60,0.3,633.25,
97,,SAIL,EQ,       103.30,       104.15,0.82,532.11,
98,,KOTAKBANK,EQ,      1882.30,      1942.60,3.2,524.52,
99,,BANKBARODA,EQ,       106.15,       109.40,3.06,516.71,
100,,IDEA,EQ,        10.70,        11.40,6.54,507.59,
101,,MARUTI,EQ,      8559.40,      8515.25,-0.52,496.02,
102,,Top Five Nifty 50 Gainers:,,,,,,
103,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
104,,INDUSINDBK,EQ,       975.35,       922.30,5.75,,
105,,BAJAJFINSV,EQ,     16706.00,     15903.85,5.04,,
106,,HCLTECH,EQ,      1170.95,      1132.80,3.37,,
107,,BAJFINANCE,EQ,      7247.45,      7014.60,3.32,,
108,,HDFCLIFE,EQ,       644.15,       623.90,3.25,,
109,,Top Five Nifty 50 Losers:,,,,,,
110,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
111,,TECHM,EQ,      1482.95,      1505.75,-1.51,,
112,,ULTRACEMCO,EQ,      7441.00,      7516.25,-1,,
113,,BRITANNIA,EQ,      3621.05,      3656.60,-0.97,,
114,,NESTLEIND,EQ,     18500.65,     18671.70,-0.92,,
115,,HEROMOTOCO,EQ,      2702.40,      2726.75,-0.89,,
116,,Securities Price Volume Data in Normal market,,,,,,
117,,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY,,
118,,20MICRONS,EQ,        90.90,                 21169631.80,230404,,
119,,21STCENMGM,EQ,        42.90,                   195795.60,4564,,
120,,3IINFOLTD,EQ,        77.35,                 45830096.00,592633,,
121,,3MINDIA,EQ,     24982.75,                 65924296.30,2637,,
122,,3PLAND,BE,        18.70,                   204201.25,10983,,
