,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     15863.15,     15747.75,     16028.75,     15671.45,     16013.45,150.3
1,,NIFTY50 EQL Wgt,     18013.55,     17955.30,     18180.25,     17771.00,     18161.35,147.8
2,,NIFTY100 EQL Wgt,     18761.05,     18740.65,     19006.10,     18553.00,     18980.05,219.0
3,,NIFTY100 LowVol30,     11812.90,     11753.45,     12002.85,     11752.85,     11993.50,180.6
4,,NIFTY Alpha 50,     31363.05,     31395.05,     31900.05,     31195.15,     31715.15,352.1
5,,NIFTY MIDCAP 150,     10124.05,     10127.45,     10247.95,     10041.70,     10231.60,107.55
6,,NIFTY SMLCAP 50,      4427.40,      4438.25,      4504.85,      4419.75,      4493.85,66.45
7,,NIFTY SMLCAP 250,      8599.35,      8621.45,      8745.15,      8566.10,      8717.05,117.7
8,,NIFTY MIDSML 400,      9573.90,      9583.95,      9702.30,      9509.35,      9684.95,111.05
9,,NIFTY200 QUALTY30,     13494.95,     13466.70,     13743.60,     13462.55,     13729.00,234.05
10,,Nifty FinSrv25 50,     15134.75,     15000.55,     15330.75,     14843.55,     15297.95,163.2
11,,NIFTY AlphaLowVol,     15527.30,     15463.00,     15770.25,     15460.15,     15757.80,230.5
12,,Nifty200Momentm30,     18531.05,     18539.80,     18824.45,     18431.90,     18803.25,272.2
13,,Nifty100ESGSecLdr,      2686.85,      2670.15,      2719.10,      2658.90,      2716.00,29.15
14,,NIFTY100 ESG,      3204.95,      3193.30,      3254.95,      3181.95,      3250.95,46.0
15,,NIFTY M150 QLTY50,     15502.90,     15544.30,     15758.45,     15489.90,     15742.45,239.55
16,,NIFTY INDIA MFG,      7355.95,      7350.40,      7402.20,      7239.35,      7396.05,40.1
17,,Nifty IT,     34135.90,     33977.90,     35162.95,     33977.90,     35055.55,919.65
18,,Nifty Next 50,     38014.90,     38087.65,     38674.25,     37672.65,     38587.85,572.95
19,,Nifty Bank,     32871.25,     32531.90,     33263.55,     32155.35,     33158.10,286.85
20,,NIFTY MIDCAP 100,     26865.90,     26870.40,     27247.35,     26634.20,     27198.55,332.65
21,,Nifty 500,     13564.25,     13504.75,     13720.10,     13423.55,     13706.75,142.5
22,,Nifty 100,     16086.95,     15991.45,     16267.05,     15901.10,     16251.65,164.7
23,,Nifty Midcap 50,      7386.35,      7379.40,      7517.35,      7326.60,      7503.60,117.25
24,,Nifty Realty,       393.65,       394.10,       407.80,       390.75,       406.45,12.8
25,,Nifty Infra,      4578.50,      4565.65,      4627.95,      4511.20,      4620.70,42.2
26,,Nifty Energy,     24207.60,     24190.85,     24580.15,     23804.30,     24229.00,21.4
27,,Nifty FMCG,     33657.45,     33495.80,     34044.50,     33462.40,     34006.90,349.45
28,,Nifty MNC,     17066.10,     17059.90,     17152.80,     16808.85,     17133.45,67.35
29,,Nifty Pharma,     12546.85,     12534.00,     12873.75,     12524.85,     12844.85,298.0
30,,Nifty PSE,      4065.65,      4084.50,      4112.20,      4002.10,      4056.65,-9.0
31,,Nifty PSU Bank,      2460.95,      2463.90,      2532.75,      2434.00,      2524.10,63.15
32,,Nifty Serv Sector,     22090.55,     21924.30,     22418.95,     21921.25,     22392.60,302.05
33,,India VIX,29.3300,29.3300,30.0575,27.1125,28.5875,-0.7425
34,,Nifty Auto,      9480.45,      9432.65,      9581.65,      9226.95,      9560.00,79.55
35,,Nifty Metal,      6136.15,      6161.65,      6161.65,      5959.75,      6045.30,-90.85
36,,Nifty Media,      1987.80,      1994.15,      2048.55,      1991.80,      2042.60,54.8
37,,NIFTY SMLCAP 100,      9552.60,      9579.90,      9727.90,      9523.70,      9696.80,144.2
38,,Nifty 200,      8379.20,      8336.10,      8475.60,      8286.35,      8467.30,88.1
39,,Nifty Div Opps 50,      3503.20,      3494.85,      3544.20,      3491.85,      3540.35,37.15
40,,Nifty Commodities,      5599.25,      5607.65,      5612.55,      5490.50,      5590.90,-8.35
