,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     16975.35,     17202.90,     17344.60,     17175.75,     17287.05,311.7
1,,NIFTY50 EQL Wgt,     19052.95,     19249.65,     19427.65,     19240.45,     19399.85,346.9
2,,NIFTY100 EQL Wgt,     19916.80,     20129.10,     20251.95,     20108.40,     20233.30,316.5
3,,NIFTY100 LowVol30,     12661.60,     12782.00,     12825.55,     12755.00,     12806.70,145.1
4,,NIFTY Alpha 50,     33510.25,     33935.55,     34121.20,     33774.10,     34007.15,496.9
5,,NIFTY MIDCAP 150,     10739.80,     10865.75,     10887.50,     10848.70,     10870.50,130.7
6,,NIFTY SMLCAP 50,      4715.55,      4775.55,      4790.85,      4754.50,      4768.75,53.2
7,,NIFTY SMLCAP 250,      9168.55,      9282.80,      9300.40,      9262.00,      9276.95,108.4
8,,NIFTY MIDSML 400,     10172.55,     10294.20,     10312.50,     10281.05,     10295.20,122.65
9,,NIFTY200 QUALTY30,     14337.90,     14484.80,     14517.75,     14440.95,     14475.00,137.1
10,,Nifty FinSrv25 50,     16373.00,     16634.60,     16876.65,     16621.25,     16842.95,469.95
11,,NIFTY AlphaLowVol,     16797.75,     16970.45,     17061.85,     16959.20,     17010.50,212.75
12,,Nifty200Momentm30,     19732.30,     19964.50,     20097.00,     19908.85,     19978.60,246.3
13,,Nifty100ESGSecLdr,      2866.20,      2905.20,      2931.70,      2901.35,      2921.90,55.7
14,,NIFTY100 ESG,      3418.75,      3461.25,      3488.15,      3457.65,      3476.50,57.75
15,,NIFTY M150 QLTY50,     16244.90,     16415.10,     16495.80,     16396.10,     16454.95,210.05
16,,NIFTY INDIA MFG,      7775.15,      7847.90,      7913.00,      7844.30,      7898.85,123.7
17,,Nifty IT,     35729.65,     36245.05,     36246.45,     35466.20,     35643.60,-86.05
18,,Nifty Next 50,     40462.00,     40906.60,     41128.30,     40824.50,     41059.00,597.0
19,,Nifty Bank,     35748.25,     36302.00,     36611.95,     36261.65,     36428.55,680.3
20,,NIFTY MIDCAP 100,     28584.55,     28931.20,     29020.80,     28905.60,     28977.90,393.35
21,,Nifty 500,     14481.80,     14667.20,     14756.55,     14644.75,     14721.70,239.9
22,,Nifty 100,     17198.00,     17422.35,     17553.70,     17394.25,     17505.40,307.4
23,,Nifty Midcap 50,      7897.10,      7996.70,      8035.10,      7990.35,      8008.95,111.85
24,,Nifty Realty,       437.05,       442.25,       451.85,       442.10,       450.75,13.7
25,,Nifty Infra,      4843.35,      4893.35,      4924.50,      4874.05,      4917.40,74.05
26,,Nifty Energy,     24783.80,     25020.20,     25383.80,     24884.90,     25304.80,521.0
27,,Nifty FMCG,     36273.60,     36605.85,     36822.40,     36513.85,     36782.70,509.1
28,,Nifty MNC,     17942.20,     18096.10,     18195.70,     18066.40,     18183.20,241.0
29,,Nifty Pharma,     13374.50,     13439.65,     13566.15,     13436.35,     13546.05,171.55
30,,Nifty PSE,      4029.90,      4059.05,      4063.00,      4019.30,      4051.55,21.65
31,,Nifty PSU Bank,      2720.60,      2762.10,      2766.85,      2739.05,      2745.15,24.55
32,,Nifty Serv Sector,     23675.70,     24039.25,     24190.50,     23965.25,     24024.50,348.8
33,,India VIX,24.1175,24.1175,24.1175,20.7700,22.6100,-1.5075
34,,Nifty Auto,     10350.10,     10469.55,     10590.50,     10443.00,     10576.00,225.9
35,,Nifty Metal,      6065.70,      6117.25,      6230.30,      6101.55,      6183.80,118.1
36,,Nifty Media,      2147.45,      2172.75,      2180.10,      2155.40,      2171.75,24.3
37,,NIFTY SMLCAP 100,     10154.20,     10284.90,     10303.80,     10243.25,     10279.05,124.85
38,,Nifty 200,      8952.35,      9068.05,      9129.05,      9054.90,      9107.60,155.25
39,,Nifty Div Opps 50,      3655.35,      3693.75,      3696.75,      3678.75,      3684.05,28.7
40,,Nifty Commodities,      5769.45,      5823.80,      5887.60,      5804.60,      5876.80,107.35
41,,Nifty Consumption,      6769.05,      6844.70,      6903.85,      6833.20,      6895.80,126.75
42,,Nifty Fin Service,     16675.50,     16952.05,     17196.35,     16939.75,     17137.40,461.9
43,,Nifty50 Div Point,       189.17,       189.17,       189.17,       189.17,       189.17,0.0
44,,Nifty100 Liq 15,      4422.40,      4475.70,      4516.20,      4466.10,      4512.30,89.9
45,,Nifty CPSE,      2462.60,      2478.90,      2481.95,      2447.75,      2472.70,10.1
46,,Nifty GrowSect 15,      7457.95,      7513.45,      7576.65,      7508.80,      7571.30,113.35
47,,Nifty50 PR 2x Lev,      8294.25,      8515.85,      8654.35,      8489.60,      8598.10,303.85
48,,Nifty50 PR 1x Inv,       260.40,       256.90,       257.35,       254.75,       255.65,-4.75
49,,Nifty50 TR 2x Lev,     11327.75,     11630.40,     11819.50,     11594.55,     11742.70,414.95
50,,Nifty50 TR 1x Inv,       222.95,       219.95,       220.30,       218.10,       218.85,-4.1
51,,Nifty50 Value 20,      9013.55,      9115.95,      9129.00,      9047.55,      9066.60,53.05
52,,Nifty Mid Liq 15,      7125.00,      7220.75,      7246.00,      7190.15,      7214.15,89.15
53,,Nifty Pvt Bank,     18080.65,     18363.00,     18518.85,     18339.60,     18415.35,334.7
54,,NIFTY100 Qualty30,      3770.95,      3811.95,      3831.95,      3805.50,      3818.85,47.9
55,,Nifty GS 8 13Yr,      2275.93,      2276.35,      2281.28,      2276.35,      2280.70,4.77
56,,Nifty GS 10Yr,      2033.58,      2033.95,      2038.67,      2033.95,      2037.85,4.27
57,,Nifty GS 10Yr Cln,       899.27,       899.27,       901.38,       899.27,       901.01,1.74
58,,Nifty GS 4 8Yr,      2502.09,      2502.50,      2506.52,      2502.50,      2506.44,4.35
59,,Nifty GS 11 15Yr,      2452.17,      2452.64,      2455.79,      2452.55,      2455.05,2.88
60,,Nifty GS 15YrPlus,      2670.56,      2671.08,      2673.46,      2671.08,      2673.46,2.9
61,,Nifty GS Compsite,      2353.25,      2353.67,      2357.96,      2353.67,      2357.53,4.28
62,,NIFTY HEALTHCARE,      8406.65,      8446.30,      8512.10,      8446.05,      8496.50,89.85
63,,NIFTY CONSR DURBL,     27580.05,     27911.50,     28501.30,     27894.00,     28241.00,660.95
64,,NIFTY OIL AND GAS,      7461.65,      7517.10,      7622.35,      7478.95,      7604.50,142.85
65,,NIFTY500 MULTICAP,      9430.50,      9549.10,      9591.35,      9534.85,      9571.70,141.2
66,,NIFTY LARGEMID250,      9354.55,      9470.55,      9509.80,      9457.95,      9495.65,141.1
67,,NIFTY MID SELECT,      7092.20,      7180.10,      7232.75,      7176.60,      7217.10,124.9
68,,NIFTY TOTAL MKT,      8054.25,      8157.35,      8206.15,      8144.95,      8186.35,132.1
69,,NIFTY MICROCAP250,      9924.85,     10051.35,     10073.00,     10000.00,     10016.50,91.65
70,,NIFTY IND DIGITAL,      6303.10,      6394.25,      6394.25,      6315.00,      6324.45,21.35
71,,ADVANCES,1357,,,,,
72,,DECLINES,765,,,,,
73,,UNCHANGED,70,,,,,
74,,Total securities that have hit their price bands today,305,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,INFY,EQ,      1889.40,      1854.60,-1.84,3315.33,
78,,RELIANCE,EQ,      2403.35,      2481.70,3.26,2428.73,
79,,HDFC,EQ,      2292.10,      2415.25,5.37,1597.86,
80,,TATASTEEL,EQ,      1265.25,      1303.45,3.02,1378.75,
81,,TCS,EQ,      3655.90,      3672.75,0.46,1327.05,
82,,ICICIBANK,EQ,       708.00,       720.10,1.71,1320.67,
83,,AWL,EQ,       346.25,       379.80,9.69,1180.01,
84,,BAJFINANCE,EQ,      6840.60,      6994.40,2.25,1169.32,
85,,TATAMOTORS,EQ,       424.90,       433.80,2.09,1156.61,
86,,SBIN,EQ,       492.75,       501.90,1.86,1150.35,
87,,ONGC,EQ,       167.30,       170.30,1.79,1120.04,
88,,HDFCBANK,EQ,      1448.15,      1480.05,2.2,1098.61,
89,,YESBANK,EQ,        12.80,        12.95,1.17,1061.45,
90,,PAYTM,EQ,       634.05,       597.05,-5.84,1028.71,
91,,AXISBANK,EQ,       723.85,       739.25,2.13,1012.42,
92,,ANGELONE,EQ,      1417.40,      1619.05,14.23,1010.57,
93,,ASIANPAINT,EQ,      3042.00,      3136.60,3.11,899.39,
94,,TITAN,EQ,      2587.30,      2703.00,4.47,897.69,
95,,MARUTI,EQ,      7485.80,      7693.00,2.77,868.76,
96,,GNFC,EQ,       707.75,       759.30,7.28,847.76,
97,,HCLTECH,EQ,      1199.50,      1196.90,-0.22,836.83,
98,,ITC,EQ,       242.60,       244.90,0.95,836.1,
99,,NATIONALUM,EQ,       117.00,       116.75,-0.21,829.49,
100,,BSE,EQ,      2964.55,      2826.60,-4.65,732.44,
101,,JSWSTEEL,EQ,       655.25,       685.10,4.56,682.03,
102,,Top Five Nifty 50 Gainers:,,,,,,
103,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
104,,HDFC,EQ,      2415.25,      2292.10,5.37,,
105,,JSWSTEEL,EQ,       685.10,       655.25,4.56,,
106,,TITAN,EQ,      2703.00,      2587.30,4.47,,
107,,SBILIFE,EQ,      1128.55,      1085.75,3.94,,
108,,KOTAKBANK,EQ,      1820.00,      1760.50,3.38,,
