,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17670.45,     17809.10,     18114.65,     17791.40,     18053.40,382.95
1,,NIFTY50 EQL Wgt,     19683.25,     19758.00,     20010.30,     19696.85,     19994.20,310.95
2,,NIFTY100 EQL Wgt,     20553.85,     20632.60,     20900.65,     20621.15,     20891.10,337.25
3,,NIFTY100 LowVol30,     12856.20,     12898.55,     13051.05,     12859.80,     13041.15,184.95
4,,NIFTY Alpha 50,     35995.20,     36463.10,     36637.55,     36310.30,     36593.55,598.35
5,,NIFTY MIDCAP 150,     11272.80,     11332.60,     11447.30,     11330.25,     11440.00,167.2
6,,NIFTY SMLCAP 50,      4894.10,      4931.15,      4986.25,      4925.50,      4982.10,88.0
7,,NIFTY SMLCAP 250,      9620.15,      9689.00,      9772.40,      9686.95,      9766.85,146.7
8,,NIFTY MIDSML 400,     10676.15,     10739.10,     10840.85,     10737.40,     10835.95,159.8
9,,NIFTY200 QUALTY30,     14459.10,     14495.65,     14640.45,     14460.25,     14629.85,170.75
10,,Nifty FinSrv25 50,     17165.50,     17481.20,     18166.90,     17457.90,     17837.20,671.7
11,,NIFTY AlphaLowVol,     16910.90,     16967.05,     17089.60,     16910.45,     17072.05,161.15
12,,Nifty200Momentm30,     20451.10,     20539.20,     20727.90,     20489.30,     20692.20,241.1
13,,Nifty100ESGSecLdr,      2980.60,      3007.80,      3073.45,      3005.10,      3054.85,74.25
14,,NIFTY100 ESG,      3518.20,      3539.10,      3587.35,      3537.45,      3585.00,66.8
15,,NIFTY M150 QLTY50,     16733.80,     16838.80,     16954.45,     16831.45,     16940.15,206.35
16,,NIFTY INDIA MFG,      8028.05,      8052.40,      8141.55,      8039.00,      8132.85,104.8
17,,Nifty IT,     36343.40,     36347.55,     36526.75,     36130.35,     36442.90,99.5
18,,Nifty Next 50,     41754.10,     41912.00,     42447.55,     41902.95,     42403.90,649.8
19,,Nifty Bank,     37148.50,     37824.95,     38765.85,     37665.55,     38635.20,1486.7
20,,NIFTY MIDCAP 100,     30134.55,     30293.55,     30646.85,     30286.10,     30625.20,490.65
21,,Nifty 500,     15087.30,     15192.80,     15393.35,     15184.70,     15384.20,296.9
22,,Nifty 100,     17879.50,     18010.30,     18281.95,     17994.90,     18256.10,376.6
23,,Nifty Midcap 50,      8308.70,      8339.55,      8436.15,      8337.30,      8424.50,115.8
24,,Nifty Realty,       474.55,       476.20,       477.85,       472.55,       476.15,1.6
25,,Nifty Infra,      5095.75,      5095.65,      5155.50,      5086.75,      5152.30,56.55
26,,Nifty Energy,     26454.50,     26493.10,     26895.90,     26432.05,     26841.00,386.5
27,,Nifty FMCG,     36712.15,     36767.70,     37259.85,     36613.85,     37191.75,479.6
28,,Nifty MNC,     18270.80,     18297.60,     18543.10,     18294.30,     18524.10,253.3
29,,Nifty Pharma,     13579.90,     13630.45,     13806.50,     13571.45,     13789.25,209.35
30,,Nifty PSE,      4219.50,      4224.80,      4275.60,      4215.95,      4271.40,51.9
31,,Nifty PSU Bank,      2834.50,      2844.95,      2874.80,      2838.55,      2861.60,27.1
32,,Nifty Serv Sector,     24566.35,     24880.20,     25526.20,     24838.80,     25299.30,732.95
33,,India VIX,18.4350,18.4350,18.8250,17.5925,17.9075,-0.5275
34,,Nifty Auto,     10676.85,     10688.75,     10812.90,     10641.80,     10803.85,127.0
35,,Nifty Metal,      6477.20,      6491.65,      6634.70,      6481.70,      6606.10,128.9
36,,Nifty Media,      2420.60,      2428.15,      2463.15,      2408.65,      2454.65,34.05
37,,NIFTY SMLCAP 100,     10611.25,     10693.35,     10789.40,     10689.60,     10783.55,172.3
38,,Nifty 200,      9324.35,      9389.95,      9521.35,      9383.45,      9514.70,190.35
39,,Nifty Div Opps 50,      3751.00,      3749.85,      3794.55,      3741.10,      3791.50,40.5
40,,Nifty Commodities,      6074.80,      6078.35,      6180.45,      6070.65,      6171.20,96.4
41,,Nifty Consumption,      6909.75,      6918.85,      6995.85,      6909.45,      6989.15,79.4
42,,Nifty Fin Service,     17467.15,     17853.00,     18624.50,     17813.95,     18277.20,810.05
43,,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0.0
44,,Nifty100 Liq 15,      4654.10,      4661.75,      4713.05,      4645.35,      4705.40,51.3
45,,Nifty CPSE,      2580.35,      2580.10,      2609.55,      2571.30,      2606.20,25.85
46,,Nifty GrowSect 15,      7565.50,      7568.65,      7684.65,      7523.65,      7676.30,110.8
47,,Nifty50 PR 2x Lev,      8965.95,      9103.95,      9386.25,      9090.95,      9351.85,385.9
48,,Nifty50 PR 1x Inv,       250.30,       248.40,       248.60,       244.45,       244.95,-5.35
49,,Nifty50 TR 2x Lev,     12245.40,     12433.85,     12819.40,     12416.10,     12772.45,527.05
50,,Nifty50 TR 1x Inv,       214.30,       212.65,       212.85,       209.30,       209.70,-4.6
51,,Nifty50 Value 20,      9211.50,      9201.00,      9293.55,      9164.45,      9285.90,74.4
52,,Nifty Mid Liq 15,      7505.95,      7543.45,      7620.70,      7523.35,      7606.35,100.4
53,,Nifty Pvt Bank,     18831.05,     19162.80,     19619.60,     19083.05,     19570.05,739.0
54,,NIFTY100 Qualty30,      3822.55,      3838.65,      3885.15,      3834.95,      3882.10,59.55
55,,Nifty GS 8 13Yr,      2282.58,      2283.00,      2283.00,      2272.28,      2274.10,-8.48
56,,Nifty GS 10Yr,      2038.07,      2038.44,      2038.44,      2022.86,      2027.12,-10.95
57,,Nifty GS 10Yr Cln,       898.44,       898.44,       898.44,       891.48,       893.38,-5.06
58,,Nifty GS 4 8Yr,      2508.11,      2508.56,      2508.56,      2501.39,      2502.71,-5.4
59,,Nifty GS 11 15Yr,      2460.87,      2461.34,      2461.34,      2446.42,      2450.64,-10.23
60,,Nifty GS 15YrPlus,      2682.33,      2682.86,      2682.86,      2661.28,      2662.30,-20.03
61,,Nifty GS Compsite,      2360.28,      2360.70,      2360.70,      2348.73,      2350.79,-9.49
62,,NIFTY HEALTHCARE,      8457.70,      8497.15,      8607.50,      8451.75,      8597.80,140.1
63,,NIFTY CONSR DURBL,     27286.55,     27458.30,     27614.60,     27389.75,     27442.10,155.55
64,,NIFTY OIL AND GAS,      8047.85,      8069.30,      8158.15,      8057.10,      8150.05,102.2
65,,NIFTY500 MULTICAP,      9850.25,      9916.95,     10032.65,      9913.80,     10027.95,177.7
66,,NIFTY LARGEMID250,      9771.50,      9833.15,      9951.90,      9830.45,      9946.85,175.35
67,,NIFTY MID SELECT,      7396.25,      7423.80,      7502.40,      7421.15,      7491.50,95.25
68,,NIFTY TOTAL MKT,      8390.95,      8450.10,      8561.35,      8445.90,      8556.40,165.45
69,,NIFTY MICROCAP250,     10321.95,     10421.25,     10555.85,     10420.50,     10543.55,221.6
70,,NIFTY IND DIGITAL,      6471.40,      6493.20,      6591.75,      6490.00,      6586.00,114.6
71,,ADVANCES,1696,,,,,
72,,DECLINES,464,,,,,
73,,UNCHANGED,56,,,,,
74,,Total securities that have hit their price bands today,423,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,HDFC,EQ,      2452.30,      2680.05,9.29,9286.68,
78,,HDFCBANK,EQ,      1506.00,      1656.80,10.01,8045.4,
79,,ADANIPOWER,EQ,       203.45,       211.95,4.18,3586.76,
80,,AWL,EQ,       542.70,       552.35,1.78,1746.2,
81,,HDFCLIFE,EQ,       550.35,       571.80,3.9,1389.02,
82,,INFY,EQ,      1903.55,      1882.95,-1.08,1387.78,
83,,ICICIBANK,EQ,       736.25,       746.60,1.41,1276.35,
84,,ADANIPORTS,EQ,       785.75,       818.55,4.17,1105.31,
85,,TATAPOWER,EQ,       245.45,       251.95,2.65,986.46,
86,,RELIANCE,EQ,      2655.85,      2663.70,0.3,972.71,
87,,PAYTM,EQ,       571.30,       610.55,6.87,955.58,
88,,TATASTEEL,EQ,      1317.10,      1341.90,1.88,931.48,
89,,HINDALCO,EQ,       570.50,       587.50,2.98,918.28,
90,,AXISBANK,EQ,       774.55,       784.10,1.23,851.43,
91,,TATAMOTORS,EQ,       441.15,       446.75,1.27,832.64,
92,,SBIN,EQ,       508.20,       512.40,0.83,831.42,
93,,BAJFINANCE,EQ,      7408.10,      7490.65,1.11,787.7,
94,,KOTAKBANK,EQ,      1776.65,      1836.05,3.34,721.35,
95,,SAIL,EQ,       102.15,       106.40,4.16,561.51,
96,,BAJAJFINSV,EQ,     17139.20,     17196.35,0.33,558.15,
97,,TCS,EQ,      3758.75,      3770.35,0.31,554.9,
98,,BANDHANBNK,EQ,       320.30,       318.85,-0.45,530.95,
99,,HDFCAMC,EQ,      2276.50,      2355.00,3.45,499.03,
100,,INDUSINDBK,EQ,       968.60,       987.20,1.92,491.15,
101,,VEDL,EQ,       405.80,       421.45,3.86,470.28,
102,,Top Five Nifty 50 Gainers:,,,,,,
103,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
104,,HDFCBANK,EQ,      1656.80,      1506.00,10.01,,
105,,HDFC,EQ,      2680.05,      2452.30,9.29,,
106,,ADANIPORTS,EQ,       818.55,       785.75,4.17,,
107,,HDFCLIFE,EQ,       571.80,       550.35,3.9,,
108,,KOTAKBANK,EQ,      1836.05,      1776.65,3.34,,
109,,Top Five Nifty 50 Losers:,,,,,,
110,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
111,,INFY,EQ,      1882.95,      1903.55,-1.08,,
112,,TATACONSUM,EQ,       788.10,       789.80,-0.22,,
113,,TITAN,EQ,      2517.00,      2520.85,-0.15,,
114,,Securities Price Volume Data in Normal market,,,,,,
115,,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY,,
116,,20MICRONS,EQ,        84.65,                 40621212.80,480491,,
117,,21STCENMGM,EQ,        29.15,                   989132.50,33686,,
118,,3IINFOLTD,EQ,        56.45,                 51314971.30,918772,,
119,,3MINDIA,EQ,     20418.25,                 97045471.60,4761,,
120,,3PLAND,EQ,        15.85,                    66699.75,4206,,
121,,5PAISA,EQ,       378.95,                 27169746.15,71189,,
122,,610GS2031,GS,        98.00,                       98.00,1,,
123,,63MOONS,BE,       279.85,                 18068169.80,64828,,
124,,667GS2035,GS,        98.00,                       98.00,1,,
125,,667GS2050,GS,        97.01,                   389871.56,4003,,
126,,676GS2061,GS,        97.25,                   486444.50,5002,,
127,,695GS2061,GS,        98.60,                   235555.40,2389,,
128,,699GS2051,GS,       101.25,                      101.25,1,,
129,,732GS2024,GS,        99.71,                     9723.50,100,,
130,,757GS2033,GS,       110.50,                    11050.00,100,,
131,,A2ZINFRA,EQ,        10.60,                  3053093.10,288408,,
132,,AAATECH,SM,        71.00,                   417000.00,6000,,
133,,AAKASH,EQ,        25.45,                  6791352.40,267263,,
134,,AAREYDRUGS,EQ,        45.60,                 21402222.35,447606,,
135,,AARON,EQ,       115.15,                   402572.85,3490,,
136,,AARTIDRUGS,EQ,       470.40,                130099310.95,275941,,
137,,AARTIIND,EQ,       972.35,                519785374.05,536432,,
138,,AARTISURF,EQ,       816.50,                 57563383.15,71891,,
139,,AARVEEDEN,EQ,        24.25,                   389389.70,16051,,
140,,AARVI,EQ,       119.95,                 11962040.00,97875,,
141,,AAVAS,EQ,      2515.95,                195771101.80,77416,,
142,,ABAN,EQ,        48.45,                  7791165.90,160815,,
143,,ABB,EQ,      2130.55,                225191865.95,105731,,
144,,ABCAPITAL,EQ,       113.90,                427213585.65,3761454,,
145,,ABCOTS,SM,        43.05,                   348200.00,8000,,
146,,ABFRL,EQ,       298.75,                772749856.85,2582645,,
147,,ABMINTLLTD,EQ,       107.70,                   496111.10,4572,,
148,,ABSLAMC,EQ,       528.70,                 69646671.15,131057,,
149,,ABSLBANETF,EQ,        38.48,                   953437.86,25146,,
150,,ABSLNN50ET,EQ,        43.40,                   697732.50,16208,,
151,,ACCELYA,EQ,       969.95,                 29367282.45,30326,,
152,,ACCURACY,EQ,       238.75,                  6834034.65,28559,,
153,,ACE,EQ,       229.60,                106327303.15,456914,,
154,,ACRYSIL,EQ,       866.05,                169627985.35,192318,,
155,,ADANIGREEN,EQ,      2110.45,               3848163326.15,1898588,,
156,,ADANIPOWER,EQ,       211.95,              35867573790.70,168426403,,
157,,ADANITRANS,EQ,      2453.50,                801391351.75,330330,,
158,,ADFFOODS,EQ,       775.60,                 10859631.45,13985,,
159,,ADL,BE,        48.05,                    95636.35,1995,,
160,,ADORWELD,EQ,       642.20,                  7812692.05,12100,,
161,,ADROITINFO,EQ,        12.05,                   357382.35,29749,,
162,,ADSL,EQ,       126.25,                 10581358.35,84071,,
163,,ADVANIHOTR,EQ,        91.25,                  8252159.65,89984,,
164,,ADVENZYMES,EQ,       297.80,                 41845551.35,141577,,
165,,AEGISCHEM,EQ,       217.90,                229122827.30,1043225,,
166,,AFFLE,EQ,      1270.15,                270293575.75,212114,,
167,,AGARIND,EQ,       650.95,                 33278782.55,50421,,
168,,AGRITECH,EQ,       135.75,                  3399427.45,25053,,
169,,AGROPHOS,EQ,        24.10,                  2494808.35,101582,,
170,,AGSTRA,EQ,       109.50,                 58556870.70,542939,,
171,,AHLADA,EQ,       105.20,                  3018259.90,28619,,
172,,AHLEAST,EQ,       250.95,                 10039836.60,39564,,
173,,AHLUCONT,EQ,       475.90,                 15284463.75,32434,,
174,,AHLWEST,BZ,       152.65,                    33602.10,230,,
175,,AIAENG,EQ,      1673.75,                252409866.90,152318,,
176,,AIRAN,EQ,        23.00,                 31573720.85,1421429,,
177,,AIROLAM,EQ,        72.95,                  1442588.15,19919,,
178,,AIRTELPP,E1,       394.50,                231185682.30,585446,,
179,,AJANTPHARM,EQ,      1755.20,                156227750.15,88816,,
180,,AJMERA,EQ,       358.10,                 16822287.65,47685,,
181,,AJOONI,EQ,        65.40,                  6334161.85,96398,,
182,,AJRINFRA,EQ,         1.95,                  1739197.95,892399,,
183,,AKASH,EQ,        68.95,                  6559194.30,95364,,
184,,AKG,EQ,        39.00,                  3472454.90,85584,,
185,,AKSHARCHEM,EQ,       378.90,                  5224129.65,13919,,
186,,AKSHOPTFBR,EQ,        10.90,                  4327920.20,399351,,
187,,AKZOINDIA,EQ,      1921.90,                 10736670.85,5595,,
188,,ALANKIT,EQ,        14.45,                 12326987.05,853375,,
189,,ALBERTDAVD,EQ,       575.25,                  8476989.25,14923,,
190,,ALEMBICLTD,EQ,        77.65,                 49826078.80,649249,,
191,,ALICON,EQ,       705.95,                  8506018.35,12031,,
192,,ALKALI,EQ,        85.45,                  1347264.25,15867,,
193,,ALKYLAMINE,EQ,      3166.90,                468519932.30,150414,,
194,,ALLCARGO,EQ,       352.85,                 80382932.00,227016,,
195,,ALLSEC,EQ,       554.30,                  8011818.05,14536,,
196,,ALMONDZ,EQ,        98.45,                  1272673.20,12830,,
197,,ALOKINDS,EQ,        26.80,                470147013.95,17583639,,
198,,ALPA,EQ,        74.55,                  7445922.55,100615,,
199,,ALPHAGEO,EQ,       333.55,                  6107720.85,18331,,
200,,ALPSINDUS,EQ,         3.60,                    22672.80,6298,,
201,,AMARAJABAT,EQ,       565.80,                483542873.40,859172,,
202,,AMBER,EQ,      3611.10,                185160590.90,51310,,
203,,AMBICAAGAR,EQ,        28.20,                  1308761.80,46503,,
204,,AMBIKCO,EQ,      2373.55,                 84497269.35,35549,,
205,,AMDIND,EQ,        51.00,                 10249640.35,203074,,
206,,AMIORG,EQ,      1000.25,                125521761.55,124718,,
207,,AMJLAND,EQ,        31.85,                   997518.70,31091,,
208,,AMJUMBO,SM,         6.05,                    48400.00,8000,,
209,,AMRUTANJAN,EQ,       846.10,                 22905463.20,26954,,
210,,ANANDRATHI,EQ,       614.50,                 55075091.85,89938,,
