,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17617.15,     17575.15,     17599.40,     16997.85,     17149.10,-468.05
1,,NIFTY50 EQL Wgt,     19629.60,     19589.40,     19600.70,     18941.65,     19120.30,-509.3
2,,NIFTY100 EQL Wgt,     20667.85,     20650.90,     20655.80,     19846.45,     20043.80,-624.05
3,,NIFTY100 LowVol30,     13129.50,     13114.15,     13115.20,     12750.45,     12841.85,-287.65
4,,NIFTY Alpha 50,     34964.90,     34932.15,     34958.90,     32922.95,     33319.90,-1645.0
5,,NIFTY MIDCAP 150,     11551.65,     11547.70,     11556.15,     11012.35,     11125.05,-426.6
6,,NIFTY SMLCAP 50,      5282.05,      5265.85,      5272.65,      4986.35,      5028.15,-253.9
7,,NIFTY SMLCAP 250,     10076.85,     10058.00,     10071.00,      9522.10,      9611.50,-465.35
8,,NIFTY MIDSML 400,     11017.55,     11008.30,     11017.85,     10473.45,     10577.65,-439.9
9,,NIFTY200 QUALTY30,     14615.25,     14604.30,     14629.25,     14073.45,     14184.25,-431.0
10,,Nifty FinSrv25 50,     17832.95,     17813.60,     17818.15,     17175.85,     17403.90,-429.05
11,,NIFTY AlphaLowVol,     17184.05,     17177.65,     17177.70,     16557.15,     16679.55,-504.5
12,,Nifty200Momentm30,     20313.95,     20282.65,     20291.20,     19242.30,     19421.45,-892.5
13,,Nifty100ESGSecLdr,      2983.25,      2972.80,      2975.10,      2870.35,      2893.00,-90.25
14,,NIFTY100 ESG,      3581.15,      3574.60,      3575.40,      3436.30,      3469.85,-111.3
15,,NIFTY M150 QLTY50,     17607.40,     17612.45,     17652.75,     16858.90,     16975.40,-632.0
16,,NIFTY INDIA MFG,      8018.25,      7995.70,      8004.55,      7684.40,      7747.90,-270.35
17,,Nifty IT,     36054.55,     35934.20,     35969.85,     34563.20,     34821.60,-1232.95
18,,Nifty Next 50,     42182.20,     42198.75,     42206.95,     40199.85,     40616.05,-1566.15
19,,Nifty Bank,     37574.30,     37601.95,     37694.70,     36375.35,     36947.55,-626.75
20,,NIFTY MIDCAP 100,     30563.60,     30553.25,     30582.45,     29075.95,     29383.00,-1180.6
21,,Nifty 500,     15180.80,     15155.00,     15165.40,     14577.15,     14712.05,-468.75
22,,Nifty 100,     17856.15,     17821.55,     17841.40,     17197.00,     17353.45,-502.7
23,,Nifty Midcap 50,      8436.80,      8431.80,      8439.95,      8031.15,      8104.60,-332.2
24,,Nifty Realty,       491.20,       491.10,       491.40,       453.15,       462.20,-29.0
25,,Nifty Infra,      5100.45,      5095.25,      5117.90,      4913.45,      4952.25,-148.2
26,,Nifty Energy,     25055.85,     25098.95,     25285.85,     24231.00,     24425.25,-630.6
27,,Nifty FMCG,     36812.90,     36838.65,     36880.70,     35783.25,     35941.35,-871.55
28,,Nifty MNC,     19019.15,     18994.20,     19044.00,     18346.70,     18480.70,-538.45
29,,Nifty Pharma,     13243.05,     13225.10,     13238.60,     12846.55,     12998.60,-244.45
30,,Nifty PSE,      4062.65,      4061.40,      4084.65,      3953.60,      3988.20,-74.45
31,,Nifty PSU Bank,      2709.60,      2706.85,      2728.35,      2614.95,      2654.60,-55.0
32,,Nifty Serv Sector,     24694.35,     24630.10,     24639.55,     23816.15,     24092.50,-601.85
33,,India VIX,18.8875,18.8875,23.9000,18.8875,22.8250,3.9375
34,,Nifty Auto,     11561.75,     11535.05,     11627.60,     11152.65,     11261.20,-300.55
35,,Nifty Metal,      5719.55,      5669.05,      5669.60,      5382.20,      5420.45,-299.1
36,,Nifty Media,      2228.25,      2235.65,      2243.75,      2105.00,      2126.05,-102.2
37,,NIFTY SMLCAP 100,     11416.95,     11388.10,     11403.05,     10780.10,     10870.90,-546.05
38,,Nifty 200,      9330.85,      9314.75,      9322.15,      8971.95,      9055.15,-275.7
39,,Nifty Div Opps 50,      3735.85,      3731.90,      3734.30,      3616.25,      3638.95,-96.9
40,,Nifty Commodities,      5879.20,      5861.75,      5869.80,      5624.15,      5657.30,-221.9
41,,Nifty Consumption,      6999.05,      6992.00,      7002.45,      6740.20,      6796.15,-202.9
42,,Nifty Fin Service,     18047.05,     18019.90,     18039.50,     17389.00,     17633.45,-413.6
43,,Nifty50 Div Point,       159.08,       159.08,       159.08,       159.08,       159.08,0.0
44,,Nifty100 Liq 15,      4487.55,      4481.45,      4499.30,      4320.30,      4370.25,-117.3
45,,Nifty CPSE,      2428.20,      2431.00,      2451.05,      2374.50,      2398.20,-30.0
46,,Nifty GrowSect 15,      7580.65,      7580.10,      7601.10,      7386.45,      7448.20,-132.45
47,,Nifty50 PR 2x Lev,      9069.25,      9022.80,      9046.70,      8429.05,      8584.15,-485.1
48,,Nifty50 PR 1x Inv,       252.00,       252.65,       260.90,       252.35,       258.75,6.75
49,,Nifty50 TR 2x Lev,     12342.30,     12279.15,     12311.60,     11471.10,     11682.15,-660.15
50,,Nifty50 TR 1x Inv,       216.10,       216.70,       223.80,       216.40,       221.95,5.85
51,,Nifty50 Value 20,      9132.80,      9110.40,      9112.65,      8831.85,      8886.20,-246.6
52,,Nifty Mid Liq 15,      7448.40,      7446.10,      7468.75,      7092.90,      7159.10,-289.3
53,,Nifty Pvt Bank,     18929.55,     18966.45,     19005.05,     18333.00,     18643.60,-285.95
54,,NIFTY100 Qualty30,      3888.00,      3883.40,      3884.40,      3744.55,      3776.35,-111.65
55,,Nifty GS 8 13Yr,      2279.95,      2280.37,      2280.37,      2278.29,      2278.40,-1.55
56,,Nifty GS 10Yr,      2041.54,      2041.90,      2041.90,      2037.50,      2037.60,-3.94
57,,Nifty GS 10Yr Cln,       911.58,       911.58,       911.58,       909.61,       909.66,-1.92
58,,Nifty GS 4 8Yr,      2484.72,      2485.13,      2486.14,      2484.72,      2485.52,0.8
59,,Nifty GS 11 15Yr,      2436.77,      2437.23,      2437.78,      2432.46,      2432.88,-3.89
60,,Nifty GS 15YrPlus,      2641.77,      2642.29,      2643.79,      2640.04,      2640.04,-1.73
61,,Nifty GS Compsite,      2345.16,      2345.57,      2345.57,      2342.80,      2342.95,-2.21
62,,NIFTY HEALTHCARE,      8302.95,      8291.60,      8300.30,      8049.70,      8145.20,-157.75
63,,NIFTY CONSR DURBL,     28594.80,     28561.70,     28572.05,     27139.90,     27462.35,-1132.45
64,,NIFTY OIL AND GAS,      7766.90,      7776.50,      7817.30,      7515.00,      7573.00,-193.9
65,,NIFTY500 MULTICAP,     10019.50,     10004.15,     10007.90,      9579.25,      9669.30,-350.2
66,,NIFTY LARGEMID250,      9883.55,      9872.20,      9874.85,      9470.80,      9562.05,-321.5
67,,NIFTY MID SELECT,      7549.75,      7548.90,      7561.60,      7188.25,      7263.90,-285.85
68,,NIFTY TOTAL MKT,      8450.15,      8436.15,      8441.75,      8110.20,      8185.30,-264.85
69,,NIFTY MICROCAP250,     10805.60,     10806.30,     10810.50,     10153.10,     10252.35,-553.25
70,,NIFTY IND DIGITAL,      6738.95,      6709.95,      6717.15,      6377.95,      6437.35,-301.6
71,,ADVANCES,187,,,,,
72,,DECLINES,2008,,,,,
73,,UNCHANGED,37,,,,,
74,,Total securities that have hit their price bands today,609,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,RELIANCE,EQ,      2477.85,      2377.90,-4.03,2440.97,
78,,ICICIBANK,EQ,       804.50,       798.45,-0.75,2378.63,
79,,BAJFINANCE,EQ,      7373.75,      6931.75,-5.99,1756.06,
80,,ZOMATO,EQ,       113.65,        91.35,-19.62,1588.34,
81,,INFY,EQ,      1785.70,      1736.80,-2.74,1241.5,
82,,TCS,EQ,      3833.50,      3771.35,-1.62,1232.68,
83,,TATAMOTORS,EQ,       501.85,       478.45,-4.66,1221.54,
84,,BANDHANBNK,EQ,       295.50,       307.85,4.18,1013.39,
85,,TATAPOWER,EQ,       241.95,       229.55,-5.13,1008.61,
86,,SBIN,EQ,       502.70,       494.15,-1.7,1006.26,
87,,TATASTEEL,EQ,      1169.70,      1099.20,-6.03,940.77,
88,,MARUTI,EQ,      8189.60,      8052.30,-1.68,938.63,
89,,HDFCBANK,EQ,      1521.60,      1486.65,-2.3,886.34,
