,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17498.25,     17519.20,     17559.80,     17435.20,     17464.75,-33.5
1,,NIFTY50 EQL Wgt,     19471.85,     19507.55,     19540.20,     19411.90,     19445.60,-26.25
2,,NIFTY100 EQL Wgt,     20260.30,     20314.05,     20347.35,     20206.20,     20248.00,-12.3
3,,NIFTY100 LowVol30,     12686.85,     12708.65,     12755.50,     12688.85,     12713.30,26.45
4,,NIFTY Alpha 50,     35108.45,     35507.60,     35634.60,     35385.15,     35463.05,354.6
5,,NIFTY MIDCAP 150,     11091.80,     11122.95,     11163.25,     11099.70,     11131.10,39.3
6,,NIFTY SMLCAP 50,      4782.35,      4799.85,      4829.55,      4791.90,      4801.45,19.1
7,,NIFTY SMLCAP 250,      9396.50,      9439.20,      9485.95,      9424.85,      9441.45,44.95
8,,NIFTY MIDSML 400,     10480.25,     10515.50,     10554.60,     10495.65,     10521.50,41.25
9,,NIFTY200 QUALTY30,     14317.20,     14359.60,     14417.10,     14331.75,     14361.55,44.35
10,,Nifty FinSrv25 50,     16901.85,     16933.90,     17008.05,     16830.20,     16860.20,-41.65
11,,NIFTY AlphaLowVol,     16822.70,     16873.90,     16905.05,     16785.45,     16839.95,17.25
12,,Nifty200Momentm30,     20392.95,     20442.15,     20458.75,     20261.55,     20314.70,-78.25
13,,Nifty100ESGSecLdr,      2949.90,      2950.60,      2962.25,      2939.65,      2945.70,-4.2
14,,NIFTY100 ESG,      3477.55,      3484.10,      3495.10,      3469.45,      3476.75,-0.8
15,,NIFTY M150 QLTY50,     16642.05,     16690.55,     16775.70,     16649.45,     16679.45,37.4
16,,NIFTY INDIA MFG,      7976.95,      7994.20,      8008.15,      7945.75,      7963.05,-13.9
17,,Nifty IT,     36463.55,     36517.95,     36663.20,     36164.90,     36317.20,-146.35
18,,Nifty Next 50,     41054.70,     41177.00,     41345.10,     40984.20,     41115.40,60.7
19,,Nifty Bank,     36334.30,     36457.20,     36590.85,     36278.15,     36373.60,39.3
20,,NIFTY MIDCAP 100,     29590.70,     29674.40,     29801.40,     29619.15,     29692.30,101.6
21,,Nifty 500,     14896.90,     14925.55,     14963.40,     14871.00,     14894.50,-2.4
22,,Nifty 100,     17684.30,     17710.75,     17752.55,     17627.35,     17660.35,-23.95
23,,Nifty Midcap 50,      8132.10,      8166.90,      8195.35,      8137.40,      8183.75,51.65
24,,Nifty Realty,       462.35,       463.15,       464.85,       459.25,       463.55,1.2
25,,Nifty Infra,      5029.55,      5035.40,      5037.85,      5001.70,      5018.55,-11.0
26,,Nifty Energy,     25856.20,     25822.05,     25955.00,     25718.35,     25822.00,-34.2
27,,Nifty FMCG,     35858.25,     35963.15,     36397.40,     35939.40,     36287.75,429.5
28,,Nifty MNC,     17970.45,     18001.00,     18125.70,     17992.15,     18107.30,136.85
29,,Nifty Pharma,     13745.60,     13755.35,     13800.65,     13542.30,     13584.10,-161.5
30,,Nifty PSE,      4054.50,      4060.65,      4091.40,      4057.70,      4086.25,31.75
31,,Nifty PSU Bank,      2746.90,      2747.70,      2751.30,      2722.05,      2725.65,-21.25
32,,Nifty Serv Sector,     24200.95,     24236.15,     24356.10,     24156.00,     24210.90,9.95
33,,India VIX,20.6100,20.6100,20.9425,20.2125,20.5600,-0.05
34,,Nifty Auto,     10542.15,     10566.30,     10618.40,     10528.65,     10552.10,9.95
35,,Nifty Metal,      6428.95,      6445.05,      6471.20,      6405.65,      6423.70,-5.25
36,,Nifty Media,      2360.50,      2380.40,      2388.75,      2357.90,      2379.60,19.1
37,,NIFTY SMLCAP 100,     10364.30,     10413.00,     10478.95,     10403.70,     10436.25,71.95
38,,Nifty 200,      9213.50,      9228.95,      9250.75,      9190.70,      9207.00,-6.5
39,,Nifty Div Opps 50,      3690.60,      3696.70,      3710.55,      3696.45,      3705.90,15.3
40,,Nifty Commodities,      6004.65,      6021.30,      6031.40,      5978.45,      5995.20,-9.45
41,,Nifty Consumption,      6797.65,      6815.70,      6843.75,      6812.05,      6829.35,31.7
42,,Nifty Fin Service,     17167.05,     17204.70,     17318.05,     17115.10,     17147.15,-19.9
43,,Nifty50 Div Point,       189.37,       189.37,       189.37,       189.37,       189.37,0.0
44,,Nifty100 Liq 15,      4596.30,      4609.05,      4618.75,      4581.70,      4591.80,-4.5
45,,Nifty CPSE,      2486.20,      2481.35,      2505.25,      2480.45,      2501.15,14.95
46,,Nifty GrowSect 15,      7494.90,      7503.90,      7532.40,      7484.85,      7496.50,1.6
47,,Nifty50 PR 2x Lev,      8795.00,      8815.20,      8855.10,      8731.20,      8760.50,-34.5
48,,Nifty50 PR 1x Inv,       252.75,       252.45,       253.65,       251.90,       253.25,0.5
49,,Nifty50 TR 2x Lev,     12011.90,     12039.50,     12094.00,     11924.80,     11964.80,-47.1
50,,Nifty50 TR 1x Inv,       216.40,       216.15,       217.20,       215.65,       216.80,0.4
51,,Nifty50 Value 20,      9117.75,      9128.90,      9149.60,      9099.30,      9122.40,4.65
52,,Nifty Mid Liq 15,      7348.65,      7384.25,      7386.90,      7336.30,      7351.05,2.4
53,,Nifty Pvt Bank,     18367.10,     18453.65,     18511.05,     18338.05,     18420.80,53.7
54,,NIFTY100 Qualty30,      3776.90,      3786.25,      3799.30,      3776.95,      3785.30,8.4
55,,Nifty GS 8 13Yr,      2285.62,      2286.05,      2287.47,      2281.09,      2281.11,-4.51
56,,Nifty GS 10Yr,      2041.64,      2042.02,      2043.77,      2033.47,      2033.47,-8.17
57,,Nifty GS 10Yr Cln,       900.71,       900.71,       901.49,       896.89,       896.89,-3.82
58,,Nifty GS 4 8Yr,      2509.04,      2509.45,      2510.17,      2506.24,      2506.44,-2.6
59,,Nifty GS 11 15Yr,      2465.25,      2465.72,      2466.75,      2458.11,      2458.11,-7.14
60,,Nifty GS 15YrPlus,      2688.68,      2689.21,      2689.21,      2678.22,      2678.22,-10.46
61,,Nifty GS Compsite,      2362.58,      2362.99,      2364.06,      2357.13,      2357.13,-5.45
62,,NIFTY HEALTHCARE,      8582.40,      8587.95,      8609.80,      8447.25,      8471.60,-110.8
63,,NIFTY CONSR DURBL,     27126.15,     27180.60,     27253.40,     27079.20,     27141.25,15.1
64,,NIFTY OIL AND GAS,      7853.65,      7849.80,      7943.55,      7838.95,      7866.25,12.6
65,,NIFTY500 MULTICAP,      9699.30,      9724.45,      9754.55,      9701.90,      9712.95,13.65
66,,NIFTY LARGEMID250,      9639.70,      9660.40,      9686.25,      9635.15,      9650.20,10.5
67,,NIFTY MID SELECT,      7274.05,      7304.75,      7321.35,      7276.10,      7297.60,23.55
68,,NIFTY TOTAL MKT,      8281.60,      8298.25,      8319.55,      8268.50,      8280.90,-0.7
69,,NIFTY MICROCAP250,     10014.50,     10070.40,     10118.60,     10031.20,     10045.85,31.35
70,,NIFTY IND DIGITAL,      6435.75,      6460.45,      6471.65,      6384.50,      6396.80,-38.95
71,,ADVANCES,931,,,,,
72,,DECLINES,1188,,,,,
73,,UNCHANGED,45,,,,,
74,,Total securities that have hit their price bands today,316,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,MAXHEALTH,EQ,       361.00,       347.65,-3.7,3613.31,
78,,ADANIPOWER,EQ,       171.50,       185.10,7.93,2505.03,
79,,TATAELXSI,EQ,      8996.80,      8840.15,-1.74,1912.48,
80,,RELIANCE,EQ,      2672.95,      2634.75,-1.43,1612.35,
81,,AXISBANK,EQ,       750.45,       761.15,1.43,1550.64,
82,,HINDALCO,EQ,       599.80,       569.50,-5.05,1354.69,
83,,BAJFINANCE,EQ,      7251.85,      7259.95,0.11,1195.26,
84,,ICICIBANK,EQ,       730.90,       730.30,-0.08,1174.68,
85,,HDFCBANK,EQ,      1476.95,      1470.35,-0.45,1053.58,
86,,INFY,EQ,      1903.95,      1906.85,0.15,1028.08,
87,,JINDALSTEL,EQ,       519.85,       532.85,2.5,1003.48,
88,,HDFC,EQ,      2385.45,      2390.40,0.21,1000.61,
89,,AWL,EQ,       492.30,       516.90,5,904.33,
90,,TCS,EQ,      3731.55,      3739.95,0.23,811.62,
91,,ITC,EQ,       249.20,       250.65,0.58,644.47,
92,,TATAMOTORS,EQ,       435.65,       433.75,-0.44,620.3,
93,,M&M,EQ,       793.35,       806.55,1.66,570.1,
94,,ADANIENT,EQ,      1995.25,      2014.75,0.98,561.01,
95,,APOLLOHOSP,EQ,      4614.80,      4516.10,-2.14,556.84,
96,,BHARTIARTL,EQ,       749.50,       754.95,0.73,551.66,
97,,ONGC,EQ,       162.00,       163.90,1.17,548.27,
98,,TATASTEEL,EQ,      1308.05,      1307.20,-0.06,525.37,
99,,HINDUNILVR,EQ,      2015.90,      2048.65,1.62,517.99,
100,,BAJAJFINSV,EQ,     17128.90,     17060.45,-0.4,511.82,
101,,SBIN,EQ,       494.30,       493.55,-0.15,506.36,
102,,Top Five Nifty 50 Gainers:,,,,,,
103,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
104,,JSWSTEEL,EQ,       732.65,       717.55,2.1,,
105,,BRITANNIA,EQ,      3206.40,      3148.40,1.84,,
106,,M&M,EQ,       806.55,       793.35,1.66,,
107,,HINDUNILVR,EQ,      2048.65,      2015.90,1.62,,
108,,TATACONSUM,EQ,       777.40,       765.85,1.51,,
109,,Top Five Nifty 50 Losers:,,,,,,
110,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
111,,HINDALCO,EQ,       569.50,       599.80,-5.05,,
112,,DIVISLAB,EQ,      4402.05,      4538.60,-3.01,,
113,,WIPRO,EQ,       591.90,       600.80,-1.48,,
114,,RELIANCE,EQ,      2634.75,      2672.95,-1.43,,
115,,DRREDDY,EQ,      4295.45,      4354.40,-1.35,,
116,,Securities Price Volume Data in Normal market,,,,,,
117,,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY,,
118,,20MICRONS,EQ,        73.85,                 12142670.20,162389,,
119,,21STCENMGM,EQ,        29.70,                   171339.30,5769,,
120,,3IINFOLTD,EQ,        51.25,                 75899256.25,1446738,,
121,,3MINDIA,EQ,     19697.30,                117838359.80,5993,,
122,,3PLAND,EQ,        14.50,                   197523.35,13357,,
123,,5PAISA,EQ,       344.70,                 11238105.40,32018,,
124,,63MOONS,BE,       269.75,                 14664004.00,53890,,
125,,667GS2050,GS,        97.01,                    10769.01,111,,
126,,676GS2061,GS,        96.10,                    97061.00,1010,,
127,,695GS2061,GS,        98.75,                    21348.08,217,,
128,,699GS2051,GS,       101.90,                      101.90,1,,
129,,716GS2050,GS,       108.00,                      216.00,2,,
130,,717GS2028,GS,       103.20,                    10320.00,100,,
131,,74GS2035,GS,       108.00,                     7344.00,68,,
132,,772GS2055,GS,       115.50,                    24419.99,211,,
133,,A2ZINFRA,EQ,         9.65,                  5671467.90,577120,,
134,,AAATECH,SM,        69.00,                   627000.00,9000,,
135,,AAKASH,EQ,        24.85,                 18687670.95,766329,,
136,,AAREYDRUGS,EQ,        41.45,                  1532140.20,36877,,
137,,AARON,EQ,       113.45,                   292681.80,2582,,
138,,AARTIDRUGS,EQ,       429.10,                220092918.90,503047,,
139,,AARTIIND,EQ,       956.65,                770382397.45,807901,,
140,,AARTISURF,EQ,       750.80,                 16820043.45,22211,,
141,,AARVEEDEN,EQ,        23.85,                   463973.95,19419,,
142,,AARVI,EQ,       115.90,                 11228362.75,97687,,
143,,AAVAS,EQ,      2569.45,                682731397.35,271547,,
144,,ABAN,EQ,        46.15,                  5950832.45,128150,,
145,,ABB,EQ,      2157.95,               2177605638.90,1052222,,
146,,ABCAPITAL,EQ,       107.65,                205227309.05,1902433,,
147,,ABCOTS,SM,        43.95,                   528000.00,12000,,
148,,ABFRL,EQ,       302.10,               1048085121.70,3484519,,
149,,ABMINTLLTD,EQ,       111.45,                  1460067.65,12653,,
150,,ABSLAMC,EQ,       533.85,                214868586.85,409646,,
151,,ABSLBANETF,EQ,        36.22,                  1000791.97,27647,,
152,,ABSLNN50ET,EQ,        42.14,                   861361.96,20421,,
153,,ACCELYA,EQ,       928.00,                 21191702.00,22635,,
