,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17101.95,     17301.05,     17410.00,     17264.15,     17339.85,237.9
1,,NIFTY50 EQL Wgt,     19251.60,     19486.90,     19570.60,     19434.90,     19496.85,245.25
2,,NIFTY100 EQL Wgt,     20121.85,     20355.00,     20444.30,     20312.25,     20370.00,248.15
3,,NIFTY100 LowVol30,     12768.85,     12886.90,     12975.75,     12876.35,     12939.15,170.3
4,,NIFTY Alpha 50,     33330.45,     33851.70,     33923.00,     33647.45,     33759.45,429.0
5,,NIFTY MIDCAP 150,     11242.35,     11368.30,     11434.50,     11339.55,     11413.65,171.3
6,,NIFTY SMLCAP 50,      5089.05,      5157.20,      5175.60,      5104.80,      5161.80,72.75
7,,NIFTY SMLCAP 250,      9719.70,      9838.65,      9879.00,      9769.80,      9813.10,93.4
8,,NIFTY MIDSML 400,     10691.65,     10814.95,     10855.55,     10773.50,     10835.20,143.55
9,,NIFTY200 QUALTY30,     14057.80,     14217.35,     14340.50,     14213.35,     14298.85,241.05
10,,Nifty FinSrv25 50,     17425.60,     17600.75,     17691.55,     17484.00,     17597.55,171.95
11,,NIFTY AlphaLowVol,     16405.20,     16580.65,     16735.45,     16573.50,     16690.65,285.45
12,,Nifty200Momentm30,     19455.85,     19770.55,     19959.05,     19698.85,     19897.25,441.4
13,,Nifty100ESGSecLdr,      2869.80,      2903.35,      2922.15,      2898.45,      2907.05,37.25
14,,NIFTY100 ESG,      3449.45,      3494.00,      3516.75,      3490.10,      3501.75,52.3
15,,NIFTY M150 QLTY50,     17047.00,     17257.65,     17316.10,     17212.80,     17271.75,224.75
16,,NIFTY INDIA MFG,      7807.80,      7898.35,      7930.10,      7867.35,      7897.70,89.9
17,,Nifty IT,     33851.95,     34519.30,     34972.25,     34440.30,     34824.55,972.6
18,,Nifty Next 50,     40633.20,     41115.65,     41327.90,     41027.25,     41097.25,464.05
19,,Nifty Bank,     37689.40,     38091.80,     38217.25,     37647.85,     37975.35,285.95
20,,NIFTY MIDCAP 100,     29804.90,     30175.20,     30360.70,     30097.60,     30273.95,469.05
21,,Nifty 500,     14723.25,     14894.75,     14975.80,     14857.55,     14921.45,198.2
22,,Nifty 100,     17314.70,     17516.90,     17623.25,     17479.65,     17547.40,232.7
23,,Nifty Midcap 50,      8257.45,      8366.35,      8415.30,      8338.50,      8395.40,137.95
24,,Nifty Realty,       465.65,       470.15,       481.65,       470.10,       480.25,14.6
25,,Nifty Infra,      4977.95,      5030.20,      5081.40,      5007.35,      5056.75,78.8
26,,Nifty Energy,     24677.00,     24993.25,     25210.65,     24901.15,     24983.95,306.95
27,,Nifty FMCG,     36188.30,     36361.45,     36669.80,     36351.75,     36467.25,278.95
28,,Nifty MNC,     18681.20,     18818.45,     18893.90,     18728.30,     18827.20,146.0
29,,Nifty Pharma,     12983.05,     13081.10,     13260.65,     13068.85,     13179.90,196.85
30,,Nifty PSE,      4087.85,      4147.30,      4171.80,      4131.75,      4156.35,68.5
31,,Nifty PSU Bank,      2896.95,      2926.40,      3000.70,      2915.15,      2982.25,85.3
32,,Nifty Serv Sector,     24004.00,     24328.95,     24448.95,     24209.50,     24333.35,329.35
33,,India VIX,20.6950,20.6950,22.1100,20.6950,21.9525,1.2575
34,,Nifty Auto,     11493.40,     11619.55,     11737.50,     11578.10,     11703.50,210.1
35,,Nifty Metal,      5466.05,      5543.00,      5544.00,      5463.45,      5473.45,7.4
36,,Nifty Media,      2204.45,      2231.85,      2252.95,      2218.50,      2235.35,30.9
37,,NIFTY SMLCAP 100,     10991.90,     11153.35,     11195.80,     11043.60,     11116.45,124.55
38,,Nifty 200,      9054.70,      9161.35,      9216.80,      9141.40,      9179.15,124.45
39,,Nifty Div Opps 50,      3640.30,      3677.60,      3702.85,      3669.25,      3690.50,50.2
40,,Nifty Commodities,      5730.85,      5807.45,      5812.75,      5749.90,      5761.65,30.8
41,,Nifty Consumption,      6835.10,      6903.90,      6951.35,      6898.40,      6929.20,94.1
42,,Nifty Fin Service,     17673.55,     17856.80,     17931.40,     17707.35,     17836.25,162.7
43,,Nifty50 Div Point,       159.08,       159.08,       159.08,       159.08,       159.08,0.0
44,,Nifty100 Liq 15,      4454.95,      4515.15,      4543.30,      4501.15,      4523.50,68.55
45,,Nifty CPSE,      2460.25,      2497.40,      2505.70,      2481.25,      2495.30,35.05
46,,Nifty GrowSect 15,      7544.00,      7596.05,      7644.60,      7581.65,      7614.35,70.35
47,,Nifty50 PR 2x Lev,      8531.90,      8728.10,      8836.70,      8691.50,      8766.85,234.95
48,,Nifty50 PR 1x Inv,       259.55,       256.60,       257.15,       254.95,       256.00,-3.55
49,,Nifty50 TR 2x Lev,     11611.05,     11878.10,     12025.85,     11828.25,     11930.80,319.75
50,,Nifty50 TR 1x Inv,       222.60,       220.10,       220.55,       218.65,       219.60,-3.0
51,,Nifty50 Value 20,      8827.75,      8931.90,      8995.65,      8901.20,      8959.75,132.0
52,,Nifty Mid Liq 15,      7400.60,      7502.05,      7532.55,      7449.35,      7491.55,90.95
53,,Nifty Pvt Bank,     19020.60,     19256.05,     19300.60,     18916.60,     19037.15,16.55
54,,NIFTY100 Qualty30,      3743.10,      3783.10,      3811.35,      3780.75,      3798.00,54.9
55,,Nifty GS 8 13Yr,      2264.34,      2264.76,      2274.24,      2264.76,      2273.89,9.55
56,,Nifty GS 10Yr,      2025.73,      2026.09,      2037.01,      2026.09,      2036.37,10.64
57,,Nifty GS 10Yr Cln,       903.54,       903.54,       908.43,       903.54,       908.14,4.6
58,,Nifty GS 4 8Yr,      2483.40,      2483.80,      2492.20,      2483.80,      2491.98,8.58
59,,Nifty GS 11 15Yr,      2421.47,      2421.93,      2434.20,      2421.93,      2434.15,12.68
60,,Nifty GS 15YrPlus,      2624.96,      2625.48,      2644.76,      2625.48,      2644.76,19.8
61,,Nifty GS Compsite,      2334.09,      2334.50,      2345.78,      2334.50,      2345.61,11.52
62,,NIFTY HEALTHCARE,      8125.15,      8202.85,      8294.70,      8157.65,      8233.55,108.4
63,,NIFTY CONSR DURBL,     26966.60,     27182.55,     27537.25,     27092.95,     27498.10,531.5
64,,NIFTY OIL AND GAS,      7641.35,      7735.40,      7833.95,      7724.25,      7754.60,113.25
65,,NIFTY500 MULTICAP,      9711.50,      9825.15,      9864.95,      9792.60,      9837.05,125.55
66,,NIFTY LARGEMID250,      9601.30,      9711.15,      9768.05,      9688.95,      9738.95,137.65
67,,NIFTY MID SELECT,      7411.95,      7504.05,      7543.80,      7458.80,      7514.85,102.9
68,,NIFTY TOTAL MKT,      8195.65,      8291.65,      8334.75,      8269.65,      8304.15,108.5
69,,NIFTY MICROCAP250,     10491.10,     10643.35,     10689.10,     10521.25,     10530.30,39.2
70,,NIFTY IND DIGITAL,      6317.65,      6447.65,      6528.85,      6437.75,      6507.70,190.05
71,,ADVANCES,1212,,,,,
72,,DECLINES,947,,,,,
73,,UNCHANGED,56,,,,,
74,,Total securities that have hit their price bands today,380,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,SBIN,EQ,       523.45,       538.30,2.84,1535.89,
78,,INFY,EQ,      1686.20,      1736.20,2.97,1526.49,
79,,TATAMOTORS,EQ,       497.30,       517.75,4.11,1392.08,
80,,RELIANCE,EQ,      2335.85,      2386.60,2.17,1338.46,
81,,ICICIBANK,EQ,       781.15,       788.80,0.98,1172.95,
82,,TCS,EQ,      3690.05,      3736.25,1.25,1024.81,
83,,NAUKRI,EQ,      4406.10,      4900.80,11.23,993.67,
84,,AXISBANK,EQ,       764.70,       773.05,1.09,951.42,
85,,HDFCBANK,EQ,      1463.25,      1485.70,1.53,949.82,
