,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     16247.95,     16515.65,     16748.80,     16478.30,     16658.40,410.45
1,,NIFTY50 EQL Wgt,     18161.45,     18459.80,     18744.95,     18431.75,     18684.35,522.9
2,,NIFTY100 EQL Wgt,     18904.25,     19239.10,     19594.20,     19222.55,     19532.45,628.2
3,,NIFTY100 LowVol30,     12123.55,     12262.20,     12401.45,     12226.40,     12352.65,229.1
4,,NIFTY Alpha 50,     29935.85,     30696.15,     31505.55,     30669.35,     31421.65,1485.8
5,,NIFTY MIDCAP 150,     10138.40,     10338.20,     10551.05,     10337.45,     10531.45,393.05
6,,NIFTY SMLCAP 50,      4254.00,      4370.95,      4484.30,      4367.75,      4463.50,209.5
7,,NIFTY SMLCAP 250,      8454.95,      8645.25,      8839.10,      8643.85,      8815.20,360.25
8,,NIFTY MIDSML 400,      9532.05,      9728.30,      9934.10,      9727.90,      9913.05,381.0
9,,NIFTY200 QUALTY30,     13521.05,     13698.70,     13873.70,     13652.15,     13842.80,321.75
10,,Nifty FinSrv25 50,     16119.95,     16419.00,     16709.05,     16375.00,     16593.30,473.35
11,,NIFTY AlphaLowVol,     15814.90,     16008.40,     16236.40,     15968.60,     16212.75,397.85
12,,Nifty200Momentm30,     18266.60,     18706.85,     19147.00,     18687.15,     19071.15,804.55
13,,Nifty100ESGSecLdr,      2742.80,      2785.25,      2823.00,      2781.05,      2812.10,69.3
14,,NIFTY100 ESG,      3275.60,      3331.05,      3383.05,      3327.55,      3369.25,93.65
15,,NIFTY M150 QLTY50,     15386.25,     15621.90,     15963.10,     15621.45,     15939.90,553.65
16,,NIFTY INDIA MFG,      7323.75,      7452.25,      7591.90,      7446.60,      7582.25,258.5
17,,Nifty IT,     32547.90,     33214.35,     33678.00,     33058.80,     33476.95,929.05
18,,Nifty Next 50,     38165.20,     38873.35,     39755.00,     38834.70,     39609.40,1444.2
19,,Nifty Bank,     35228.10,     35901.70,     36684.65,     35768.20,     36430.75,1202.65
20,,NIFTY MIDCAP 100,     26832.65,     27407.75,     28034.95,     27396.70,     27953.30,1120.65
21,,Nifty 500,     13775.70,     14018.10,     14247.05,     14007.70,     14187.40,411.7
22,,Nifty 100,     16428.05,     16703.00,     16955.50,     16676.60,     16872.35,444.3
23,,Nifty Midcap 50,      7407.65,      7584.55,      7751.55,      7580.30,      7735.95,328.3
24,,Nifty Realty,       411.75,       425.10,       434.65,       423.85,       433.75,22.0
25,,Nifty Infra,      4581.65,      4659.15,      4732.75,      4655.80,      4699.75,118.1
26,,Nifty Energy,     22928.10,     23254.65,     23644.95,     23245.25,     23590.60,662.5
27,,Nifty FMCG,     34735.15,     35057.65,     35465.80,     34934.05,     35292.55,557.4
28,,Nifty MNC,     17886.20,     18061.65,     18335.45,     18053.55,     18259.80,373.6
29,,Nifty Pharma,     12500.10,     12622.85,     12925.50,     12593.10,     12899.85,399.75
30,,Nifty PSE,      3692.35,      3758.95,      3836.30,      3754.15,      3829.25,136.9
31,,Nifty PSU Bank,      2544.70,      2633.95,      2715.55,      2619.65,      2664.15,119.45
32,,Nifty Serv Sector,     22695.15,     23118.90,     23500.40,     23050.35,     23365.05,669.9
33,,India VIX,31.9825,31.9825,31.9825,26.1500,26.7400,-5.2425
34,,Nifty Auto,     10609.80,     10806.70,     11002.30,     10790.05,     10895.30,285.5
35,,Nifty Metal,      5313.65,      5426.90,      5647.40,      5421.40,      5618.70,305.05
36,,Nifty Media,      1907.60,      1962.75,      2027.15,      1954.35,      1997.10,89.5
37,,NIFTY SMLCAP 100,      9334.80,      9576.85,      9815.85,      9574.00,      9786.65,451.85
38,,Nifty 200,      8532.40,      8680.35,      8819.35,      8670.90,      8779.15,246.75
39,,Nifty Div Opps 50,      3408.75,      3463.05,      3509.40,      3454.60,      3495.65,86.9
40,,Nifty Commodities,      5329.70,      5428.00,      5556.45,      5428.00,      5533.15,203.45
41,,Nifty Consumption,      6587.60,      6671.80,      6763.70,      6662.10,      6729.30,141.7
42,,Nifty Fin Service,     16531.55,     16836.65,     17142.30,     16772.90,     17028.90,497.35
43,,Nifty50 Div Point,       189.17,       189.17,       189.17,       189.17,       189.17,0.0
44,,Nifty100 Liq 15,      4234.00,      4299.85,      4383.25,      4296.40,      4361.65,127.65
45,,Nifty CPSE,      2248.40,      2281.95,      2353.90,      2280.70,      2347.90,99.5
46,,Nifty GrowSect 15,      7214.80,      7304.20,      7381.90,      7275.20,      7352.90,138.1
47,,Nifty50 PR 2x Lev,      7636.40,      7887.30,      8105.90,      7862.20,      8021.45,385.05
48,,Nifty50 PR 1x Inv,       272.40,       267.90,       268.35,       264.00,       265.55,-6.85
49,,Nifty50 TR 2x Lev,     10429.25,     10771.95,     11070.50,     10737.70,     10955.15,525.9
50,,Nifty50 TR 1x Inv,       233.25,       229.40,       229.80,       226.05,       227.35,-5.9
51,,Nifty50 Value 20,      8357.05,      8497.75,      8602.85,      8472.45,      8555.60,198.55
52,,Nifty Mid Liq 15,      6656.55,      6815.80,      6980.00,      6812.75,      6957.55,301.0
53,,Nifty Pvt Bank,     17829.70,     18194.80,     18607.70,     18117.40,     18497.50,667.8
54,,NIFTY100 Qualty30,      3616.35,      3661.95,      3710.60,      3655.90,      3699.35,83.0
55,,Nifty GS 8 13Yr,      2276.78,      2277.19,      2281.08,      2277.19,      2278.80,2.02
56,,Nifty GS 10Yr,      2031.41,      2031.78,      2035.40,      2031.78,      2032.53,1.12
57,,Nifty GS 10Yr Cln,       901.96,       901.96,       903.58,       901.96,       902.29,0.33
58,,Nifty GS 4 8Yr,      2495.38,      2495.79,      2499.20,      2495.79,      2497.78,2.4
59,,Nifty GS 11 15Yr,      2462.73,      2463.19,      2474.35,      2463.19,      2469.15,6.42
60,,Nifty GS 15YrPlus,      2705.40,      2705.92,      2711.85,      2705.92,      2711.81,6.41
61,,Nifty GS Compsite,      2353.99,      2354.39,      2359.82,      2354.39,      2357.26,3.27
62,,NIFTY HEALTHCARE,      7801.40,      7908.70,      8084.75,      7869.75,      8066.90,265.5
63,,NIFTY CONSR DURBL,     26549.35,     26827.80,     27371.45,     26827.80,     27335.15,785.8
64,,NIFTY OIL AND GAS,      6960.15,      7063.00,      7145.00,      7049.40,      7082.90,122.75
65,,NIFTY500 MULTICAP,      8905.60,      9073.65,      9237.80,      9069.90,      9205.55,299.95
66,,NIFTY LARGEMID250,      8884.30,      9045.85,      9205.50,      9042.75,      9175.30,291.0
67,,NIFTY MID SELECT,      6660.25,      6825.60,      6977.90,      6821.30,      6946.00,285.75
68,,NIFTY TOTAL MKT,      7654.70,      7790.00,      7918.75,      7784.60,      7885.65,230.95
69,,NIFTY MICROCAP250,      9058.80,      9252.90,      9500.90,      9252.90,      9451.80,393.0
70,,NIFTY IND DIGITAL,      5894.00,      6013.50,      6156.50,      6011.40,      6120.70,226.7
71,,ADVANCES,1788,,,,,
72,,DECLINES,337,,,,,
73,,UNCHANGED,38,,,,,
74,,Total securities that have hit their price bands today,415,,,,,
75,,TOP 25 Securities Today :,,,,,,
76,,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
77,,TATAMOTORS,EQ,       427.95,       459.75,7.43,2243.69,
78,,INFY,EQ,      1678.15,      1694.60,0.98,1654.32,
79,,RELIANCE,EQ,      2255.75,      2283.95,1.25,1540.38,
80,,ADANIPOWER,EQ,       111.15,       124.05,11.61,1337.59,
81,,HDFCBANK,EQ,      1419.40,      1456.10,2.59,1332.33,
82,,ICICIBANK,EQ,       707.40,       730.05,3.2,1239.53,
83,,TATAPOWER,EQ,       204.30,       220.00,7.68,1137.37,
84,,MARUTI,EQ,      8210.15,      8356.10,1.78,1120.25,
85,,SBIN,EQ,       472.65,       482.95,2.18,1057.57,
86,,TATASTEEL,EQ,      1074.00,      1145.35,6.64,1046.73,
87,,BAJFINANCE,EQ,      6627.80,      6969.40,5.15,977.09,
88,,TCS,EQ,      3401.65,      3520.75,3.5,894.52,
89,,AXISBANK,EQ,       730.30,       758.05,3.8,762.68,
90,,HINDALCO,EQ,       517.65,       533.90,3.14,741.74,
91,,KOTAKBANK,EQ,      1794.85,      1856.70,3.45,735.44,
92,,AWL,EQ,       332.95,       366.10,9.96,682.01,
93,,PNB,EQ,        32.00,        34.95,9.22,662.2,
94,,BANKBARODA,EQ,       100.50,       106.80,6.27,656.28,
95,,HDFC,EQ,      2343.05,      2401.35,2.49,655.77,
96,,DLF,EQ,       320.50,       348.80,8.83,565.64,
97,,IRCTC,EQ,       738.05,       800.00,8.39,561.85,
98,,APOLLOHOSP,EQ,      4381.95,      4633.45,5.74,549.49,
99,,IBULHSGFIN,EQ,       148.55,       148.65,0.07,547.55,
100,,BAJAJFINSV,EQ,     15245.20,     15772.15,3.46,506.6,
101,,ITC,EQ,       208.50,       213.95,2.61,506.44,
102,,Top Five Nifty 50 Gainers:,,,,,,
103,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
104,,COALINDIA,EQ,       163.45,       150.00,8.97,,
105,,TATAMOTORS,EQ,       459.75,       427.95,7.43,,
106,,TATASTEEL,EQ,      1145.35,      1074.00,6.64,,
107,,ADANIPORTS,EQ,       695.15,       654.85,6.15,,
108,,INDUSINDBK,EQ,       927.05,       875.65,5.87,,
109,,Top Five Nifty 50 Losers:,,,,,,
110,,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
111,,BRITANNIA,EQ,      3422.75,      3446.00,-0.67,,
112,,NESTLEIND,EQ,     17715.10,     17744.75,-0.17,,
113,,HINDUNILVR,EQ,      2170.70,      2171.40,-0.03,,
114,,Securities Price Volume Data in Normal market,,,,,,
115,,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY,,
116,,20MICRONS,EQ,        70.30,                 13915675.35,196731,,
117,,21STCENMGM,EQ,        30.80,                    47031.60,1527,,
118,,3IINFOLTD,EQ,        51.60,                 55468762.45,1072174,,
119,,3MINDIA,EQ,     21415.10,                 52778940.60,2490,,
120,,3PLAND,BE,        14.85,                    63743.95,4250,,
121,,563GS2026,GS,        95.60,                   191200.00,2000,,
122,,5PAISA,EQ,       325.90,                  9061504.35,27719,,
123,,63MOONS,BE,       222.80,                 10106391.05,45533,,
124,,667GS2050,GS,        96.52,                   236167.25,2442,,
125,,676GS2061,GS,       100.00,                    19460.00,201,,
126,,699GS2051,GS,       100.00,                    10100.00,101,,
127,,817GS2044,GS,       116.50,                   326533.00,2803,,
128,,A2ZINFRA,EQ,         8.95,                  5156971.75,570983,,
129,,AAATECH,SM,        67.00,                   402000.00,6000,,
130,,AAKASH,BE,        28.70,                  1522766.15,53076,,
131,,AAREYDRUGS,EQ,        40.35,                  2359790.55,59192,,
132,,AARON,EQ,       112.85,                   365209.00,3219,,
133,,AARTIDRUGS,EQ,       467.45,                 58958005.90,126175,,
134,,AARTIIND,EQ,       933.35,                900639357.50,977284,,
135,,AARTISURF,EQ,       796.25,                  7807370.50,9867,,
136,,AARVEEDEN,EQ,        25.80,                   641191.95,25284,,
137,,AARVI,EQ,        87.85,                  1943516.30,22361,,
138,,AAVAS,EQ,      2853.80,                157005494.40,53963,,
139,,ABAN,EQ,        42.55,                  9709763.25,225899,,
140,,ABB,EQ,      2131.90,                660768370.15,313838,,
141,,ABCAPITAL,EQ,       104.10,               1211737107.45,11538534,,
142,,ABCOTS,SM,        50.75,                  9064200.00,188000,,
143,,ABFRL,EQ,       265.20,                554921957.30,2094244,,
144,,ABMINTLLTD,EQ,        91.80,                   111400.80,1223,,
145,,ABSLAMC,EQ,       508.50,                123113905.50,242929,,
146,,ABSLBANETF,EQ,        36.15,                   150454.19,4134,,
147,,ABSLNN50ET,EQ,        40.33,                   216189.84,5401,,
148,,ACCELYA,EQ,       933.30,                 15527519.60,16711,,
149,,ACCURACY,EQ,       228.45,                  6947183.50,29923,,
150,,ACE,EQ,       215.10,                 57741544.30,265792,,
151,,ACRYSIL,EQ,       678.35,                 72317570.75,104689,,
152,,ADANIGREEN,EQ,      1923.50,               1239202729.30,644994,,
153,,ADANIPOWER,EQ,       124.05,              13375901535.85,109027166,,
154,,ADANITRANS,EQ,      2032.85,                221587703.65,109214,,
155,,ADFFOODS,EQ,       727.35,                 14217800.10,19579,,
156,,ADL,BE,        47.10,                   302109.95,6809,,
157,,ADORWELD,EQ,       622.60,                 12016299.25,19751,,
158,,ADROITINFO,BE,         8.25,                    36591.30,4669,,
159,,ADSL,EQ,       100.60,                 23580828.30,231797,,
160,,ADVANIHOTR,EQ,        88.40,                 30275460.95,336920,,
161,,ADVENZYMES,EQ,       309.80,                586736578.20,1965565,,
162,,AEGISCHEM,EQ,       171.80,                445031971.85,2521806,,
163,,AFFLE,EQ,      1194.05,                544383432.25,462985,,
164,,AGARIND,EQ,       469.35,                 43797368.00,92359,,
165,,AGRITECH,EQ,        84.00,                   953988.00,11357,,
166,,AGROPHOS,EQ,        20.90,                  1168026.90,55995,,
167,,AGSTRA,EQ,       101.55,                 37554349.85,369707,,
168,,AHLADA,EQ,       120.70,                  4703591.40,40511,,
169,,AHLEAST,EQ,       196.65,                  3484281.50,17812,,
170,,AHLUCONT,EQ,       382.30,                  2034517.35,5386,,
171,,AIAENG,EQ,      1639.45,                181317064.75,110582,,
172,,AILIMITED,SM,        22.20,                   127050.00,6000,,
173,,AIRAN,EQ,        20.15,                  3771192.80,187955,,
174,,AIROLAM,EQ,        69.15,                  1288606.25,18537,,
175,,AIRTELPP,E1,       332.90,                157086504.75,468710,,
176,,AJANTPHARM,EQ,      1737.35,                330327325.75,188263,,
177,,AJMERA,EQ,       338.60,                 14565273.10,42711,,
178,,AJOONI,EQ,        63.25,                  6777319.35,109346,,
179,,AJRINFRA,BE,         1.90,                  4688832.65,2430147,,
180,,AKASH,BE,       169.75,                 10334371.40,61444,,
181,,AKG,EQ,        41.75,                   122822.75,2961,,
182,,AKSHARCHEM,EQ,       351.70,                  3145365.35,8968,,
183,,AKSHOPTFBR,EQ,        11.05,                  9397070.55,850294,,
184,,AKZOINDIA,EQ,      1870.60,                  8265621.05,4403,,
185,,ALANKIT,EQ,        13.55,                 17597474.15,1300715,,
186,,ALBERTDAVD,EQ,       519.55,                  6192189.40,11965,,
187,,ALEMBICLTD,EQ,        83.70,                 43702781.95,530146,,
188,,ALICON,EQ,       787.35,                  4494875.35,5822,,
189,,ALKALI,BE,        83.00,                  1384957.00,16424,,
190,,ALKYLAMINE,EQ,      2982.25,                129354499.65,43712,,
191,,ALLCARGO,EQ,       327.65,                149434193.15,456578,,
192,,ALLSEC,EQ,       488.60,                 10016147.10,20251,,
193,,ALMONDZ,EQ,        94.75,                  3780873.60,39581,,
194,,ALOKINDS,EQ,        23.85,                622897282.05,26129889,,
195,,ALPA,EQ,        69.55,                  4329678.90,62047,,
196,,ALPHAGEO,EQ,       278.10,                  7939739.20,28561,,
197,,ALPSINDUS,BE,         2.60,                     8840.00,3400,,
198,,AMARAJABAT,EQ,       553.10,                582689288.95,1065463,,
199,,AMBER,EQ,      3241.25,                118289286.30,36257,,
200,,AMBICAAGAR,EQ,        26.90,                  3134993.45,116948,,
201,,AMBIKCO,EQ,      2466.70,                 89296881.20,35764,,
202,,AMDIND,EQ,        45.90,                  1082191.65,23605,,
203,,AMIORG,EQ,       848.60,                 76921996.65,90949,,
204,,AMJLAND,EQ,        28.30,                   432656.70,15415,,
205,,AMRUTANJAN,EQ,       803.30,                 74947618.65,92980,,
206,,ANANDRATHI,EQ,       559.80,                 71779764.30,128129,,
207,,ANANTRAJ,EQ,        71.15,                145056516.20,2108018,,
208,,ANDHRACEMT,EQ,        14.00,                  4235330.00,307833,,
209,,ANDHRAPAP,EQ,       211.00,                 14103351.40,66753,,
210,,ANDHRSUGAR,EQ,       136.20,                 60729118.75,450892,,
211,,ANDREWYU,EQ,        21.75,                  3217722.55,149096,,
212,,ANGELONE,EQ,      1332.15,                738967709.45,556225,,
213,,ANIKINDS,EQ,        26.30,                   759239.45,28814,,
214,,ANKITMETAL,BE,         8.05,                  4297797.30,547920,,
215,,ANMOL,EQ,       209.00,                 26392767.25,125148,,
216,,ANSALAPI,EQ,        14.85,                  2493487.95,171156,,
217,,ANSALHSG,BE,         7.55,                   727654.70,95840,,
218,,ANTGRAPHIC,BE,         1.65,                  2346166.35,1421919,,
219,,ANUP,EQ,       813.05,                 13069460.30,16229,,
220,,ANURAS,EQ,       860.90,                 46781798.25,54480,,
221,,APARINDS,EQ,       613.90,                 37591476.85,61162,,
222,,APCL,EQ,       253.50,                  4847482.80,19223,,
223,,APCOTEXIND,EQ,       344.55,                 18709793.35,54653,,
224,,APEX,EQ,       268.05,                 24525758.55,91766,,
225,,APLAPOLLO,EQ,       835.55,                244359668.95,297091,,
226,,APLLTD,EQ,       725.75,                241321537.20,334637,,
227,,APOLLO,BE,       120.05,                  5070977.40,42012,,
228,,APOLLOPIPE,EQ,       469.20,                 47557364.00,100929,,
229,,APOLLOTYRE,EQ,       185.20,                910404910.70,4891471,,
230,,APOLSINHOT,EQ,       768.05,                   295598.00,395,,
231,,APTECHT,EQ,       300.50,                 21126621.05,69576,,
232,,APTUS,EQ,       329.95,                 62095699.05,187666,,
233,,ARCHIDPLY,EQ,        41.10,                  1454279.55,34920,,
234,,ARCHIES,EQ,        17.05,                  3158886.60,185549,,
235,,ARENTERP,BE,        34.35,                   140303.30,4105,,
236,,ARIES,EQ,       125.45,                  7484564.45,59671,,
237,,ARIHANTCAP,EQ,       334.05,                 26962037.05,81878,,
238,,ARIHANTSUP,EQ,       163.95,                 38547359.15,238703,,
239,,ARMANFIN,EQ,       737.80,                 12932948.95,17064,,
240,,AROGRANITE,EQ,        55.60,                  3265805.05,58270,,
241,,ARROWGREEN,EQ,        88.25,                  4334919.85,48237,,
242,,ARSHIYA,EQ,        35.60,                 18801654.15,531105,,
243,,ARSSINFRA,BE,        27.80,                   765697.95,28460,,
244,,ARTEMISMED,EQ,        39.45,                  2163509.50,54619,,
245,,ARTNIRMAN,BE,       170.05,                 17032835.45,100550,,
246,,ARVEE,EQ,        76.00,                    75350.25,959,,
247,,ARVIND,EQ,       121.05,                192806256.00,1606156,,
248,,ARVINDFASN,EQ,       267.85,                 25395753.85,94649,,
249,,ARVSMART,EQ,       196.80,                  6103891.45,31478,,
250,,ASAHIINDIA,EQ,       470.80,                 66163700.65,141023,,
251,,ASAHISONG,EQ,       279.65,                 26148790.50,94230,,
252,,ASAL,BE,       244.40,                 19273049.45,77751,,
253,,ASALCBR,EQ,       441.00,                 18310774.60,41813,,
254,,ASHAPURMIN,EQ,        99.55,                 12003761.20,120798,,
255,,ASHIANA,EQ,       150.35,                 10181916.35,67241,,
256,,ASHIMASYN,EQ,        15.10,                  4115383.65,269466,,
257,,ASHOKA,EQ,        91.45,                163301428.75,1823424,,
258,,ASHOKLEY,EQ,       118.00,               2215599968.95,18779033,,
259,,ASIANENE,EQ,       124.55,                 17454546.25,144533,,
260,,ASIANHOTNR,EQ,        75.95,                   842167.00,11007,,
261,,ASIANTILES,EQ,       100.60,                 45721382.00,444620,,
262,,ASPINWALL,EQ,       180.10,                  5421099.60,29736,,
263,,ASTEC,EQ,      1480.65,                 55246931.10,38238,,
264,,ASTERDM,EQ,       174.10,                 77774278.20,449507,,
265,,ASTRAL,EQ,      1910.60,                951758156.50,507127,,
266,,ASTRAMICRO,EQ,       197.20,                137073046.35,695758,,
267,,ASTRAZEN,EQ,      2658.10,                 42002809.80,15872,,
268,,ASTRON,EQ,        39.45,                  2861004.60,72200,,
269,,ATALREAL,SM,       140.45,                   639920.00,4800,,
270,,ATFL,EQ,       881.80,                  3669660.85,4190,,
271,,ATGL,BE,      1573.20,                160362108.60,101266,,
272,,ATLANTA,BE,        19.85,                   622008.15,31547,,
273,,ATUL,EQ,      9085.45,                190693604.35,21190,,
274,,ATULAUTO,EQ,       177.30,                 16981985.35,96648,,
275,,AUBANK,EQ,      1234.70,               1073571625.05,871613,,
276,,AURDIS,SM,        74.85,                   449000.00,6000,,
277,,AURIONPRO,EQ,       288.35,                  9907120.50,33865,,
278,,AURUM,EQ,       114.35,                 29245948.90,256158,,
279,,AUSOMENT,EQ,        62.70,                  2999218.75,47377,,
280,,AUTOAXLES,EQ,      1496.95,                 12591973.55,8456,,
281,,AUTOIND,BE,        56.40,                  1029664.45,18099,,
282,,AVADHSUGAR,EQ,       534.00,                 96035135.75,177688,,
283,,AVANTIFEED,EQ,       476.00,                107242880.25,224672,,
284,,AVG,SM,        81.00,                   775080.00,9600,,
285,,AVROIND,SM,        46.70,                   289540.00,6200,,
286,,AVTNPL,EQ,        88.00,                 18757405.55,212966,,
287,,AWHCL,EQ,       271.60,                 38294577.15,141142,,
288,,AWL,EQ,       366.10,               6820118046.75,18895946,,
289,,AXISBNKETF,EQ,       365.86,                   488099.07,1338,,
290,,AXISBPSETF,EQ,        10.53,                   743259.34,70581,,
291,,AXISCADES,BE,        88.75,                  4437934.20,50689,,
292,,AXISCETF,EQ,        67.66,                   197325.36,2924,,
