,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17206.65,     16847.95,     17148.55,     16843.80,     17092.20,-114.45
1,,NIFTY50 EQL Wgt,     19262.80,     18868.45,     19158.15,     18862.30,     19132.65,-130.15
2,,NIFTY100 EQL Wgt,     20024.05,     19606.10,     19948.15,     19589.00,     19921.85,-102.2
3,,NIFTY100 LowVol30,     12757.50,     12522.25,     12689.85,     12518.35,     12673.00,-84.5
4,,NIFTY Alpha 50,     31783.00,     30789.50,     31629.05,     30753.55,     31569.90,-213.1
5,,NIFTY MIDCAP 150,     10778.40,     10495.70,     10700.00,     10494.75,     10676.50,-101.9
6,,NIFTY SMLCAP 50,      4620.20,      4475.15,      4541.40,      4466.35,      4519.45,-100.75
7,,NIFTY SMLCAP 250,      9052.95,      8784.40,      8917.00,      8773.40,      8877.55,-175.4
8,,NIFTY MIDSML 400,     10156.45,      9879.10,     10057.65,      9878.35,     10028.75,-127.7
9,,NIFTY200 QUALTY30,     14176.15,     13904.75,     14116.95,     13884.90,     14096.15,-80.0
10,,Nifty FinSrv25 50,     17139.95,     16771.60,     17156.30,     16764.15,     17062.40,-77.55
11,,NIFTY AlphaLowVol,     16568.90,     16216.70,     16500.70,     16215.90,     16480.30,-88.6
12,,Nifty200Momentm30,     19396.00,     18867.95,     19357.05,     18865.05,     19317.50,-78.5
13,,Nifty100ESGSecLdr,      2892.75,      2831.30,      2883.30,      2830.85,      2877.20,-15.55
14,,NIFTY100 ESG,      3459.65,      3382.25,      3446.00,      3382.25,      3440.80,-18.85
15,,NIFTY M150 QLTY50,     16137.40,     15747.95,     16028.70,     15747.95,     15999.85,-137.55
16,,NIFTY INDIA MFG,      7738.65,      7572.65,      7696.55,      7568.30,      7686.80,-51.85
17,,Nifty IT,     34472.00,     33678.35,     34287.20,     33600.45,     34129.55,-342.45
18,,Nifty Next 50,     40177.45,     39289.15,     40167.15,     39218.85,     40096.95,-80.5
19,,Nifty Bank,     37685.60,     36833.00,     37659.40,     36818.10,     37371.65,-313.95
20,,NIFTY MIDCAP 100,     28575.75,     27828.60,     28348.40,     27826.05,     28284.90,-290.85
21,,Nifty 500,     14597.10,     14269.45,     14527.20,     14267.60,     14489.05,-108.05
22,,Nifty 100,     17379.10,     17012.75,     17321.15,     17009.30,     17276.50,-102.6
23,,Nifty Midcap 50,      7932.60,      7720.35,      7881.85,      7719.35,      7868.20,-64.4
24,,Nifty Realty,       442.90,       430.90,       439.65,       427.50,       430.00,-12.9
25,,Nifty Infra,      4893.25,      4790.90,      4865.90,      4775.80,      4855.90,-37.35
26,,Nifty Energy,     24174.40,     23696.25,     24242.70,     23644.30,     24166.35,-8.05
27,,Nifty FMCG,     36200.30,     35713.40,     35946.20,     35561.80,     35879.85,-320.45
28,,Nifty MNC,     18615.70,     18284.35,     18576.85,     18254.80,     18552.30,-63.4
29,,Nifty Pharma,     13029.90,     12807.30,     12976.35,     12768.45,     12954.50,-75.4
30,,Nifty PSE,      3919.65,      3864.20,      3894.35,      3826.10,      3889.10,-30.55
31,,Nifty PSU Bank,      2786.55,      2711.65,      2759.15,      2702.85,      2745.40,-41.15
32,,Nifty Serv Sector,     24023.75,     23487.15,     23991.90,     23479.70,     23877.55,-146.2
33,,India VIX,22.9025,22.9025,27.8150,22.9025,26.6625,3.76
34,,Nifty Auto,     11361.60,     11128.00,     11378.75,     11113.90,     11343.05,-18.55
35,,Nifty Metal,      5658.95,      5540.25,      5609.20,      5476.70,      5595.90,-63.05
36,,Nifty Media,      2104.75,      2039.60,      2067.80,      2016.95,      2035.20,-69.55
37,,NIFTY SMLCAP 100,     10048.70,      9727.10,      9887.25,      9715.55,      9842.55,-206.15
38,,Nifty 200,      9034.05,      8837.75,      8998.30,      8836.50,      8975.75,-58.3
