,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     17957.40,     17842.75,     17901.00,     17779.85,     17807.65,-149.75
1,,NIFTY50 EQL Wgt,     20045.25,     19979.05,     20072.40,     19942.10,     19990.65,-54.6
2,,NIFTY100 EQL Wgt,     20976.05,     20906.65,     21037.30,     20861.10,     20990.00,13.95
3,,NIFTY100 LowVol30,     13092.35,     13031.35,     13068.45,     12998.85,     13036.10,-56.25
4,,NIFTY Alpha 50,     37078.25,     37233.40,     37618.00,     37093.50,     37451.80,373.55
5,,NIFTY MIDCAP 150,     11609.05,     11598.70,     11682.10,     11564.90,     11660.70,51.65
6,,NIFTY SMLCAP 50,      5041.55,      5036.40,      5076.35,      5015.75,      5052.60,11.05
7,,NIFTY SMLCAP 250,      9860.05,      9849.20,      9945.45,      9825.00,      9902.00,41.95
8,,NIFTY MIDSML 400,     10978.00,     10967.45,     11054.90,     10937.65,     11026.15,48.15
9,,NIFTY200 QUALTY30,     14759.45,     14707.55,     14741.60,     14659.40,     14690.70,-68.75
10,,Nifty FinSrv25 50,     17597.30,     17446.10,     17527.40,     17352.35,     17377.90,-219.4
11,,NIFTY AlphaLowVol,     17240.00,     17185.60,     17205.20,     17097.60,     17145.85,-94.15
12,,Nifty200Momentm30,     20947.30,     20925.00,     21028.35,     20826.45,     20955.35,8.05
13,,Nifty100ESGSecLdr,      3038.10,      3021.35,      3029.55,      3005.15,      3010.65,-27.45
14,,NIFTY100 ESG,      3587.35,      3573.55,      3581.35,      3556.30,      3564.85,-22.5
15,,NIFTY M150 QLTY50,     17136.00,     17118.60,     17168.30,     17041.10,     17090.65,-45.35
16,,NIFTY INDIA MFG,      8212.45,      8193.05,      8241.95,      8174.55,      8228.35,15.9
17,,Nifty IT,     36466.55,     36371.00,     36371.90,     35781.50,     35871.50,-595.05
18,,Nifty Next 50,     42753.25,     42636.05,     42950.35,     42486.40,     42910.45,157.2
19,,Nifty Bank,     38067.90,     37711.30,     37868.50,     37513.85,     37632.80,-435.1
20,,NIFTY MIDCAP 100,     31046.70,     31002.05,     31285.25,     30900.15,     31229.20,182.5
21,,Nifty 500,     15390.50,     15318.15,     15387.40,     15293.85,     15327.90,-62.6
22,,Nifty 100,     18195.10,     18089.30,     18154.05,     18042.85,     18075.10,-120.0
23,,Nifty Midcap 50,      8516.45,      8502.20,      8582.15,      8471.00,      8563.95,47.5
24,,Nifty Realty,       474.90,       471.70,       475.70,       468.05,       473.70,-1.2
25,,Nifty Infra,      5183.50,      5162.75,      5234.25,      5159.75,      5218.60,35.1
