Date,Open,High,Low,Close,Volume,Turnover
2022-01-03,17387.15,17646.65,17383.3,17625.7,200456430,161813600000.0
2022-01-04,17681.4,17827.6,17593.55,17805.25,247437472,186041600000.0
2022-01-05,17820.1,17944.7,17748.85,17925.25,251460038,237373100000.0
2022-01-06,17768.5,17797.95,17655.55,17745.9,236454824,226438200000.0
2022-01-07,17797.6,17905.0,17704.55,17812.7,239338015,214478900000.0
2022-01-10,17913.3,18017.45,17879.15,18003.3,232418075,208536400000.0
2022-01-11,17997.75,18081.25,17964.4,18055.75,220238796,207814600000.0
2022-01-12,18170.4,18227.95,18128.8,18212.35,244974287,222986900000.0
2022-01-13,18257.0,18272.25,18163.8,18257.8,303700545,286709300000.0
2022-01-14,18185.0,18286.95,18119.65,18255.75,229451608,210245099999.99997
2022-01-17,18235.65,18321.55,18228.75,18308.1,266702919,238593800000.0
2022-01-18,18337.2,18350.95,18085.9,18113.05,227507319,208526699999.99997
2022-01-19,18129.2,18129.2,17884.9,17938.4,276662654,253101900000.0
2022-01-20,17921.0,17943.7,17648.45,17757.0,258094246,258632900000.0
2022-01-21,17613.7,17707.6,17485.85,17617.15,277645373,259416400000.0
2022-01-24,17575.15,17599.4,16997.85,17149.1,323847388,283877300000.0
2022-01-25,17001.55,17309.15,16836.8,17277.95,326515896,313444600000.0
2022-01-27,17062.0,17182.5,16866.75,17110.15,395596577,362966400000.0
2022-01-28,17208.3,17373.5,17077.1,17101.95,355284285,297998900000.0
2022-01-31,17301.05,17410.0,17264.15,17339.85,321660346,254741300000.0
2022-02-01,17529.45,17622.4,17244.55,17576.85,386391485,300336600000.0
2022-02-02,17706.2,17794.6,17674.8,17780.0,271205907,236115900000.0
2022-02-03,17767.75,17781.15,17511.15,17560.2,226614989,203730600000.0
2022-02-04,17590.2,17617.8,17462.55,17516.3,261434170,206518500000.0
2022-02-07,17456.3,17536.75,17119.4,17213.6,265037933,219251100000.0
2022-02-08,17279.85,17306.45,17043.65,17266.75,268526210,238461600000.0
2022-02-09,17370.1,17477.15,17339.0,17463.8,236350514,193276699999.99997
2022-02-10,17554.1,17639.45,17427.15,17605.85,273606440,222109300000.0
2022-02-11,17451.0,17454.75,17303.0,17374.75,253141660,232308200000.0
2022-02-14,17076.15,17099.5,16809.65,16842.8,305510740,249761600000.0
2022-02-15,16933.25,17375.0,16839.25,17352.45,298658142,247656699999.99997
2022-02-16,17408.45,17490.6,17257.7,17322.2,244549223,211283800000.0
2022-02-17,17396.55,17442.9,17235.85,17304.6,232136131,193812599999.99997
2022-02-18,17236.05,17380.8,17219.2,17276.3,189620888,161269600000.0
2022-02-21,17192.25,17351.05,17070.7,17206.65,215183301,187255700000.0
2022-02-22,16847.95,17148.55,16843.8,17092.2,300131995,240408400000.0
2022-02-23,17194.5,17220.7,17027.85,17063.25,200229631,176624700000.0
2022-02-24,16548.9,16705.25,16203.25,16247.95,457967874,366508300000.0
2022-02-25,16515.65,16748.8,16478.3,16658.4,329780732,257437700000.0
2022-02-28,16481.6,16815.9,16356.3,16793.9,404214666,338315700000.0
2022-03-02,16593.1,16678.5,16478.65,16605.95,517723542,394074400000.0
2022-03-03,16723.2,16768.95,16442.95,16498.05,442068263,314130000000.0
2022-03-04,16339.45,16456.0,16133.8,16245.35,456143040,348211000000.0
2022-03-07,15867.95,15944.6,15711.45,15863.15,585403660,380387500000.0
2022-03-08,15747.75,16028.75,15671.45,16013.45,543600673,387044000000.0
2022-03-09,16078.0,16418.05,15990.0,16345.35,462231428,353293399999.99994
2022-03-10,16757.1,16757.3,16447.9,16594.9,486445481,355137300000.00006
2022-03-11,16528.8,16694.4,16470.9,16630.45,343717045,247203400000.0
2022-03-14,16633.7,16887.95,16606.5,16871.3,314669685,238240200000.0
2022-03-15,16900.65,16927.75,16555.0,16663.0,381631902,297310900000.0
2022-03-16,16876.65,16987.9,16837.85,16975.35,259973396,213613200000.0
2022-03-17,17202.9,17344.6,17175.75,17287.05,448335248,353672800000.0
2022-03-21,17329.5,17353.35,17096.4,17117.6,285451208,228863900000.0
2022-03-22,17120.4,17334.4,17006.3,17315.5,338263468,273476000000.0
2022-03-23,17405.05,17442.4,17199.6,17245.65,292120348,247052800000.0
2022-03-24,17094.95,17291.75,17091.15,17222.75,290280124,250117200000.0
2022-03-25,17289.0,17294.9,17076.55,17153.0,237115741,200313900000.0
2022-03-28,17181.85,17235.1,17003.9,17222.0,253240837,199762599999.99997
2022-03-29,17297.2,17343.65,17235.7,17325.3,235149625,203057800000.0
2022-03-30,17468.15,17522.5,17387.2,17498.25,505031841,289074700000.0
2022-03-31,17519.2,17559.8,17435.2,17464.75,281111679,240320700000.0
2022-04-01,17436.9,17703.7,17422.7,17670.45,291773447,211321300000.0
