Date,Open,High,Low,Close,Volume,Turnover
2022-01-17,43605.05,43748.6,43334.9,43713.25,214038805,64835100000.0
2022-01-18,43863.05,43938.75,42868.9,42958.55,315296283,95715800000.0
2022-01-19,43008.45,43036.9,42564.35,42928.2,346595925,98860500000.0
2022-01-20,42990.85,43081.25,42689.1,42895.85,256546607,81136200000.0
2022-01-21,42662.75,42683.65,41832.75,42182.2,306662275,87154000000.0
2022-01-24,42198.75,42206.95,40199.85,40616.05,500230480,103340700000.0
2022-01-25,40223.1,41165.5,39753.95,40998.75,370677741,92458300000.0
2022-01-27,40665.05,40671.75,39909.45,40299.3,475335760,112779599999.99998
2022-01-28,40591.65,41314.6,40556.85,40633.2,397781177,86783300000.0
2022-01-31,41115.65,41327.9,41027.25,41097.25,322274028,81387200000.0
2022-02-01,41427.55,41898.2,41085.9,41810.6,464766523,92535500000.0
2022-02-02,42000.45,42286.0,41918.95,42249.1,383136340,80913700000.0
2022-02-03,42198.0,42233.6,41942.6,42030.15,356283935,83578500000.0
2022-02-04,42117.8,42263.55,41872.25,41998.0,364124086,81648400000.0
2022-02-07,42100.0,42285.15,41506.45,41716.9,527353671,98153600000.0
2022-02-08,41844.65,41959.25,41192.85,41522.1,492851699,87974599999.99998
2022-02-09,41736.9,42038.0,41671.2,41991.9,309902217,75318200000.0
2022-02-10,42117.9,42205.55,41817.8,42165.35,349464055,85533100000.0
2022-02-11,41920.0,41920.35,41422.3,41553.05,299335405,72798200000.0
2022-02-14,40661.8,40970.35,40055.1,40164.8,369508667,82230200000.0
2022-02-15,40317.15,41180.0,39853.7,41138.8,354735723,81323400000.0
2022-02-16,41412.6,41536.65,40936.0,41058.2,280644099,64985400000.0
2022-02-17,41265.2,41408.0,41031.0,41145.65,249363871,58627000000.0
2022-02-18,41002.65,41156.5,40650.5,40709.15,238890949,57285900000.0
2022-02-21,40537.95,40650.95,40013.15,40177.45,234036505,56866800000.0
2022-02-22,39289.15,40167.15,39218.85,40096.95,347343241,80188400000.0
2022-02-23,40318.3,40632.65,40309.1,40434.2,294845096,66000500000.0
2022-02-24,39060.05,39448.55,38082.7,38165.2,759107332,134413600000.0
2022-02-25,38873.35,39755.0,38834.7,39609.4,526489939,89032200000.0
2022-02-28,39328.3,40105.2,38917.3,40052.1,490747650,106962099999.99998
2022-03-02,39798.85,40267.6,39687.5,40063.9,472668530,97043000000.0
2022-03-03,40599.8,40647.5,39914.6,40010.5,449650424,106208400000.0
2022-03-04,39779.8,39831.2,38980.75,39042.3,420192215,92713799999.99998
2022-03-07,38404.15,38430.2,37712.1,38014.9,425955872,90473900000.0
2022-03-08,38087.65,38674.25,37672.65,38587.85,426456955,94165400000.00002
2022-03-09,38905.35,39353.4,38691.45,39132.9,400696339,87992099999.99998
2022-03-10,39959.5,40059.75,39591.15,39890.8,461441534,97140700000.0
2022-03-11,39813.5,40130.65,39696.9,40087.1,305096344,71324000000.0
2022-03-14,40121.45,40207.35,39649.65,39939.85,332195905,86520000000.0
2022-03-15,40028.3,40169.8,39304.65,39567.35,375970983,94310600000.0
2022-03-16,40015.35,40491.9,40004.2,40462.0,276894165,74122100000.0
2022-03-17,40906.6,41128.3,40824.5,41059.0,1086186522,119110000000.0
2022-03-21,41183.6,41231.45,40430.3,40504.25,357443360,82235300000.0
2022-03-22,40554.35,40621.1,39970.75,40572.85,323323912,80831000000.0
2022-03-23,40838.95,40923.85,40543.8,40660.95,372930886,91479100000.0
2022-03-24,40505.1,40819.05,40445.55,40738.0,256845135,72536800000.0
2022-03-25,40959.2,40979.05,40471.3,40754.55,264800516,78279200000.0
2022-03-28,40903.2,40909.7,40261.2,40614.8,339488973,76513700000.0
2022-03-29,40828.15,40898.7,40684.0,40811.95,320391427,74054000000.0
2022-03-30,41106.75,41377.0,40857.15,41054.7,566543357,126990800000.0
2022-03-31,41177.0,41345.1,40984.2,41115.4,264288947,81707100000.0
2022-04-01,41236.35,41823.1,41176.3,41754.1,251160717,80003800000.0
2022-04-04,41912.0,42447.55,41902.95,42403.9,279934243,88948799999.99998
2022-04-05,42628.2,43000.05,42453.25,42753.25,290748619,127910200000.0
2022-04-06,42636.05,42950.35,42486.4,42910.45,304891202,95127600000.0
2022-04-07,42977.7,43419.75,42697.4,42784.3,289941770,93402000000.0
2022-04-08,43113.85,43536.25,43058.35,43445.9,252519442,98302600000.0
2022-04-11,43580.55,44010.8,43548.65,43878.15,234089948,100283500000.0
2022-04-12,43982.0,44112.65,43116.25,43382.2,260455000,117859000000.0
2022-04-13,43625.25,43802.05,43386.25,43443.9,207880686,69402700000.0
2022-04-18,43185.5,43365.3,42784.4,43289.4,216854637,85484100000.0
2022-04-19,43631.7,43825.95,42190.7,42500.45,248008012,99899200000.0
2022-04-20,42780.45,43020.9,42528.7,42713.0,203406285,83367400000.0
2022-04-21,43037.95,43326.2,42890.35,43256.15,199941820,86554599999.99998
2022-04-22,43075.5,43191.9,42870.85,42934.55,171058881,92124200000.0
2022-04-25,42498.75,42498.75,41956.5,42084.35,251079446,77314700000.0
2022-04-26,42505.35,43145.5,42489.4,43072.25,194104386,81636600000.0
2022-04-27,42830.65,42960.9,42320.3,42504.75,195253760,69639400000.0
